DISTRICT,YEAR,DA0GH02N,DA0GH02P,DA0GM02N,DA0GM02P,DA0GR02N,DA0GR02P,DA0LV02R,DAPID03N,DAPID03R,DAUND02C,DB0GR02N,DB0GR02P,DH0GR02N,DH0GR02P,DI0GR02N,DI0GR02P,DP0GR02N,DP0GR02P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR02N,DS0GR02P,DW0GR02N,DW0GR02P
'128901,2003,42,56,33,44,75,100,1,4,0.4,5,5,6.7,34,45.3,2,2.7,0,0,4.8,0,0,0,0,0,1.8,1.3,2,20,0,0,0,0,0,4,0,0,942,23,2.4,39,4.1,7,0.7,597,63.4,54,5.7,61,6.5,67,7.1,73,7.7,73,7.7,72,7.6,73,7.7,82,8.7,102,10.8,59,6.3,64,6.8,52,5.5,0,0,165,17.5,70,7.4,40,4.2,539,57.2,1,0.1,33,3.5,5,0.5,108,11.5,270,28.7,358,38,16,21.3,34,45.3
'128902,2003,44,50.6,43,49.4,87,100,0,0,0,0,2,2.3,64,73.6,0,0,0,0,6.9,0,0,0,0,0,1.7,1.4,5.8,0,11.1,0,0,0,0,0,0,14.3,918,14,1.5,23,2.5,31,3.2,605,65.9,56,6.1,60,6.5,60,6.5,59,6.4,57,6.2,61,6.6,61,6.6,70,7.6,104,11.3,71,7.7,94,10.2,70,7.6,0,0,71,7.7,64,7,31,3.4,692,75.4,1,0.1,32,3.5,7,0.8,142,15.5,236,25.7,195,21.2,12,13.8,21,24.1
'128903,2003,19,100,0,0,19,100,0.8,3,0.9,1,0,0,12,63.2,0,0,0,0,7.1,0,0,23.1,15,5.3,11.8,11.8,11.1,0,0,0,25,50,0,0,0,0,291,4,1.4,3,1,8,2.7,207,71.1,27,9.3,28,9.6,21,7.2,27,9.3,18,6.2,20,6.9,26,8.9,17,5.8,22,7.6,16,5.5,16,5.5,15,5.2,0,0,25,8.6,25,8.6,13,4.5,236,81.1,2,0.7,4,1.4,0,0,44,15.1,49,16.8,50,17.2,1,5.3,7,36.8
'128904,2003,18,72,7,28,25,100,0,2,0.6,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,1,0.3,0,0,3,1,82,25.9,20,6.3,24,7.6,27,8.5,36,11.4,16,5.1,23,7.3,33,10.4,30,9.5,28,8.9,24,7.6,19,6,19,6,0,0,29,9.2,17,5.4,0,0,27,8.5,0,0,2,0.6,0,0,37,11.7,110,34.8,289,91.5,3,12,23,92
'129901,2003,84,68.9,38,31.1,122,100,0.1,2,0.1,1,4,3.3,5,4.1,0,0,1,0.8,6.5,1.6,0.9,0.7,1.6,1.4,0.8,2.3,15.7,9.1,0,0,0,0,7.7,0,0,9.1,2044,66,3.2,99,4.8,34,1.8,400,19.6,136,6.7,134,6.6,163,8,153,7.5,181,8.9,152,7.4,169,8.3,155,7.6,180,8.8,148,7.2,154,7.5,122,6,4,0.2,130,6.4,155,7.6,38,1.9,193,9.4,17,0.8,66,3.2,8,0.4,268,13.1,434,21.2,1727,84.5,15,12.3,112,91.8
'129902,2003,134,76.1,42,23.9,176,100,0.1,9,0.2,2,10,5.7,8,4.5,0,0,0,0,1,0,0,0,0,3.5,2.2,0.5,3.6,8.7,6.9,0,0,0,0,0,0,25,3344,59,1.8,177,5.3,51,1.8,402,12,289,8.6,281,8.4,255,7.6,276,8.3,274,8.2,236,7.1,287,8.6,252,7.5,256,7.7,217,6.5,208,6.2,180,5.4,7,0.2,75,2.2,286,8.6,40,1.2,351,10.5,17,0.5,64,1.9,18,0.5,413,12.4,467,14,2781,83.2,23,13.1,158,89.8
'129903,2003,102,65.8,53,34.2,155,100,1,112,2.9,16,16,10.3,28,18.1,0,0,2,1.3,7.7,5.9,9.8,1.6,1.6,0,2.2,1.9,10.9,14.3,4.4,2.1,0,2,2,0,0,18.8,3367,325,9.7,252,7.5,82,2.6,1546,45.9,283,8.4,276,8.2,269,8,235,7,230,6.8,246,7.3,252,7.5,270,8,320,9.5,224,6.7,200,5.9,151,4.5,3,0.1,171,5.1,275,8.2,133,4,949,28.2,18,0.5,390,11.6,20,0.6,413,12.3,720,21.4,2128,63.2,14,9,109,70.3
'129904,2003,27,32.9,55,67.1,82,100,0.1,1,0.1,1,4,4.9,4,4.9,0,0,0,0,1.2,4.2,0,3,2,0.9,0.9,1.7,8.7,21.4,4.2,0,0,0,0,0,0,25,1678,19,1.1,70,4.2,60,3.4,651,38.8,106,6.3,98,5.8,136,8.1,122,7.3,139,8.3,118,7,141,8.4,143,8.5,193,11.5,117,7,101,6,89,5.3,0,0,83,4.9,125,7.4,50,3,81,4.8,14,0.8,21,1.3,4,0.2,265,15.8,376,22.4,1509,89.9,6,7.3,74,90.2
'129905,2003,82,46.3,95,53.7,177,100,0.1,1,0,1,5,2.8,10,5.6,2,1.1,0,0,4.2,2.9,2.1,3.3,0.5,1,0.5,0.6,4.3,17.9,2,1.9,0,5.8,1.7,1.7,3.5,4.3,3258,56,1.7,86,2.6,69,2.1,1590,48.8,200,6.1,237,7.3,231,7.1,250,7.7,241,7.4,239,7.3,275,8.4,277,8.5,273,8.4,227,7,215,6.6,201,6.2,17,0.5,250,7.7,230,7.1,145,4.5,235,7.2,15,0.5,56,1.7,19,0.6,584,17.9,733,22.5,2903,89.1,32,18.1,160,90.4
'129906,2003,106,51,102,49,208,100,0.2,0,0,4,80,38.5,26,12.5,0,0,0,0,5.9,2.5,1.3,1.4,0.8,0.8,2.7,2.1,4.6,7.8,9.4,1.4,7.4,0,1.7,1.3,0,17.1,4228,480,11.4,1360,32.2,216,5.1,2360,55.8,290,6.9,294,7,292,6.9,331,7.8,292,6.9,342,8.1,319,7.5,318,7.5,382,9,309,7.3,280,6.6,261,6.2,10,0.2,374,8.8,303,7.2,205,4.8,976,23.1,7,0.2,483,11.4,54,1.3,712,16.8,928,21.9,1831,43.3,28,13.5,102,49
