DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'050901,2001,0,19,0.6,2,0.5,1,0,1,0,0,7.7,0,0,8.3,0,0,4.3,0,21.1,0,0,0,0,0,0,0,0,.,339,27,8,0,0,178,52.5,15,4.4,19,5.6,29,8.6,22,6.5,30,8.8,32,9.4,23,6.8,25,7.4,36,10.6,21,6.2,25,7.4,28,8.3,0,0,8,2.4,17,5,17,5,57,16.8,3,0.9,43,12.7,2,0.6,41,12.1,123,36.3,277,81.7,3,18
'050902,2001,0,135,0,3,0.1,0,7,14,2,0,0.7,2.5,1.7,0,0,0.5,0.6,0,0,6.7,5.3,5,0,0,0,2.9,4.7,0,2534,26,1,115,4.5,843,33.3,171,6.7,175,6.9,207,8.2,201,7.9,197,7.8,206,8.1,226,8.9,204,8.1,216,8.5,204,8.1,178,7,139,5.5,2,0.1,140,5.5,172,6.8,36,1.4,300,11.8,11,0.4,26,1,18,0.7,353,13.9,470,18.5,2090,82.5,15,112
'050904,2001,0,12,1.1,4,2,1,0,3,0,0,0,0,0,0,0,9.1,15.4,0,0,.,0,0,0,0,0,.,0,0,176,0,0,0,0,69,39.2,15,8.5,13,7.4,12,6.8,11,6.3,15,8.5,18,10.2,13,7.4,11,6.3,13,7.4,9,5.1,17,9.7,15,8.5,0,0,10,5.7,14,8,0,0,39,22.2,7,4,0,0,0,0,34,19.3,68,38.6,130,73.9,2,9
'050909,2001,0,13,3.2,0,0,4,0,0,0,0,7.1,0,0,0,0,0,6.3,5.9,0,0,50,0,0,0,0,0,0,0,212,4,1.9,0,0,67,31.6,19,9,14,6.6,19,9,17,8,13,6.1,17,8,19,9,19,9,14,6.6,19,9,13,6.1,14,6.6,1,0.5,15,7.1,14,6.6,0,0,9,4.2,3,1.4,0,0,1,0.5,36,17,52,24.5,199,93.9,3,13
'050910,2001,0,408,0.4,12,0.1,13,102,54,3,19,6,1.3,0.3,0.5,2.3,0.7,1.7,2,1.7,17.3,3.9,0,1.2,6,5.2,8,10.6,1.6,7242,55,0.8,1951,26.9,2491,34.4,590,8.1,525,7.2,591,8.2,520,7.2,557,7.7,539,7.4,572,7.9,587,8.1,725,10,491,6.8,475,6.6,403,5.6,27,0.4,462,6.4,515,7.1,125,1.7,842,11.6,63,0.9,62,0.9,260,3.6,911,12.6,1567,21.6,4126,57,27,230
'051901,2001,0,18,0,1,0.3,0,0,2,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,9.1,0,50,324,4,1.2,75,23.1,217,67,18,5.6,20,6.2,31,9.6,22,6.8,18,5.6,25,7.7,20,6.2,32,9.9,36,11.1,32,9.9,25,7.7,21,6.5,0,0,33,10.2,24,7.4,0,0,86,26.5,0,0,4,1.2,0,0,56,17.3,73,22.5,163,50.3,1,16
'052901,2001,0,75,0,0,0,0,3,42,0,0,14.8,1.9,0,2.2,0,1.7,0,0,0,53.8,8.3,0,8.7,0,6.3,0,0,0,1017,51,5,29,2.9,380,37.4,90,8.8,54,5.3,65,6.4,83,8.2,65,6.4,64,6.3,66,6.5,69,6.8,103,10.1,78,7.7,83,8.2,82,8.1,1,0.1,44,4.3,57,5.6,57,5.6,546,53.7,4,0.4,105,10.3,0,0,217,21.3,206,20.3,438,43.1,20,30
'053001,2001,0,91,0,7,0.7,0,1,51,0,0,5.7,0,0,0,0,0,0,1.6,2.1,0,0,0,0,0,0,0,0,10,835,99,11.9,2,0.2,428,51.3,58,6.9,60,7.2,61,7.3,49,5.9,66,7.9,70,8.4,66,7.9,69,8.3,74,8.9,73,8.7,59,7.1,53,6.3,0,0,43,5.1,55,6.6,22,2.6,537,64.3,0,0,106,12.7,2,0.2,67,8,203,24.3,294,35.2,6,39
'054901,2001,0,46,0,0,0,0,4,25,0,1,0,6.9,0,0,0,0,3.4,0,6.9,20,40,0,0,0,0,7.7,0,25,494,57,11.5,18,3.6,295,59.7,35,7.1,39,7.9,35,7.1,31,6.3,32,6.5,36,7.3,37,7.5,33,6.7,49,9.9,35,7.1,33,6.7,41,8.3,2,0.4,88,17.8,41,8.3,15,3,301,60.9,0,0,57,11.5,0,0,92,18.6,209,42.3,175,35.4,7,16
'054902,2001,0,16,0,0,0,0,0,12,0,0,3,0,0,0,0,0,6.7,6.9,0,10,0,11.1,12.5,0,0,0,0,20,402,48,11.9,26,6.5,300,74.6,21,5.2,36,9,36,9,20,5,38,9.5,32,8,38,9.5,23,5.7,32,8,24,6,21,5.2,26,6.5,0,0,45,11.2,28,7,27,6.7,265,65.9,0,0,49,12.2,0,0,86,21.4,142,35.3,111,27.6,3,4
