DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'194902,2001,0,20,0,1,0.2,0,1,1,0,0,8.7,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,374,15,4,14,3.7,224,59.9,41,11,29,7.8,25,6.7,32,8.6,19,5.1,33,8.8,33,8.8,26,7,28,7.5,15,4,20,5.3,28,7.5,1,0.3,40,10.7,26,7,18,4.8,30,8,7,1.9,15,4,1,0.3,66,17.6,62,16.6,322,86.1,2,18
'194903,2001,0,52,0,0,0,0,1,3,0,0,10.3,2.4,0,0,0,0,2.2,0,20,0,0,0,0,0,0,0,0,33.3,716,25,3.5,41,5.7,325,45.4,45,6.3,45,6.3,46,6.4,46,6.4,60,8.4,61,8.5,49,6.8,61,8.5,66,9.2,68,9.5,37,5.2,46,6.4,0,0,75,10.5,65,9.1,21,2.9,49,6.8,1,0.1,25,3.5,0,0,97,13.5,203,28.4,625,87.3,3,48
'194904,2001,0,73,0.3,3,0.2,2,40,2,0,0,14.6,4.5,13.8,2.8,1.6,2.6,9.2,0,2.7,11.1,0,0,6.7,0,8.3,4,0,0,1183,38,3.2,602,50.9,762,64.4,91,7.7,78,6.6,80,6.8,78,6.6,80,6.8,92,7.8,100,8.5,95,8,94,7.9,80,6.8,87,7.4,84,7.1,3,0.3,90,7.6,82,6.9,59,5,100,8.5,11,0.9,46,3.9,4,0.3,186,15.7,272,23,466,39.4,15,31
'194905,2001,0,31,0,4,0.7,0,8,0,0,0,5.7,2.3,3.8,0,0,4.2,0,0,2.9,14.3,0,0,25,0,0,0,0,33.3,492,1,0.2,70,14.2,240,48.8,40,8.1,38,7.7,53,10.8,40,8.1,38,7.7,30,6.1,31,6.3,32,6.5,35,7.1,34,6.9,32,6.5,27,5.5,0,0,40,8.1,43,8.7,19,3.9,6,1.2,1,0.2,2,0.4,4,0.8,68,13.8,95,19.3,411,83.5,3,23
'195901,2001,0,164,1.8,7,0.2,27,3,139,1,1,8.1,4,0.5,0.6,2.6,0,8.5,2.9,1.7,35.7,27.8,4,0,9.1,0,5,20,5.6,2775,298,10.7,44,1.6,1914,69,218,7.9,220,7.9,172,6.2,199,7.2,203,7.3,215,7.7,204,7.4,215,7.7,236,8.5,223,8,205,7.4,191,6.9,12,0.4,154,5.5,193,7,69,2.5,2423,87.3,2,0.1,423,15.2,13,0.5,319,11.5,734,26.5,293,10.6,13,20
'195902,2001,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5.3,0,0,.,0,0,0,0,0,.,0,0,227,22,9.7,0,0,140,61.7,15,6.6,17,7.5,16,7,11,4.8,11,4.8,15,6.6,25,11,20,8.8,17,7.5,22,9.7,22,9.7,18,7.9,0,0,30,13.2,9,4,9,4,192,84.6,0,0,68,30,0,0,25,11,109,48,35,15.4,2,3
'196901,2001,0,13,1,7,3.1,1,0,8,0,0,5.9,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,192,0,0,1,0.5,76,39.6,15,7.8,16,8.3,8,4.2,15,7.8,11,5.7,18,9.4,24,12.5,17,8.9,26,13.5,15,7.8,11,5.7,8,4.2,0,0,13,6.8,8,4.2,0,0,137,71.4,0,0,8,4.2,0,0,19,9.9,76,39.6,54,28.1,1,5
'196902,2001,0,56,4.3,1,0.1,13,3,29,0,0,2.4,0,0,0,2.6,3.4,5.6,3.1,12.9,0,0,0,0,0,8.3,5.6,0,20,588,3,0.5,22,3.7,287,48.8,31,5.3,46,7.8,40,6.8,51,8.7,49,8.3,49,8.3,44,7.5,51,8.7,50,8.5,37,6.3,40,6.8,39,6.6,0,0,45,7.7,46,7.8,15,2.6,313,53.2,0,0,10,1.7,0,0,116,19.7,140,23.8,253,43,12,24
'196903,2001,0,66,2.4,1,0.1,10,10,30,0,0,5.8,4.5,7.4,0,0,2.7,2.2,0,4.3,20,40,0,0,0,0,0,0,0,821,35,4.3,130,15.8,402,49,54,6.6,66,8,69,8.4,59,7.2,58,7.1,67,8.2,85,10.4,50,6.1,81,9.9,60,7.3,59,7.2,59,7.2,0,0,67,8.2,54,6.6,0,0,385,46.9,1,0.1,40,4.9,6,0.7,121,14.7,248,30.2,299,36.4,8,26
'197902,2001,17,17,0,2,1,0,0,0,0,0,0,0,9.1,0,0,0,0,5.6,0,0,0,.,0,0,.,0,.,0,166,0,0,0,0,46,27.7,7,4.2,10,6,9,5.4,9,5.4,13,7.8,16,9.6,10,6,21,12.7,18,10.8,15,9,17,10.2,14,8.4,0,0,15,9,7,4.2,0,0,8,4.8,0,0,0,0,1,0.6,15,9,45,27.1,157,94.6,2,17
'198901,2001,0,27,0.4,3,0.6,1,5,3,0,0,2.7,0,0,0,3.4,3.3,6.8,0,0,0,50,0,0,0,0,.,100,20,463,0,0,76,16.4,173,37.4,27,5.8,43,9.3,25,5.4,24,5.2,41,8.9,32,6.9,38,8.2,39,8.4,30,6.5,42,9.1,44,9.5,31,6.7,0,0,15,3.2,27,5.8,20,4.3,13,2.8,0,0,0,0,2,0.4,53,11.4,152,32.8,372,80.3,1,19
'198902,2001,0,19,2.6,2,0.5,4,13,2,0,0,15.4,0,0,0,8.3,0,5.6,19,11.1,0,0,0,0,0,0,42.9,50,0,319,11,3.4,274,85.9,298,93.4,23,7.2,23,7.2,23,7.2,36,11.3,27,8.5,32,10,23,7.2,27,8.5,22,6.9,17,5.3,14,4.4,16,5,0,0,10,3.1,20,6.3,16,5,29,9.1,0,0,11,3.4,0,0,51,16,64,20.1,16,5,2,4
'198903,2001,0,67,0.8,5,0.5,4,6,3,0,0,3.1,0,0,0,0,1.5,2.7,0,3.1,14.3,0,0,0,0,0,11.1,0,12.5,943,0,0,85,9,331,35.1,70,7.4,72,7.6,64,6.8,59,6.3,74,7.8,70,7.4,79,8.4,82,8.7,80,8.5,80,8.5,62,6.6,54,5.7,3,0.3,73,7.7,63,6.7,31,3.3,82,8.7,0,0,3,0.3,1,0.1,95,10.1,290,30.8,775,82.2,9,58
'198905,2001,10,71,0.3,9,0.6,2,38,18,0,0,3.8,3.6,3.6,0,1.3,1.4,3.8,5.2,2.6,23.1,11.1,0,0,0,3.8,0,13.6,0,1192,59,4.9,671,56.3,948,79.5,89,7.5,92,7.7,88,7.4,89,7.5,83,7,90,7.6,95,8,87,7.3,79,6.6,73,6.1,84,7,58,4.9,1,0.1,148,12.4,83,7,101,8.5,352,29.5,0,0,121,10.2,2,0.2,161,13.5,199,16.7,167,14,12,15
'198906,2001,.,.,0,3,0.8,0,.,.,.,.,8.3,2.8,0,0,7.7,0,25,6.7,9.1,25,33.3,0,50,0,0,0,0,0,371,40,10.8,48,12.9,278,74.9,37,10,35,9.4,45,12.1,30,8.1,35,9.4,19,5.1,32,8.6,16,4.3,23,6.2,17,4.6,0,0,0,0,0,0,15,4,34,9.2,48,12.9,141,38,0,0,40,10.8,0,0,45,12.1,16,4.3,182,49.1,.,.
'199901,2001,0,397,0.1,32,0.3,3,12,23,0,11,5.1,1.8,0.6,0,0.3,0.2,0.6,0.5,2.6,12.1,4.2,2.6,0,0,1.1,1.7,1.2,13.1,8359,291,3.5,306,3.7,1125,13.5,686,8.2,595,7.1,621,7.4,637,7.6,666,8,702,8.4,668,8,639,7.6,731,8.7,724,8.7,571,6.8,543,6.5,13,0.2,655,7.8,529,6.3,34,0.4,902,10.8,12,0.1,337,4,133,1.6,794,9.5,1369,16.4,7006,83.8,23,351
'199902,2001,0,100,2.3,16,0.7,21,5,20,0,1,3,1.7,4.2,2.5,0,0.9,0,0,8.3,3.8,0,0,0,0,3.4,0,0,11.1,1974,174,8.8,100,5.1,687,34.8,155,7.9,168,8.5,146,7.4,166,8.4,158,8,158,8,143,7.2,161,8.2,143,7.2,130,6.6,122,6.2,86,4.4,5,0.3,91,4.6,170,8.6,63,3.2,457,23.2,4,0.2,181,9.2,12,0.6,341,17.3,366,18.5,1401,71,19,74
'200901,2001,0,76,0,0,0,0,0,30,0,1,5.1,6.3,1.4,2.7,1.2,1.5,0,0,7.1,23.1,10,0,0,0,0,0,0,66.7,1117,26,2.3,24,2.1,592,53,72,6.4,88,7.9,71,6.4,77,6.9,82,7.3,90,8.1,76,6.8,79,7.1,100,9,101,9,88,7.9,89,8,0,0,97,8.7,73,6.5,31,2.8,404,36.2,0,0,34,3,2,0.2,124,11.1,303,27.1,687,61.5,11,45
'200902,2001,0,20,0,0,0,0,0,11,0,0,9.5,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,16.7,477,45,9.4,1,0.2,246,51.6,23,4.8,21,4.4,43,9,29,6.1,37,7.8,40,8.4,45,9.4,45,9.4,37,7.8,37,7.8,37,7.8,44,9.2,3,0.6,23,4.8,29,6.1,7,1.5,187,39.2,1,0.2,63,13.2,0,0,101,21.2,97,20.3,288,60.4,6,9
'200904,2001,0,51,0,9,1,0,0,25,0,0,1.9,4.1,4.7,0,1.9,0,2.2,2.3,1.9,16.7,0,25,0,0,0,10,36.4,12.5,806,62,7.7,17,2.1,528,65.5,63,7.8,61,7.6,55,6.8,53,6.6,68,8.4,62,7.7,62,7.7,57,7.1,63,7.8,69,8.6,47,5.8,61,7.6,2,0.2,66,8.2,58,7.2,25,3.1,390,48.4,0,0,66,8.2,5,0.6,95,11.8,211,26.2,394,48.9,8,26
'200906,2001,.,.,0,0,0,0,.,.,.,.,0,0,0,14.3,14.3,0,0,0,0,.,0,0,0,0,0,0,0,.,73,0,0,3,4.1,65,89,3,4.1,5,6.8,8,11,10,13.7,8,11,6,8.2,7,9.6,6,8.2,0,0,0,0,0,0,0,0,0,0,2,2.7,11,15.1,9,12.3,42,57.5,0,0,0,0,0,0,8,11,6,8.2,28,38.4,.,.
'201902,2001,0,247,0.2,7,0.2,3,53,12,0,1,0,3.6,4.2,1.4,0,6,3,0.9,0.5,18,5.9,0,0,7.1,2,0,2.2,3.7,3570,410,11.5,892,25,1695,47.5,233,6.5,280,7.8,273,7.6,295,8.3,258,7.2,290,8.1,260,7.3,286,8,322,9,278,7.8,263,7.4,199,5.6,9,0.3,186,5.2,228,6.4,96,2.7,486,13.6,1,0,269,7.5,14,0.4,540,15.1,672,18.8,2177,61,35,181
'201903,2001,0,14,0,2,0.6,0,13,1,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,7,3.3,153,71.2,186,86.5,9,4.2,11,5.1,15,7,13,6,16,7.4,11,5.1,12,5.6,28,13,22,10.2,23,10.7,17,7.9,10,4.7,0,0,6,2.8,9,4.2,19,8.8,26,12.1,0,0,7,3.3,0,0,65,30.2,97,45.1,36,16.7,6,0
'201904,2001,0,10,1.9,0,0,2,0,3,0,0,0,0,0,0,0,0,25,8.3,8.3,0,0,0,0,0,0,0,0,0,239,6,2.5,36,15.1,135,56.5,17,7.1,20,8.4,22,9.2,18,7.5,18,7.5,24,10,22,9.2,15,6.3,14,5.9,14,5.9,16,6.7,5,2.1,0,0,11,4.6,14,5.9,20,8.4,15,6.3,4,1.7,6,2.5,0,0,34,14.2,45,18.8,184,77,2,7
'201907,2001,0,26,2.7,4,0.8,5,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15.4,12.5,0,427,0,0,92,21.5,172,40.3,30,7,36,8.4,31,7.3,40,9.4,34,8,30,7,41,9.6,39,9.1,23,5.4,21,4.9,30,7,27,6.3,0,0,20,4.7,24,5.6,21,4.9,5,1.2,3,0.7,0,0,0,0,72,16.9,94,22,327,76.6,1,20
'201908,2001,0,25,4.6,1,0.2,11,5,2,0,0,0,2.9,3.6,3.4,3.6,3.4,0,0,0,16.7,0,0,0,0,0,0,0,33.3,497,0,0,80,16.1,203,40.8,35,7,38,7.6,46,9.3,31,6.2,37,7.4,36,7.2,36,7.2,31,6.2,29,5.8,38,7.6,29,5.8,36,7.2,1,0.2,37,7.4,38,7.6,36,7.2,15,3,4,0.8,0,0,1,0.2,67,13.5,89,17.9,397,79.9,2,18
'201910,2001,0,82,0.1,8,0.6,1,18,12,0,0,1.3,1.5,1.3,0,3.6,3.9,1.1,0,1.3,0,7.7,0,0,0,7.1,0,0,22.2,1198,61,5.1,300,25,558,46.6,83,6.9,88,7.3,79,6.6,86,7.2,91,7.6,93,7.8,83,6.9,99,8.3,105,8.8,89,7.4,93,7.8,113,9.4,3,0.3,78,6.5,68,5.7,25,2.1,212,17.7,1,0.1,88,7.3,1,0.1,110,9.2,153,12.8,684,57.1,6,52
'201913,2001,0,30,0,1,0.2,0,5,1,0,0,5.9,2.9,5.7,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,.,507,57,11.2,43,8.5,277,54.6,37,7.3,36,7.1,35,6.9,37,7.3,41,8.1,34,6.7,36,7.1,43,8.5,40,7.9,30,5.9,30,5.9,31,6.1,0,0,56,11,33,6.5,44,8.7,146,28.8,3,0.6,104,20.5,0,0,46,9.1,89,17.6,315,62.1,7,24
'201914,2001,0,37,2.3,1,0.1,11,13,3,0,0,11.6,3.8,0,4.9,1.9,0,1.4,0,0,25,0,11.1,0,0,0,0,0,0,855,26,3,175,20.5,492,57.5,59,6.9,45,5.3,63,7.4,67,7.8,60,7,61,7.1,67,7.8,81,9.5,65,7.6,69,8.1,72,8.4,66,7.7,1,0.1,39,4.6,43,5,36,4.2,63,7.4,0,0,27,3.2,0,0,134,15.7,241,28.2,617,72.2,3,21
'202903,2001,0,57,1.5,14,1.2,7,12,1,0,0,7.4,15.4,6.6,1.8,0,1.7,1.5,0,4.1,0,0,0,0,0,5.6,20,0,0,983,0,0,169,17.2,479,48.7,57,5.8,80,8.1,71,7.2,85,8.6,65,6.6,73,7.4,86,8.7,81,8.2,90,9.2,67,6.8,66,6.7,62,6.3,0,0,71,7.2,60,6.1,40,4.1,27,2.7,3,0.3,1,0.1,0,0,131,13.3,229,23.3,784,79.8,7,44
'202905,2001,0,39,0,1,0.1,0,7,1,0,0,6.3,2.5,0,2.9,0,0,2.7,0,0,25,14.3,0,0,0,5.9,11.1,0,0,635,0,0,79,12.4,324,51,48,7.6,42,6.6,45,7.1,46,7.2,42,6.6,42,6.6,53,8.3,41,6.5,69,10.9,41,6.5,38,6,42,6.6,0,0,24,3.8,47,7.4,39,6.1,1,0.2,1,0.2,0,0,0,0,98,15.4,167,26.3,554,87.2,9,31
'203901,2001,0,91,1.5,3,0.2,8,60,2,1,1,0,0,4.3,1.7,1.2,1.5,0,0,1.5,25,0,0,0,0,11.1,0,0,0,1024,14,1.4,591,57.7,723,70.6,74,7.2,67,6.5,61,6,70,6.8,75,7.3,87,8.5,81,7.9,79,7.7,89,8.7,90,8.8,67,6.5,68,6.6,0,0,197,19.2,71,6.9,45,4.4,66,6.4,1,0.1,22,2.1,0,0,150,14.6,229,22.4,366,35.7,15,27
'203902,2001,0,23,0,3,0.6,0,2,0,0,1,6.1,0,0,5.6,0,3.1,0,13.6,8.1,0,14.3,0,0,0,0,0,11.1,0,422,1,0.2,33,7.8,305,72.3,42,10,33,7.8,33,7.8,36,8.5,23,5.5,28,6.6,38,9,29,6.9,29,6.9,37,8.8,21,5,30,7.1,0,0,63,14.9,23,5.5,20,4.7,2,0.5,0,0,1,0.2,2,0.5,72,17.1,130,30.8,385,91.2,4,20
'204901,2001,0,83,4.6,30,1.4,44,30,2,0,0,8.1,2.6,2.6,0.9,1.7,1.5,4.1,0.9,0.9,5.6,0,0,0,0,0,0,0,13.3,1837,7,0.4,533,29,1014,55.2,143,7.8,147,8,137,7.5,145,7.9,149,8.1,150,8.2,163,8.9,139,7.6,196,10.7,123,6.7,100,5.4,106,5.8,1,0.1,113,6.2,124,6.8,14,0.8,68,3.7,8,0.4,10,0.5,0,0,203,11.1,229,12.5,1228,66.8,14,51
'204904,2001,0,85,0.8,6,0.3,7,11,5,0,0,13.4,5.3,0.8,0.9,4,2.6,6.9,6.1,1.8,18.2,9.5,0,3.8,0,0,13.3,0,22.2,1808,61,3.4,211,11.7,958,53,145,8,133,7.4,131,7.2,149,8.2,131,7.2,135,7.5,181,10,122,6.7,187,10.3,113,6.3,114,6.3,89,4.9,5,0.3,124,6.9,128,7.1,45,2.5,166,9.2,8,0.4,66,3.7,22,1.2,264,14.6,451,24.9,1401,77.5,4,69
'205901,2001,0,89,0.8,64,2.5,8,5,46,1,0,15,6.2,2.8,0,4.5,2.6,7.1,2.5,2.4,19,0,7.5,0,2.3,0,0,0,15.8,2156,90,4.2,92,4.3,1325,61.5,161,7.5,172,8,185,8.6,175,8.1,168,7.8,175,8.1,157,7.3,144,6.7,209,9.7,121,5.6,126,5.8,103,4.8,6,0.3,199,9.2,156,7.2,98,4.5,949,44,4,0.2,121,5.6,8,0.4,346,16,617,28.6,1103,51.2,10,37
'205902,2001,0,267,0,24,0.5,1,4,88,0,4,5.8,0.8,1.2,0.8,1,0,5.4,3.5,1.1,10,2.2,1.7,1.5,0,0,2.4,5.7,5,4422,54,1.2,176,4,1390,31.4,352,8,326,7.4,317,7.2,348,7.9,347,7.8,356,8.1,333,7.5,358,8.1,344,7.8,347,7.8,304,6.9,260,5.9,13,0.3,446,10.1,339,7.7,78,1.8,1677,37.9,16,0.4,84,1.9,47,1.1,539,12.2,1018,23,2506,56.7,30,171
'205903,2001,0,115,1.1,70,2.8,11,3,34,0,2,1.5,3.5,1.4,1.4,0.8,4.1,3.2,0.8,0,7.7,0,0,0,0,0,0,0,5.9,2060,61,3,89,4.3,790,38.3,156,7.6,173,8.4,172,8.3,166,8.1,188,9.1,141,6.8,149,7.2,145,7,194,9.4,136,6.6,130,6.3,90,4.4,8,0.4,94,4.6,158,7.7,54,2.6,681,33.1,12,0.6,63,3.1,48,2.3,244,11.8,694,33.7,1230,59.7,12,76
'205904,2001,0,111,0.1,3,0.1,1,0,88,0,0,6.9,5.5,1.3,0.8,1.4,0,5.7,2.8,0,14.3,0,0,0,0,0,7.7,0,0,2094,102,4.9,19,0.9,1665,79.5,152,7.3,143,6.8,163,7.8,178,8.5,148,7.1,161,7.7,176,8.4,156,7.4,206,9.8,130,6.2,144,6.9,130,6.2,7,0.3,182,8.7,149,7.1,51,2.4,1781,85.1,0,0,163,7.8,1,0,246,11.7,273,13,293,14,9,23
'205905,2001,0,78,0.2,6,0.4,1,0,52,0,0,10.5,0,0,0,1.3,0,0,1.3,0,20,0,0,0,0,0,0,0,0,1198,43,3.6,2,0.2,719,60,86,7.2,73,6.1,88,7.3,88,7.3,96,8,90,7.5,79,6.6,84,7,109,9.1,92,7.7,78,6.5,70,5.8,0,0,116,9.7,95,7.9,70,5.8,930,77.6,3,0.3,64,5.3,2,0.2,110,9.2,278,23.2,261,21.8,5,26
'205906,2001,0,109,0.2,18,0.7,2,6,75,0,1,4.1,2.1,1.2,3.9,3.6,1.5,4.2,1.1,2.8,14.3,0,0,0,0,0,0,0,0,2176,53,2.4,42,1.9,1357,62.4,167,7.7,148,6.8,155,7.1,188,8.6,144,6.6,165,7.6,159,7.3,158,7.3,230,10.6,167,7.7,128,5.9,128,5.9,5,0.2,221,10.2,160,7.4,74,3.4,1667,76.6,2,0.1,66,3,4,0.2,218,10,403,18.5,461,21.2,10,27
'205907,2001,0,79,0.3,90,4.4,3,1,69,0,1,3.2,0,1.1,0,0,0,6,0.9,2.8,9.1,0,4.3,0,9.1,0,0,5.9,0,1483,88,5.9,40,2.7,1120,75.5,118,8,112,7.6,117,7.9,102,6.9,101,6.8,103,6.9,103,6.9,86,5.8,147,9.9,126,8.5,91,6.1,95,6.4,0,0,137,9.2,83,5.6,99,6.7,1260,85,0,0,177,11.9,1,0.1,220,14.8,247,16.7,182,12.3,9,8
'206901,2001,0,47,0.3,4,0.4,1,0,11,0,0,7.3,1.8,3.6,0,0,0,5.2,0,7.3,8.3,11.1,0,0,0,0,0,0,12.5,832,56,6.7,6,0.7,480,57.7,50,6,69,8.3,69,8.3,66,7.9,63,7.6,55,6.6,66,7.9,72,8.7,57,6.9,42,5,64,7.7,59,7.1,11,1.3,79,9.5,68,8.2,21,2.5,296,35.6,1,0.1,58,7,0,0,140,16.8,163,19.6,529,63.6,6,36
'206902,2001,0,11,0,1,0.5,0,0,2,0,0,0,0,12.5,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,50,168,1,0.6,0,0,79,47,9,5.4,12,7.1,13,7.7,10,6,9,5.4,6,3.6,17,10.1,18,10.7,19,11.3,15,8.9,10,6,15,8.9,2,1.2,10,6,13,7.7,0,0,25,14.9,0,0,1,0.6,0,0,34,20.2,80,47.6,143,85.1,0,9
'206903,2001,0,9,0,0,0,0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,142,8,5.6,7,4.9,88,62,8,5.6,3,2.1,8,5.6,6,4.2,8,5.6,11,7.7,18,12.7,14,9.9,19,13.4,15,10.6,14,9.9,11,7.7,0,0,7,4.9,7,4.9,0,0,23,16.2,2,1.4,8,5.6,0,0,37,26.1,54,38,110,77.5,1,8
'207901,2001,0,50,0,0,0,0,0,23,0,0,2.6,0,0,0,0,0,0,0,0,20,0,16.7,0,0,0,0,0,16.7,662,63,9.5,9,1.4,381,57.6,41,6.2,42,6.3,39,5.9,47,7.1,46,6.9,55,8.3,51,7.7,51,7.7,65,9.8,54,8.2,52,7.9,55,8.3,0,0,43,6.5,47,7.1,17,2.6,408,61.6,0,0,63,9.5,0,0,83,12.5,210,31.7,245,37,10,27
'208901,2001,0,15,0,1,0.7,0,0,4,0,0,14.3,10,0,0,0,0,0,0,20,0,.,33.3,.,20,.,0,0,0,112,0,0,0,0,47,42,6,5.4,6,5.4,10,8.9,9,8,7,6.3,13,11.6,9,8,11,9.8,9,8,7,6.3,10,8.9,9,8,0,0,8,7.1,6,5.4,0,0,32,28.6,0,0,0,0,0,0,24,21.4,35,31.3,80,71.4,1,11
'208902,2001,0,223,0.1,10,0.3,1,5,66,0,2,3.6,2.8,1.9,0.7,2.6,0,3,0.6,3.5,13.6,10.8,19.1,0,0,2.4,0,0,5,2761,85,3.1,161,5.8,1311,47.5,191,6.9,220,8,231,8.4,185,6.7,186,6.7,206,7.5,214,7.8,198,7.2,230,8.3,236,8.5,199,7.2,178,6.4,28,1,166,6,197,7.1,62,2.2,1155,41.8,14,0.5,85,3.1,9,0.3,524,19,665,24.1,1422,51.5,26,150
'208903,2001,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,167,0,0,0,0,33,19.8,9,5.4,20,12,11,6.6,12,7.2,10,6,10,6,14,8.4,11,6.6,19,11.4,20,12,9,5.4,13,7.8,0,0,32,19.2,9,5.4,0,0,36,21.6,0,0,3,1.8,0,0,15,9,55,32.9,131,78.4,0,10
'209901,2001,0,28,0,0,0,0,0,2,0,0,5.3,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,610,10,1.6,8,1.3,221,36.2,36,5.9,41,6.7,43,7,46,7.5,50,8.2,39,6.4,51,8.4,42,6.9,45,7.4,45,7.4,42,6.9,47,7.7,6,1,48,7.9,46,7.5,31,5.1,79,13,2,0.3,11,1.8,0,0,93,15.2,164,26.9,521,85.4,1,26
'209902,2001,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,.,103,0,0,0,0,76,73.8,8,7.8,4,3.9,9,8.7,4,3.9,4,3.9,9,8.7,6,5.8,7,6.8,11,10.7,7,6.8,11,10.7,7,6.8,0,0,7,6.8,6,5.8,10,9.7,6,5.8,2,1.9,0,0,0,0,32,31.1,34,33,95,92.2,5,8
'210901,2001,0,120,0.4,12,0.4,4,33,9,1,0,9.9,5.4,3.8,4.2,3.9,1.9,8.5,6.4,6.4,18.5,4.5,0,5.6,0,0,4.3,7.7,15.8,2370,322,13.6,707,29.8,1382,58.3,176,7.4,179,7.6,169,7.1,158,6.7,164,6.9,172,7.3,206,8.7,157,6.6,188,7.9,149,6.3,137,5.8,142,6,2,0.1,107,4.5,202,8.5,169,7.1,468,19.7,7,0.3,364,15.4,2,0.1,318,13.4,480,20.3,1186,50,18,77
'210902,2001,0,33,0,0,0,0,1,0,0,0,8,0,0,4.3,0,2.8,11.6,0,6.5,0,9.1,0,0,0,20,12.5,0,0,657,26,4,43,6.5,326,49.6,47,7.2,52,7.9,49,7.5,44,6.7,54,8.2,60,9.1,55,8.4,48,7.3,56,8.5,39,5.9,30,4.6,40,6.1,0,0,46,7,51,7.8,32,4.9,30,4.6,1,0.2,26,4,0,0,90,13.7,124,18.9,583,88.7,10,32
'210903,2001,8,44,2.1,21,2.6,7,13,2,0,0,4.2,2.9,0,0,2,1.6,2.1,6,2.9,0,0,0,0,0,0,0,0,25,709,7,1,203,28.6,372,52.5,36,5.1,57,8,42,5.9,64,9,59,8.3,62,8.7,67,9.4,58,8.2,55,7.8,51,7.2,41,5.8,43,6.1,2,0.3,42,5.9,49,6.9,23,3.2,33,4.7,0,0,7,1,0,0,86,12.1,139,19.6,473,66.7,8,29
'210904,2001,0,21,1.6,1,0.2,3,11,0,0,0,5,3.6,11.5,7.7,0,3.2,0,0,0,0,0,0,11.1,0,0,0,0,0,412,40,9.7,149,36.2,291,70.6,30,7.3,33,8,36,8.7,34,8.3,34,8.3,24,5.8,42,10.2,30,7.3,36,8.7,26,6.3,22,5.3,27,6.6,0,0,27,6.6,23,5.6,15,3.6,67,16.3,0,0,42,10.2,0,0,78,18.9,145,35.2,196,47.6,4,10
'210905,2001,0,35,0,1,0.1,0,14,0,0,1,7.9,0,0,6.5,6.5,2.2,0,5.1,0,16.7,0,0,12.5,0,0,7.1,0,0,583,9,1.5,195,33.4,363,62.3,49,8.4,32,5.5,49,8.4,42,7.2,38,6.5,41,7,55,9.4,41,7,50,8.6,50,8.6,45,7.7,47,8.1,0,0,35,6,27,4.6,17,2.9,25,4.3,0,0,9,1.5,3,0.5,102,17.5,151,25.9,360,61.7,8,20
'210906,2001,.,.,50,2,2.6,6,.,.,.,.,0,0,0,0,0,0,0,0,20,50,.,.,0,0,0,0,.,.,75,11,14.7,0,0,54,72,7,9.3,6,8,4,5.3,8,10.7,10,13.3,8,10.7,8,10.7,4,5.3,0,0,0,0,0,0,0,0,1,1.3,1,1.3,5,6.7,14,18.7,14,18.7,1,1.3,11,14.7,0,0,14,18.7,0,0,60,80,.,.
