DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION
'114904,HOWARD,'114,TRW,N,FORSAN ISD,A,'18
'079907,FORT BEND,'079,A,N,FORT BEND ISD,A,'04
'242906,WHEELER,'242,ATS,N,FORT ELLIOTT CISD,A,'16
'220809,TARRANT,'220,CTEWS,Y,FORT WORTH ACADEMY OF FINE ARTS,A,'11
'220804,TARRANT,'220,,Y,FORT WORTH CAN ACADEMY,1,'11
'220905,TARRANT,'220,,N,FORT WORTH ISD,A,'11
'198903,ROBERTSON,'198,RS,N,FRANKLIN ISD,A,'06
'001904,ANDERSON,'001,TRS,N,FRANKSTON ISD,A,'07
'086901,GILLESPIE,'086,PW,N,FREDERICKSBURG ISD,A,'13
'066903,DUVAL,'066,R,N,FREER ISD,A,'02
'152907,LUBBOCK,'152,EW,N,FRENSHIP ISD,A,'17
'084911,GALVESTON,'084,PCTREWMNS,N,FRIENDSWOOD ISD,R,'04
'185903,PARMER,'185,ADRW,N,FRIONA ISD,R,'16
'043905,COLLIN,'043,REWMS,N,FRISCO ISD,R,'10
'175905,NAVARRO,'175,TS,N,FROST ISD,R,'12
'227812,TRAVIS,'227,,Y,FRUIT OF EXCELLENCE,A,'13
'234909,VAN ZANDT,'234,T,N,FRUITVALE ISD,R,'07
'122901,JEFF DAVIS,'122,ATRS,N,FT DAVIS ISD,A,'18
'115901,HUDSPETH,'115,AR,N,FT HANCOCK ISD,A,'19
'015914,BEXAR,'015,APE,N,FT SAM HOUSTON ISD,R,'20
'186902,PECOS,'186,,N,FT STOCKTON ISD,A,'18
'232801,UVALDE,'232,,Y,GABRIEL TAFOLLA CHARTER SCHOOL,L,'20
'049901,COOKE,'049,R,N,GAINESVILLE ISD,A,'11
'101910,HARRIS,'101,RW,N,GALENA PARK ISD,A,'04
'084902,GALVESTON,'084,,N,GALVESTON ISD,A,'04
'120902,JACKSON,'120,ATRW,N,GANADO ISD,R,'03
'057909,DALLAS,'057,AR,N,GARLAND ISD,A,'10
'184911,PARKER,'184,AEWMNS,N,GARNER ISD,A,'11
'174903,NACOGDOCHES,'174,AW,N,GARRISON ISD,A,'07
'183904,PANOLA,'183,EW,N,GARY ISD,A,'07
'050902,CORYELL,'050,T,N,GATESVILLE ISD,A,'12
'240801,WEBB,'240,,Y,GATEWAY (STUDENT ALTERNATIVE PROGR,1,'01
'057831,DALLAS,'057,S,Y,GATEWAY CHARTER ACADEMY,A,'10
'166902,MILAM,'166,AEWNS,N,GAUSE ISD,R,'06
'015802,BEXAR,'015,,Y,GEORGE GERVIN ACADEMY,1,'20
'101804,HARRIS,'101,,Y,GEORGE I SANCHEZ CHARTER,1,'04
'015812,BEXAR,'015,,Y,GEORGE I SANCHEZ CHARTER HS SAN AN,1,'20
'149901,LIVE OAK,'149,RE,N,GEORGE WEST ISD,A,'02
'246904,WILLIAMSON,'246,W,N,GEORGETOWN ISD,A,'13
'161925,MCLENNAN,'161,AEWS,N,GHOLSON ISD,A,'12
'144901,LEE,'144,RS,N,GIDDINGS ISD,A,'13
'230902,UPSHUR,'230,R,N,GILMER ISD,A,'07
'101805,HARRIS,'101,ARS,Y,GIRLS & BOYS PREP ACADEMY,A,'04
'092901,GREGG,'092,T,N,GLADEWATER ISD,A,'07
'087901,GLASSCOCK,'087,ADTREWMS,N,GLASSCOCK COUNTY ISD,R,'18
'213901,SOMERVELL,'213,RS,N,GLEN ROSE ISD,A,'11
'126911,JOHNSON,'126,T,N,GODLEY ISD,A,'11
'169906,MONTAGUE,'169,E,N,GOLD BURG ISD,A,'09
'057835,DALLAS,'057,A,Y,GOLDEN RULE CHARTER SCHOOL,A,'10
'167901,MILLS,'167,ARW,N,GOLDTHWAITE ISD,A,'12
'088902,GOLIAD,'088,TWS,N,GOLIAD ISD,A,'03
'089901,GONZALES,'089,,N,GONZALES ISD,A,'13
'187903,POLK,'187,RW,N,GOODRICH ISD,A,'06
'101911,HARRIS,'101,,N,GOOSE CREEK CISD,A,'04
'182901,PALO PINTO,'182,ATS,N,GORDON ISD,A,'11
'067904,EASTLAND,'067,ATRE,N,GORMAN ISD,R,'14
'156905,MARTIN,'156,ATRWS,N,GRADY ISD,R,'18
'182902,PALO PINTO,'182,W,N,GRAFORD ISD,A,'11
'252901,YOUNG,'252,,N,GRAHAM ISD,R,'09
'111901,HOOD,'111,P,N,GRANBURY ISD,A,'11
'057910,DALLAS,'057,R,N,GRAND PRAIRIE ISD,A,'10
'234904,VAN ZANDT,'234,TW,N,GRAND SALINE ISD,A,'07
'238904,WARD,'238,ATRM,N,GRANDFALLS-ROYALTY ISD,A,'18
'126904,JOHNSON,'126,ATRW,N,GRANDVIEW ISD,A,'11
'090905,GRAY,'090,AW,N,GRANDVIEW-HOPKINS ISD,A,'16
'246905,WILLIAMSON,'246,DTR,N,GRANGER ISD,A,'13
'226907,TOM GREEN,'226,,N,GRAPE CREEK ISD,A,'15
'113902,HOUSTON,'113,T,N,GRAPELAND ISD,A,'06
'220906,TARRANT,'220,PREWS,N,GRAPEVINE-COLLEYVILLE ISD,A,'11
'116905,HUNT,'116,,N,GREENVILLE ISD,A,'10
'165902,MIDLAND,'165,TRES,N,GREENWOOD ISD,A,'18
'205902,SAN PATRICIO,'205,R,N,GREGORY-PORTLAND ISD,A,'02
'147902,LIMESTONE,'147,T,N,GROESBECK ISD,A,'12
'033901,CARSON,'033,ADTREWMS,N,GROOM ISD,R,'16
'228901,TRINITY,'228,AS,N,GROVETON ISD,A,'06
'098901,HANSFORD,'098,ARW,N,GRUVER ISD,R,'16
'015813,BEXAR,'015,,Y,GUARDIAN ANGEL PERFORMANCE ARTS AC,X,'20
'101843,HARRIS,'101,,Y,GULF SHORES ACADEMY,2,'04
'091917,GRAYSON,'091,ATREWM,N,GUNTER ISD,R,'10
'047903,COMANCHE,'047,A,N,GUSTINE ISD,A,'14
'135001,KING,'135,ADTEWMS,N,GUTHRIE CSD,R,'17
'095903,HALE,'095,ARW,N,HALE CENTER ISD,A,'17
'143901,LAVACA,'143,TR,N,HALLETTSVILLE ISD,A,'03
'161924,MCLENNAN,'161,AEM,N,HALLSBURG ISD,A,'12
'102904,HARRISON,'102,PW,N,HALLSVILLE ISD,A,'07
'097902,HAMILTON,'097,TRES,N,HAMILTON ISD,A,'12
'127903,JONES,'127,ATRW,N,HAMLIN ISD,A,'14
'123914,JEFFERSON,'123,TRW,N,HAMSHIRE-FANNETT ISD,A,'05
'219901,SWISHER,'219,ARE,N,HAPPY ISD,R,'16
'146904,LIBERTY,'146,RW,N,HARDIN ISD,A,'04
'100905,HARDIN,'100,TRW,N,HARDIN-JEFFERSON ISD,A,'05
'015904,BEXAR,'015,R,N,HARLANDALE ISD,A,'20
'102905,HARRISON,'102,TREWS,N,HARLETON ISD,R,'07
'031903,CAMERON,'031,RW,N,HARLINGEN CISD,A,'01
'230905,UPSHUR,'230,ATW,N,HARMONY ISD,A,'07
'101846,HARRIS,'101,PWS,Y,HARMONY SCIENCE ACADEMY,E,'04
'227816,TRAVIS,'227,S,Y,HARMONY SCIENCE ACADEMY (AUSTIN),R,'13
'086902,GILLESPIE,'086,ATREWMS,N,HARPER ISD,R,'13
'101811,HARRIS,'101,,Y,HARRIS COUNTY JUVENILE JUSTICE CHA,1,'04
'244901,WILBARGER,'244,C,N,HARROLD ISD,A,'09
'035902,CASTRO,'035,AD,N,HART ISD,A,'16
'103902,HARTLEY,'103,ACE,N,HARTLEY ISD,R,'16
'225907,TITUS,'225,ANS,N,HARTS BLUFF ISD,R,'08
'104901,HASKELL,'104,ARW,N,HASKELL CISD,A,'14
'250902,WOOD,'250,T,N,HAWKINS ISD,A,'07
'127904,JONES,'127,RS,N,HAWLEY ISD,A,'14
'105906,HAYS,'105,A,N,HAYS CISD,A,'13
'198905,ROBERTSON,'198,,N,HEARNE ISD,A,'06
'065902,DONLEY,'065,ATREW,N,HEDLEY ISD,R,'16
'202903,SABINE,'202,W,N,HEMPHILL ISD,A,'07
'237902,WALLER,'237,,N,HEMPSTEAD ISD,A,'04
'201902,RUSK,'201,,N,HENDERSON ISD,A,'07
'039902,CLAY,'039,EWS,N,HENRIETTA ISD,A,'09
'059901,DEAF SMITH,'059,A,N,HEREFORD ISD,A,'16
'208901,SCURRY,'208,TRS,N,HERMLEIGH ISD,A,'14
'097903,HAMILTON,'097,TR,N,HICO ISD,A,'12
'108905,HIDALGO,'108,ADRS,N,HIDALGO ISD,R,'01
'148903,LIPSCOMB,'148,EW,N,HIGGINS ISD,A,'16
'015803,BEXAR,'015,,Y,HIGGS CARTER KING GIFTED & TALENTE,1,'20
'084903,GALVESTON,'084,,N,HIGH ISLAND ISD,A,'05
'177905,NOLAN,'177,ATWMS,N,HIGHLAND ISD,R,'14
'057911,DALLAS,'057,ADPCTREWMNS,N,HIGHLAND PARK ISD,E,'10
'188903,POTTER,'188,ADTRW,N,HIGHLAND PARK ISD,A,'16
'109904,HILL,'109,R,N,HILLSBORO ISD,A,'12
'084908,GALVESTON,'084,,N,HITCHCOCK ISD,A,'04
'014905,BELL,'014,TREW,N,HOLLAND ISD,A,'12
'005902,ARCHER,'005,ATRS,N,HOLLIDAY ISD,A,'09
'163904,MEDINA,'163,,N,HONDO ISD,A,'20
'074907,FANNIN,'074,A,N,HONEY GROVE ISD,A,'10
'057825,DALLAS,'057,,Y,HONORS ACADEMY,L,'10
'019902,BOWIE,'019,TEW,N,HOOKS ISD,A,'08
'101851,HARRIS,'101,,Y,HOUSTON ALTERNATIVE PREPARATORY CH,L,'04
'101812,HARRIS,'101,,Y,HOUSTON CAN ACADEMY CHARTER SCHOOL,1,'04
'101828,HARRIS,'101,,Y,HOUSTON GATEWAY ACADEMY INC,1,'04
'101821,HARRIS,'101,,Y,HOUSTON HEIGHTS HIGH SCHOOL,1,'04
'101829,HARRIS,'101,,Y,HOUSTON HEIGHTS LEARNING ACADEMY I,1,'04
'101912,HARRIS,'101,R,N,HOUSTON ISD,A,'04
'091905,GRAYSON,'091,TR,N,HOWE ISD,A,'10
'019913,BOWIE,'019,AREWMN,N,HUBBARD ISD,R,'08
'109905,HILL,'109,AW,N,HUBBARD ISD,A,'12
'072908,ERATH,'072,ARS,N,HUCKABAY ISD,R,'11
'003902,ANGELINA,'003,R,N,HUDSON ISD,A,'07
'101925,HARRIS,'101,TR,N,HUFFMAN ISD,A,'04
'034903,CASS,'034,TR,N,HUGHES SPRINGS ISD,A,'08
'146905,LIBERTY,'146,,N,HULL-DAISETTA ISD,A,'04
'101913,HARRIS,'101,,N,HUMBLE ISD,L,'04
'133902,KERR,'133,AEWN,N,HUNT ISD,R,'20
'003904,ANGELINA,'003,EM,N,HUNTINGTON ISD,A,'07
'236902,WALKER,'236,,N,HUNTSVILLE ISD,A,'06
'220916,TARRANT,'220,AES,N,HURST-EULESS-BEDFORD ISD,A,'11
'246906,WILLIAMSON,'246,ATR,N,HUTTO ISD,A,'13
'057818,DALLAS,'057,,Y,I AM THAT I AM ACADEMY,1,'10
'152910,LUBBOCK,'152,TR,N,IDALOU ISD,A,'17
'108807,HIDALGO,'108,AEWMNS,Y,IDEA ACADEMY,A,'01
'101830,HARRIS,'101,,Y,IMPACT CHARTER,L,'04
'120905,JACKSON,'120,TREW,N,INDUSTRIAL ISD,A,'03
'205903,SAN PATRICIO,'205,R,N,INGLESIDE ISD,A,'02
'133904,KERR,'133,,N,INGRAM ISD,A,'20
'057830,DALLAS,'057,,Y,INSPIRED VISION ACADEMY,1,'10
'093903,GRIMES,'093,TE,N,IOLA ISD,R,'06
'243903,WICHITA,'243,DTR,N,IOWA PARK CISD,A,'09
'208903,SCURRY,'208,AREW,N,IRA ISD,A,'14
'186903,PECOS,'186,TRWS,N,IRAAN-SHEFFIELD ISD,A,'18
'018906,BOSQUE,'018,RWNS,N,IREDELL ISD,A,'12
'118902,IRION,'118,ATREWMS,N,IRION COUNTY ISD,R,'15
'057912,DALLAS,'057,,N,IRVING ISD,A,'10
'070907,ELLIS,'070,A,N,ITALY ISD,A,'10
'109907,HILL,'109,ARE,N,ITASCA ISD,R,'12
'119902,JACK,'119,RW,N,JACKSBORO ISD,A,'09
'037904,CHEROKEE,'037,,N,JACKSONVILLE ISD,A,'07
'101822,HARRIS,'101,,Y,JAMIE'S HOUSE CHARTER SCHOOL,1,'04
'246907,WILLIAMSON,'246,RS,N,JARRELL ISD,A,'13
'121904,JASPER,'121,,N,JASPER ISD,A,'05
'132902,KENT,'132,ATREWMS,N,JAYTON-GIRARD ISD,R,'17
'057819,DALLAS,'057,,Y,JEAN MASSIEU ACADEMY,A,'10
'155901,MARION,'155,,N,JEFFERSON ISD,A,'08
'101831,HARRIS,'101,,Y,JESSE JACKSON ACADEMY,L,'04
'124901,JIM HOGG,'124,TR,N,JIM HOGG COUNTY ISD,A,'01
'221911,TAYLOR,'221,TREWMS,N,JIM NED CISD,R,'14
'210902,SHELBY,'210,PEW,N,JOAQUIN ISD,A,'07
'015808,BEXAR,'015,,Y,JOHN H WOOD CHARTER SCHOOL,1,'20
'016901,BLANCO,'016,TRWS,N,JOHNSON CITY ISD,A,'13
'050909,CORYELL,'050,ATS,N,JONESBORO ISD,A,'12
'126905,JOHNSON,'126,,N,JOSHUA ISD,A,'11
'007902,ATASCOSA,'007,TRW,N,JOURDANTON ISD,A,'20
'101852,HARRIS,'101,,Y,JUAN B GALAVIZ CHARTER SCHOOL,1,'04
'015822,BEXAR,'015,,Y,JUBILEE ACADEMIC CENTER,L,'20
'015916,BEXAR,'015,,N,JUDSON ISD,A,'20
'134901,KIMBLE,'134,EW,N,JUNCTION ISD,R,'15
'102901,HARRISON,'102,R,N,KARNACK ISD,A,'07
'128901,KARNES,'128,ATREW,N,KARNES CITY ISD,R,'03
'105801,HAYS,'105,R,Y,KATHERINE ANNE PORTER SCHOOL,A,'13
'101914,HARRIS,'101,AW,N,KATY ISD,A,'04
'129903,KAUFMAN,'129,TS,N,KAUFMAN ISD,A,'10
'126906,JOHNSON,'126,TEWS,N,KEENE ISD,A,'11
'220907,TARRANT,'220,REW,N,KELLER ISD,A,'11
'242905,WHEELER,'242,E,N,KELTON ISD,A,'16
'129904,KAUFMAN,'129,T,N,KEMP ISD,A,'10
'079908,FORT BEND,'079,,N,KENDLETON ISD,L,'04
'131001,KENEDY,'131,AEWN,N,KENEDY COUNTY WIDE CSD,R,'02
'128902,KARNES,'128,,N,KENEDY ISD,A,'03
'113906,HOUSTON,'113,,N,KENNARD ISD,L,'06
'220914,TARRANT,'220,RE,N,KENNEDALE ISD,A,'11
'175907,NAVARRO,'175,,N,KERENS ISD,A,'12
'248901,WINKLER,'248,PW,N,KERMIT ISD,A,'18
'133903,KERR,'133,W,N,KERRVILLE ISD,A,'20
'092902,GREGG,'092,,N,KILGORE ISD,A,'07
'014906,BELL,'014,R,N,KILLEEN ISD,A,'12
'137901,KLEBERG,'137,R,N,KINGSVILLE ISD,A,'02
'015826,BEXAR,'015,EM,Y,KIPP ASPIRE ACADEMY,A,'20
'227820,TRAVIS,'227,W,Y,KIPP AUSTIN COLLEGE PREP SCH INC,A,'13
'101813,HARRIS,'101,AEWMS,Y,KIPP INC CHARTER,A,'04
'057837,DALLAS,'057,E,Y,KIPP TRUTH ACADEMY,A,'10
'121905,JASPER,'121,W,N,KIRBYVILLE CISD,A,'05
'101915,HARRIS,'101,,N,KLEIN ISD,A,'04
'058905,DAWSON,'058,ATRWN,N,KLONDIKE ISD,A,'17
'232901,UVALDE,'232,ACTRWNS,N,KNIPPA ISD,R,'20
'138902,KNOX,'138,DTRW,N,KNOX CITY-O'BRIEN CISD,A,'09
'018907,BOSQUE,'018,ES,N,KOPPERL ISD,R,'12
'100903,HARDIN,'100,R,N,KOUNTZE ISD,A,'05
'219905,SWISHER,'219,R,N,KRESS ISD,A,'16
'061905,DENTON,'061,TR,N,KRUM ISD,A,'11
'101833,HARRIS,'101,,Y,LA AMISTAD LOVE & LEARNING ACADEMY,L,'04
'015811,BEXAR,'015,A,Y,LA ESCUELA DE LAS AMERICAS,A,'20
'031905,CAMERON,'031,APR,N,LA FERIA ISD,A,'01
'125906,JIM WELLS,'125,N,N,LA GLORIA ISD,A,'02
'075902,FAYETTE,'075,PT,N,LA GRANGE ISD,A,'13
'108912,HIDALGO,'108,DR,N,LA JOYA ISD,A,'01
'084904,GALVESTON,'084,,N,LA MARQUE ISD,A,'04
'101916,HARRIS,'101,T,N,LA PORTE ISD,A,'04
'254902,ZAVALA,'254,R,N,LA PRYOR ISD,A,'20
'161906,MCLENNAN,'161,,N,LA VEGA ISD,A,'12
'247903,WILSON,'247,TWS,N,LA VERNIA ISD,A,'20
'108914,HIDALGO,'108,R,N,LA VILLA ISD,A,'01
'015913,BEXAR,'015,ADPCTREWMNS,N,LACKLAND ISD,R,'20
'227912,TRAVIS,'227,APTREW,N,LAGO VISTA ISD,R,'13
'061912,DENTON,'061,TR,N,LAKE DALLAS ISD,A,'11
'227913,TRAVIS,'227,PCTRWS,N,LAKE TRAVIS ISD,R,'13
'220910,TARRANT,'220,R,N,LAKE WORTH ISD,A,'11
'079901,FORT BEND,'079,,N,LAMAR CISD,A,'04
'058906,DAWSON,'058,R,N,LAMESA ISD,A,'17
'141901,LAMPASAS,'141,,N,LAMPASAS ISD,A,'12
'057913,DALLAS,'057,R,N,LANCASTER ISD,A,'10
'201903,RUSK,'201,S,N,LANEVILLE ISD,A,'07
'107910,HENDERSON,'107,TW,N,LAPOYNOR ISD,A,'07
'240901,WEBB,'240,DR,N,LAREDO ISD,A,'01
'245901,WILLACY,'245,AWNS,N,LASARA ISD,A,'01
'113905,HOUSTON,'113,RE,N,LATEXO ISD,A,'06
'185904,PARMER,'185,ATRW,N,LAZBUDDIE ISD,A,'16
'193902,REAL,'193,R,N,LEAKEY ISD,A,'20
'246913,WILLIAMSON,'246,RE,N,LEANDER ISD,A,'13
'019914,BOWIE,'019,AEMS,N,LEARY ISD,A,'08
'090902,GRAY,'090,R,N,LEFORS ISD,A,'16
'187906,POLK,'187,TR,N,LEGGETT ISD,A,'06
'145911,LEON,'145,ATR,N,LEON ISD,R,'06
'074909,FANNIN,'074,A,N,LEONARD ISD,A,'10
'110902,HOCKLEY,'110,,N,LEVELLAND ISD,A,'17
'201904,RUSK,'201,W,N,LEVERETTS CHAPEL ISD,A,'07
'061902,DENTON,'061,ARWS,N,LEWISVILLE ISD,A,'11
'144902,LEE,'144,ARW,N,LEXINGTON ISD,A,'13
'246908,WILLIAMSON,'246,ATRE,N,LIBERTY HILL ISD,A,'13
'146906,LIBERTY,'146,,N,LIBERTY ISD,A,'04
'019908,BOWIE,'019,W,N,LIBERTY-EYLAU ISD,A,'08
'057807,DALLAS,'057,TRE,Y,LIFE SCHOOL,A,'10
'015825,BEXAR,'015,,Y,LIGHTHOUSE CHARTER SCHOOL,L,'20
'212903,SMITH,'212,ATEWS,N,LINDALE ISD,A,'07
'034905,CASS,'034,TWS,N,LINDEN-KILDARE CISD,A,'08
'049907,COOKE,'049,ADPREWMNS,N,LINDSAY ISD,R,'11
'072909,ERATH,'072,R,N,LINGLEVILLE ISD,A,'11
'111902,HOOD,'111,R,N,LIPAN ISD,A,'11
'181908,ORANGE,'181,T,N,LITTLE CYPRESS-MAURICEVILLE CISD,A,'05
'061914,DENTON,'061,,N,LITTLE ELM ISD,A,'11
'140904,LAMB,'140,R,N,LITTLEFIELD ISD,A,'17
'187907,POLK,'187,,N,LIVINGSTON ISD,A,'06
'150901,LLANO,'150,TRE,N,LLANO ISD,A,'13
'028902,CALDWELL,'028,W,N,LOCKHART ISD,A,'13
'077902,FLOYD,'077,AR,N,LOCKNEY ISD,A,'17
'160905,MCCULLOCH,'160,ARE,N,LOHN ISD,A,'15
'141902,LAMPASAS,'141,TRS,N,LOMETA ISD,R,'12
'178906,NUECES,'178,AEWMNS,N,LONDON ISD,R,'02
'116906,HUNT,'116,TREWMS,N,LONE OAK ISD,A,'10
'092903,GREGG,'092,,N,LONGVIEW ISD,A,'07
'083902,GAINES,'083,ATREWMNS,N,LOOP ISD,R,'17
'168902,MITCHELL,'168,ATR,N,LORAINE ISD,A,'14
'161907,MCLENNAN,'161,TREWS,N,LORENA ISD,A,'12
'054902,CROSBY,'054,R,N,LORENZO ISD,A,'17
'031906,CAMERON,'031,RW,N,LOS FRESNOS CISD,A,'01
'241906,WHARTON,'241,T,N,LOUISE ISD,A,'03
'043919,COLLIN,'043,AEWMN,N,LOVEJOY ISD,E,'10
'113903,HOUSTON,'113,A,N,LOVELADY ISD,A,'06
'152901,LUBBOCK,'152,,N,LUBBOCK ISD,A,'17
'152906,LUBBOCK,'152,ATES,N,LUBBOCK-COOPER ISD,A,'17
'127905,JONES,'127,E,N,LUEDERS-AVOCA ISD,A,'14
'003903,ANGELINA,'003,A,N,LUFKIN ISD,A,'07
'028903,CALDWELL,'028,R,N,LULING ISD,A,'13
'100907,HARDIN,'100,RE,N,LUMBERTON ISD,A,'05
'245902,WILLACY,'245,R,N,LYFORD CISD,A,'01
'007904,ATASCOSA,'007,,N,LYTLE ISD,A,'20
'129905,KAUFMAN,'129,,N,MABANK ISD,A,'10
'154901,MADISON,'154,A,N,MADISONVILLE CISD,A,'06
'170906,MONTGOMERY,'170,,N,MAGNOLIA ISD,A,'06
'084801,GALVESTON,'084,AW,Y,MAINLAND PREPARATORY ACADEMY,A,'04
'107906,HENDERSON,'107,,N,MALAKOFF ISD,A,'07
'109908,HILL,'109,AENS,N,MALONE ISD,R,'12
'019910,BOWIE,'019,AEMNS,N,MALTA ISD,E,'08
'227907,TRAVIS,'227,R,N,MANOR ISD,A,'13
'220908,TARRANT,'220,W,N,MANSFIELD ISD,A,'11
'022902,BREWSTER,'022,DTR,N,MARATHON ISD,A,'18
'027904,BURNET,'027,,N,MARBLE FALLS ISD,A,'13
'189901,PRESIDIO,'189,R,N,MARFA ISD,A,'18
'034908,CASS,'034,AE,N,MARIETTA ISD,A,'08
'094904,GUADALUPE,'094,T,N,MARION ISD,A,'13
'073903,FALLS,'073,,N,MARLIN ISD,A,'12
'102902,HARRISON,'102,,N,MARSHALL ISD,A,'07
'161908,MCLENNAN,'161,AT,N,MART ISD,A,'12
'234905,VAN ZANDT,'234,ATEWMS,N,MARTINS MILL ISD,R,'07
'174909,NACOGDOCHES,'174,AEW,N,MARTINSVILLE ISD,A,'07
'157901,MASON,'157,EWS,N,MASON ISD,R,'15
'220909,TARRANT,'220,AR,N,MASONIC HOME ISD,A,'11
'158904,MATAGORDA,'158,A,N,MATAGORDA ISD,A,'03
'205904,SAN PATRICIO,'205,R,N,MATHIS ISD,A,'02
'019903,BOWIE,'019,ATEW,N,MAUD ISD,A,'08
'025905,BROWN,'025,REWNS,N,MAY ISD,A,'15
'070915,ELLIS,'070,ATRW,N,MAYPEARL ISD,R,'10
'108906,HIDALGO,'108,PR,N,MCALLEN ISD,A,'01
'231901,UPTON,'231,DR,N,MCCAMEY ISD,A,'18
'227811,TRAVIS,'227,,Y,MCCULLOUGH ACADEMY OF EXCELLENCE,A,'13
'011905,BASTROP,'011,AN,N,MCDADE ISD,A,'13
'161909,MCLENNAN,'161,ADT,N,MCGREGOR ISD,A,'12
'043907,COLLIN,'043,EMS,N,MCKINNEY ISD,A,'10
'090903,GRAY,'090,DR,N,MCLEAN ISD,A,'16
'034906,CASS,'034,REWS,N,MCLEOD ISD,R,'08
'162904,MCMULLEN,'162,TRS,N,MCMULLEN COUNTY ISD,A,'02
'223902,TERRY,'223,ATRW,N,MEADOW ISD,A,'17
'101801,HARRIS,'101,,Y,MEDICAL CENTER CHARTER SCHOOL,L,'04
'010901,BANDERA,'010,ATEWS,N,MEDINA ISD,A,'20
'163908,MEDINA,'163,RW,N,MEDINA VALLEY ISD,A,'20
'005903,ARCHER,'005,,N,MEGARGEL ISD,L,'09
'043908,COLLIN,'043,WNS,N,MELISSA ISD,R,'10
'096904,HALL,'096,R,N,MEMPHIS ISD,A,'16
'164901,MENARD,'164,AEW,N,MENARD ISD,A,'15
'108907,HIDALGO,'108,AR,N,MERCEDES ISD,A,'01
'018902,BOSQUE,'018,ATE,N,MERIDIAN ISD,R,'12
'221904,TAYLOR,'221,A,N,MERKEL ISD,A,'14
'057914,DALLAS,'057,A,N,MESQUITE ISD,A,'10
'220808,TARRANT,'220,A,Y,METRO CHARTER ACADEMY,A,'11
'147903,LIMESTONE,'147,R,N,MEXIA ISD,A,'12
'101855,HARRIS,'101,,Y,MEYERPARK ELEMENTARY,A,'04
'062906,DEWITT,'062,AEMNS,N,MEYERSVILLE ISD,R,'03
'197902,ROBERTS,'197,DCRWS,N,MIAMI ISD,R,'16
'108804,HIDALGO,'108,,Y,MID-VALLEY ACADEMY,1,'01
'165802,MIDLAND,'165,,Y,MIDLAND ACADEMY CHARTER SCHOOL,1,'18
'165901,MIDLAND,'165,,N,MIDLAND ISD,A,'18
'070908,ELLIS,'070,TRW,N,MIDLOTHIAN ISD,A,'10
'039905,CLAY,'039,CTREMS,N,MIDWAY ISD,A,'09
'161903,MCLENNAN,'161,PTEW,N,MIDWAY ISD,A,'12
'166903,MILAM,'166,TRW,N,MILANO ISD,A,'06
'175910,NAVARRO,'175,TES,N,MILDRED ISD,A,'12
'200902,RUNNELS,'200,ARW,N,MILES ISD,A,'15
'070909,ELLIS,'070,W,N,MILFORD ISD,A,'10
'112907,HOPKINS,'112,TEWM,N,MILLER GROVE ISD,A,'08
'184904,PARKER,'184,ATR,N,MILLSAP ISD,A,'11
'250903,WOOD,'250,AT,N,MINEOLA ISD,A,'07
'182903,PALO PINTO,'182,,N,MINERAL WELLS ISD,A,'11
'240902,WEBB,'240,N,N,MIRANDO CITY ISD,A,'01
'108908,HIDALGO,'108,DRW,N,MISSION CISD,A,'01
'238902,WARD,'238,A,N,MONAHANS-WICKETT-PYOTE ISD,A,'18
'169908,MONTAGUE,'169,AE,N,MONTAGUE ISD,R,'09
'108915,HIDALGO,'108,AW,N,MONTE ALTO ISD,A,'01
'170903,MONTGOMERY,'170,TW,N,MONTGOMERY ISD,R,'06
'161910,MCLENNAN,'161,W,N,MOODY ISD,A,'12
'209902,SHACKELFORD,'209,TEWS,N,MORAN ISD,R,'14
'018903,BOSQUE,'018,,N,MORGAN ISD,L,'12
'072910,ERATH,'072,AEWNS,N,MORGAN MILL ISD,R,'11
'040901,COCHRAN,'040,,N,MORTON ISD,A,'17
'173901,MOTLEY,'173,ATR,N,MOTLEY COUNTY ISD,R,'17
'143902,LAVACA,'143,ATEWS,N,MOULTON ISD,R,'03
'109910,HILL,'109,A,N,MOUNT CALM ISD,A,'12
'201907,RUSK,'201,A,N,MOUNT ENTERPRISE ISD,A,'07
'225902,TITUS,'225,,N,MOUNT PLEASANT ISD,A,'08
'080901,FRANKLIN,'080,ATRE,N,MOUNT VERNON ISD,A,'08
'049902,COOKE,'049,APTREWS,N,MUENSTER ISD,A,'11
'009901,BAILEY,'009,,N,MULESHOE ISD,A,'17
'167902,MILLS,'167,AR,N,MULLIN ISD,A,'12
'198906,ROBERTSON,'198,ADTRW,N,MUMFORD ISD,A,'06
'138903,KNOX,'138,A,N,MUNDAY CISD,A,'09
'107908,HENDERSON,'107,AW,N,MURCHISON ISD,A,'07
'174904,NACOGDOCHES,'174,,N,NACOGDOCHES ISD,A,'07
'046801,COMAL,'046,,Y,NANCY NEY CHARTER SCHOOL,2,'13
'163903,MEDINA,'163,R,N,NATALIA ISD,A,'20
'094903,GUADALUPE,'094,PTRW,N,NAVARRO ISD,A,'13
'093904,GRIMES,'093,,N,NAVASOTA ISD,A,'06
'035903,CASTRO,'035,ADCTREWMS,N,NAZARETH ISD,E,'16
'001906,ANDERSON,'001,TW,N,NECHES ISD,A,'07
