DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION,secs
'178914,NUECES,'178,UVS,N,FLOUR BLUFF ISD,A,'02,
'077901,FLOYD,'077,UV,N,FLOYDADA ISD,A,'17,B
'057817,DALLAS,'057,,Y,FOCUS LEARNING ACADEMY,1,'10,B
'148902,LIPSCOMB,'148,AVWS,N,FOLLETT ISD,R,'16,
'169910,MONTAGUE,'169,VS,N,FORESTBURG ISD,R,'09,
'129902,KAUFMAN,'129,RE,N,FORNEY ISD,A,'10,
'114904,HOWARD,'114,RUVEW,N,FORSAN ISD,A,'18,
'079907,FORT BEND,'079,,N,FORT BEND ISD,A,'04,A
'242906,WHEELER,'242,A,N,FORT ELLIOTT CISD,A,'16,
'186902,PECOS,'186,,N,FORT STOCKTON ISD,A,'18,A
'220809,TARRANT,'220,DCRUVEWS,Y,FORT WORTH ACADEMY OF FINE ARTS,R,'11,A
'220804,TARRANT,'220,,Y,FORT WORTH CAN ACADEMY,1,'11,C
'220905,TARRANT,'220,,N,FORT WORTH ISD,A,'11,A
'198903,ROBERTSON,'198,UVWS,N,FRANKLIN ISD,R,'06,A
'001904,ANDERSON,'001,AUVS,N,FRANKSTON ISD,R,'07,B
'086901,GILLESPIE,'086,PW,N,FREDERICKSBURG ISD,A,'13,A
'066903,DUVAL,'066,R,N,FREER ISD,A,'02,
'152907,LUBBOCK,'152,EW,N,FRENSHIP ISD,R,'17,C
'084911,GALVESTON,'084,PCRUVEWNS,N,FRIENDSWOOD ISD,R,'04,
'185903,PARMER,'185,ADRUV,N,FRIONA ISD,A,'16,B
'043905,COLLIN,'043,EWMS,N,FRISCO ISD,A,'10,
'175905,NAVARRO,'175,VS,N,FROST ISD,R,'12,A
'227812,TRAVIS,'227,RVEW,Y,FRUIT OF EXCELLENCE,A,'13,B
'234909,VAN ZANDT,'234,,N,FRUITVALE ISD,R,'07,A
'122901,JEFF DAVIS,'122,AUVS,N,FT DAVIS ISD,A,'18,K
'115901,HUDSPETH,'115,,N,FT HANCOCK ISD,L,'19,
'015914,BEXAR,'015,VE,N,FT SAM HOUSTON ISD,A,'20,
'232801,UVALDE,'232,,Y,GABRIEL TAFOLLA CHARTER SCHOOL,L,'20,
'049901,COOKE,'049,,N,GAINESVILLE ISD,A,'11,
'101910,HARRIS,'101,RW,N,GALENA PARK ISD,A,'04,
'084902,GALVESTON,'084,,N,GALVESTON ISD,A,'04,K
'120902,JACKSON,'120,ARVS,N,GANADO ISD,A,'03,
'057909,DALLAS,'057,AS,N,GARLAND ISD,A,'10,A
'184911,PARKER,'184,WNS,N,GARNER ISD,R,'11,
'174903,NACOGDOCHES,'174,AV,N,GARRISON ISD,A,'07,B
'183904,PANOLA,'183,UW,N,GARY ISD,A,'07,A
'050902,CORYELL,'050,,N,GATESVILLE ISD,A,'12,A
'240801,WEBB,'240,,Y,GATEWAY (STUDENT ALTERNATIVE PROGR,1,'01,A
'057831,DALLAS,'057,A,Y,GATEWAY CHARTER ACADEMY,A,'10,A
'166902,MILAM,'166,AENS,N,GAUSE ISD,A,'06,A
'015829,BEXAR,'015,,Y,GENERAL ALFRED A VALENZUELA INT LE,A,'20,
'015802,BEXAR,'015,,Y,GEORGE GERVIN ACADEMY,1,'20,B
'101804,HARRIS,'101,,Y,GEORGE I SANCHEZ CHARTER,1,'04,
'015812,BEXAR,'015,,Y,GEORGE I SANCHEZ CHARTER HS SAN AN,1,'20,C
'149901,LIVE OAK,'149,REW,N,GEORGE WEST ISD,A,'02,C
'246904,WILLIAMSON,'246,,N,GEORGETOWN ISD,A,'13,
'161925,MCLENNAN,'161,AEWMS,N,GHOLSON ISD,E,'12,
'144901,LEE,'144,US,N,GIDDINGS ISD,A,'13,B
'230902,UPSHUR,'230,,N,GILMER ISD,A,'07,A
'101805,HARRIS,'101,RE,Y,GIRLS & BOYS PREP ACADEMY,A,'04,
'092901,GREGG,'092,,N,GLADEWATER ISD,A,'07,A
'087901,GLASSCOCK,'087,ADCUVEWNS,N,GLASSCOCK COUNTY ISD,R,'18,A
'213901,SOMERVELL,'213,R,N,GLEN ROSE ISD,A,'11,
'126911,JOHNSON,'126,V,N,GODLEY ISD,A,'11,A
'169906,MONTAGUE,'169,R,N,GOLD BURG ISD,A,'09,A
'057835,DALLAS,'057,A,Y,GOLDEN RULE CHARTER SCHOOL,A,'10,B
'167901,MILLS,'167,AUVWS,N,GOLDTHWAITE ISD,A,'12,A
'088902,GOLIAD,'088,UVW,N,GOLIAD ISD,A,'03,C
'089901,GONZALES,'089,S,N,GONZALES ISD,A,'13,A
'187903,POLK,'187,,N,GOODRICH ISD,L,'06,B
'101911,HARRIS,'101,,N,GOOSE CREEK CISD,A,'04,A
'182901,PALO PINTO,'182,W,N,GORDON ISD,A,'11,A
'067904,EASTLAND,'067,AV,N,GORMAN ISD,A,'14,
'156905,MARTIN,'156,ARUVEWNS,N,GRADY ISD,R,'18,A
'182902,PALO PINTO,'182,RUEW,N,GRAFORD ISD,R,'11,
'252901,YOUNG,'252,UV,N,GRAHAM ISD,A,'09,
'111901,HOOD,'111,P,N,GRANBURY ISD,A,'11,
'057910,DALLAS,'057,,N,GRAND PRAIRIE ISD,A,'10,
'234904,VAN ZANDT,'234,,N,GRAND SALINE ISD,A,'07,
'238904,WARD,'238,V,N,GRANDFALLS-ROYALTY ISD,A,'18,B
'126904,JOHNSON,'126,AUVEWS,N,GRANDVIEW ISD,R,'11,A
'090905,GRAY,'090,EN,N,GRANDVIEW-HOPKINS ISD,A,'16,
'246905,WILLIAMSON,'246,UVS,N,GRANGER ISD,A,'13,
'226907,TOM GREEN,'226,W,N,GRAPE CREEK ISD,A,'15,
'113902,HOUSTON,'113,,N,GRAPELAND ISD,L,'06,B
'220906,TARRANT,'220,PUVEWS,N,GRAPEVINE-COLLEYVILLE ISD,A,'11,
'116905,HUNT,'116,,N,GREENVILLE ISD,A,'10,A
'165902,MIDLAND,'165,UW,N,GREENWOOD ISD,A,'18,
'205902,SAN PATRICIO,'205,RV,N,GREGORY-PORTLAND ISD,A,'02,A
'147902,LIMESTONE,'147,,N,GROESBECK ISD,L,'12,
'033901,CARSON,'033,AUVEWMS,N,GROOM ISD,R,'16,
'228901,TRINITY,'228,AS,N,GROVETON ISD,A,'06,A
'098901,HANSFORD,'098,ADRUVEWM,N,GRUVER ISD,A,'16,C
'015813,BEXAR,'015,,Y,GUARDIAN ANGEL PERFORMANCE ARTS AC,X,'20,
'091917,GRAYSON,'091,ARUVEWMS,N,GUNTER ISD,A,'10,B
'047903,COMANCHE,'047,AW,N,GUSTINE ISD,A,'14,
'135001,KING,'135,ADVEMS,N,GUTHRIE CSD,R,'17,
'095903,HALE,'095,AUW,N,HALE CENTER ISD,A,'17,A
'143901,LAVACA,'143,UV,N,HALLETTSVILLE ISD,A,'03,B
'161924,MCLENNAN,'161,AEMN,N,HALLSBURG ISD,A,'12,
'102904,HARRISON,'102,,N,HALLSVILLE ISD,A,'07,A
'097902,HAMILTON,'097,UVEWS,N,HAMILTON ISD,A,'12,
'127903,JONES,'127,AUVW,N,HAMLIN ISD,R,'14,C
'123914,JEFFERSON,'123,RWS,N,HAMSHIRE-FANNETT ISD,A,'05,A
'219901,SWISHER,'219,AUVWS,N,HAPPY ISD,A,'16,A
'146904,LIBERTY,'146,,N,HARDIN ISD,A,'04,B
'100905,HARDIN,'100,UVWS,N,HARDIN-JEFFERSON ISD,R,'05,A
'015904,BEXAR,'015,RS,N,HARLANDALE ISD,A,'20,A
'102905,HARRISON,'102,PUVEWS,N,HARLETON ISD,R,'07,A
'031903,CAMERON,'031,RW,N,HARLINGEN CISD,A,'01,A
'101857,HARRIS,'101,M,Y,HARMONY ELEMENTARY,R,'04,
'227822,TRAVIS,'227,N,Y,HARMONY ELEMENTARY (AUSTIN),R,'13,
'230905,UPSHUR,'230,AUVW,N,HARMONY ISD,R,'07,
'101858,HARRIS,'101,EWMS,Y,HARMONY SCHOOL OF EXCELLENCE,E,'04,
'071806,EL PASO,'071,EMS,Y,HARMONY SCIENCE ACAD (EL PASO),R,'19,
'220813,TARRANT,'220,EWS,Y,HARMONY SCIENCE ACAD (FORT WORTH),E,'11,
'015828,BEXAR,'015,ENS,Y,HARMONY SCIENCE ACAD (SAN ANTONIO),E,'20,
'101846,HARRIS,'101,DRVES,Y,HARMONY SCIENCE ACADEMY,R,'04,A
'227816,TRAVIS,'227,UVES,Y,HARMONY SCIENCE ACADEMY (AUSTIN),R,'13,A
'086902,GILLESPIE,'086,ARUVEWNS,N,HARPER ISD,R,'13,
'101811,HARRIS,'101,,Y,HARRIS COUNTY JUVENILE JUSTICE CHA,1,'04,
'244901,WILBARGER,'244,RV,N,HARROLD ISD,A,'09,B
'035902,CASTRO,'035,ADU,N,HART ISD,A,'16,A
'103902,HARTLEY,'103,ADRU,N,HARTLEY ISD,A,'16,
'225907,TITUS,'225,ANS,N,HARTS BLUFF ISD,R,'08,A
'104901,HASKELL,'104,S,N,HASKELL CISD,A,'14,A
'250902,WOOD,'250,UV,N,HAWKINS ISD,A,'07,B
'127904,JONES,'127,R,N,HAWLEY ISD,A,'14,B
'105906,HAYS,'105,,N,HAYS CISD,A,'13,
'198905,ROBERTSON,'198,,N,HEARNE ISD,L,'06,A
'065902,DONLEY,'065,ARUVEWM,N,HEDLEY ISD,A,'16,B
'202903,SABINE,'202,VW,N,HEMPHILL ISD,A,'07,B
'237902,WALLER,'237,,N,HEMPSTEAD ISD,A,'04,C
'201902,RUSK,'201,V,N,HENDERSON ISD,A,'07,A
'039902,CLAY,'039,UVEMS,N,HENRIETTA ISD,A,'09,
'059901,DEAF SMITH,'059,A,N,HEREFORD ISD,A,'16,B
'208901,SCURRY,'208,,N,HERMLEIGH ISD,A,'14,
'097903,HAMILTON,'097,,N,HICO ISD,A,'12,
'108905,HIDALGO,'108,ADRW,N,HIDALGO ISD,A,'01,B
'148903,LIPSCOMB,'148,AU,N,HIGGINS ISD,A,'16,
'015803,BEXAR,'015,,Y,HIGGS CARTER KING GIFTED & TALENTE,1,'20,
'084903,GALVESTON,'084,E,N,HIGH ISLAND ISD,A,'05,B
'177905,NOLAN,'177,AUVEWNS,N,HIGHLAND ISD,R,'14,B
'057911,DALLAS,'057,ADPCRUVEWMNS,N,HIGHLAND PARK ISD,E,'10,
'188903,POTTER,'188,AUE,N,HIGHLAND PARK ISD,A,'16,
'109904,HILL,'109,U,N,HILLSBORO ISD,A,'12,A
'084908,GALVESTON,'084,,N,HITCHCOCK ISD,A,'04,C
'014905,BELL,'014,UV,N,HOLLAND ISD,R,'12,C
'005902,ARCHER,'005,ADPCUVEWS,N,HOLLIDAY ISD,R,'09,
'163904,MEDINA,'163,,N,HONDO ISD,A,'20,A
'074907,FANNIN,'074,APU,N,HONEY GROVE ISD,A,'10,B
'057825,DALLAS,'057,,Y,HONORS ACADEMY,1,'10,A
'019902,BOWIE,'019,,N,HOOKS ISD,A,'08,A
'101851,HARRIS,'101,,Y,HOUSTON ALTERNATIVE PREPARATORY CH,L,'04,
'101812,HARRIS,'101,,Y,HOUSTON CAN ACADEMY CHARTER SCHOOL,1,'04,C
'101828,HARRIS,'101,,Y,HOUSTON GATEWAY ACADEMY INC,A,'04,A
'101821,HARRIS,'101,,Y,HOUSTON HEIGHTS HIGH SCHOOL,1,'04,A
'101829,HARRIS,'101,EN,Y,HOUSTON HEIGHTS LEARNING ACADEMY I,R,'04,
'101912,HARRIS,'101,,N,HOUSTON ISD,A,'04,A
'091905,GRAYSON,'091,VE,N,HOWE ISD,R,'10,A
'019913,BOWIE,'019,AREWMS,N,HUBBARD ISD,R,'08,
'109905,HILL,'109,AUVW,N,HUBBARD ISD,A,'12,A
'072908,ERATH,'072,AVWS,N,HUCKABAY ISD,A,'11,B
'003902,ANGELINA,'003,UEWMS,N,HUDSON ISD,R,'07,
'101925,HARRIS,'101,PS,N,HUFFMAN ISD,A,'04,A
'034903,CASS,'034,,N,HUGHES SPRINGS ISD,A,'08,
'146905,LIBERTY,'146,,N,HULL-DAISETTA ISD,A,'04,B
'101913,HARRIS,'101,,N,HUMBLE ISD,A,'04,
'133902,KERR,'133,AWMNS,N,HUNT ISD,A,'20,A
'003904,ANGELINA,'003,S,N,HUNTINGTON ISD,R,'07,
'236902,WALKER,'236,,N,HUNTSVILLE ISD,A,'06,A
'220916,TARRANT,'220,AES,N,HURST-EULESS-BEDFORD ISD,A,'11,A
'246906,WILLIAMSON,'246,,N,HUTTO ISD,A,'13,
'057818,DALLAS,'057,,Y,I AM THAT I AM ACADEMY,1,'10,
'152910,LUBBOCK,'152,AUVWS,N,IDALOU ISD,A,'17,A
'108807,HIDALGO,'108,AUVEWMS,Y,IDEA ACADEMY,A,'01,A
'120905,JACKSON,'120,RUVEW,N,INDUSTRIAL ISD,A,'03,A
'205903,SAN PATRICIO,'205,UV,N,INGLESIDE ISD,A,'02,
'133904,KERR,'133,,N,INGRAM ISD,A,'20,
'057830,DALLAS,'057,,Y,INSPIRED VISION ACADEMY,L,'10,A
'093903,GRIMES,'093,VW,N,IOLA ISD,R,'06,B
'243903,WICHITA,'243,UVWS,N,IOWA PARK CISD,A,'09,
'208903,SCURRY,'208,RUVEW,N,IRA ISD,A,'14,
'186903,PECOS,'186,RU,N,IRAAN-SHEFFIELD ISD,A,'18,A
'018906,BOSQUE,'018,ACVEWS,N,IREDELL ISD,R,'12,A
'118902,IRION,'118,AUVEW,N,IRION COUNTY ISD,R,'15,
'057912,DALLAS,'057,,N,IRVING ISD,A,'10,
'070907,ELLIS,'070,AUV,N,ITALY ISD,A,'10,F
'109907,HILL,'109,AUVE,N,ITASCA ISD,R,'12,H
'119902,JACK,'119,UVEW,N,JACKSBORO ISD,A,'09,A
'037904,CHEROKEE,'037,,N,JACKSONVILLE ISD,A,'07,A
'101822,HARRIS,'101,,Y,JAMIE'S HOUSE CHARTER SCHOOL,L,'04,A
'246907,WILLIAMSON,'246,RVS,N,JARRELL ISD,A,'13,
'121904,JASPER,'121,,N,JASPER ISD,A,'05,A
'132902,KENT,'132,CRVEWS,N,JAYTON-GIRARD ISD,R,'17,A
'057819,DALLAS,'057,,Y,JEAN MASSIEU ACADEMY,L,'10,K
'155901,MARION,'155,,N,JEFFERSON ISD,A,'08,A
'101831,HARRIS,'101,RS,Y,JESSE JACKSON ACADEMY,A,'04,
'124901,JIM HOGG,'124,RUV,N,JIM HOGG COUNTY ISD,A,'01,B
'221911,TAYLOR,'221,UVEW,N,JIM NED CISD,R,'14,
'210902,SHELBY,'210,UVW,N,JOAQUIN ISD,A,'07,A
'015808,BEXAR,'015,,Y,JOHN H WOOD JR CHARTER SCHOOL,1,'20,G
'016901,BLANCO,'016,AUVES,N,JOHNSON CITY ISD,A,'13,A
'050909,CORYELL,'050,RW,N,JONESBORO ISD,A,'12,A
'126905,JOHNSON,'126,VES,N,JOSHUA ISD,A,'11,
'007902,ATASCOSA,'007,UW,N,JOURDANTON ISD,A,'20,
'101852,HARRIS,'101,,Y,JUAN B GALAVIZ CHARTER SCHOOL,1,'04,
'015822,BEXAR,'015,DR,Y,JUBILEE ACADEMIC CENTER,A,'20,C
'015916,BEXAR,'015,,N,JUDSON ISD,A,'20,
'134901,KIMBLE,'134,UVEW,N,JUNCTION ISD,A,'15,
'102901,HARRISON,'102,,N,KARNACK ISD,A,'07,B
'128901,KARNES,'128,AUVEWS,N,KARNES CITY ISD,R,'03,B
'105801,HAYS,'105,US,Y,KATHERINE ANNE PORTER SCHOOL,A,'13,B
'101914,HARRIS,'101,S,N,KATY ISD,A,'04,
'129903,KAUFMAN,'129,,N,KAUFMAN ISD,A,'10,
'126906,JOHNSON,'126,UVES,N,KEENE ISD,R,'11,B
'220907,TARRANT,'220,REW,N,KELLER ISD,A,'11,
'242905,WHEELER,'242,MN,N,KELTON ISD,A,'16,
'129904,KAUFMAN,'129,U,N,KEMP ISD,A,'10,A
'079908,FORT BEND,'079,,N,KENDLETON ISD,L,'04,A
'131001,KENEDY,'131,AEM,N,KENEDY COUNTY WIDE CSD,A,'02,K
'128902,KARNES,'128,DU,N,KENEDY ISD,A,'03,A
'113906,HOUSTON,'113,U,N,KENNARD ISD,A,'06,
'220914,TARRANT,'220,,N,KENNEDALE ISD,A,'11,
'175907,NAVARRO,'175,V,N,KERENS ISD,A,'12,B
'248901,WINKLER,'248,,N,KERMIT ISD,A,'18,B
'133903,KERR,'133,UVWS,N,KERRVILLE ISD,R,'20,
'092902,GREGG,'092,,N,KILGORE ISD,A,'07,A
'014906,BELL,'014,,N,KILLEEN ISD,A,'12,
'137901,KLEBERG,'137,U,N,KINGSVILLE ISD,A,'02,K
'015826,BEXAR,'015,AEWMS,Y,KIPP ASPIRE ACADEMY,A,'20,
'227820,TRAVIS,'227,AEWMS,Y,KIPP AUSTIN COLLEGE PREP SCH INC,A,'13,C
'101813,HARRIS,'101,UVEWS,Y,KIPP INC CHARTER,A,'04,B
'101860,HARRIS,'101,,Y,KIPP SOUTHEAST HOUSTON,A,'04,
'057837,DALLAS,'057,AS,Y,KIPP TRUTH ACADEMY,A,'10,
'121905,JASPER,'121,U,N,KIRBYVILLE CISD,A,'05,
'101915,HARRIS,'101,,N,KLEIN ISD,A,'04,A
'058905,DAWSON,'058,ACRUVS,N,KLONDIKE ISD,R,'17,A
'232901,UVALDE,'232,UVEWNS,N,KNIPPA ISD,R,'20,A
'138902,KNOX,'138,CUVW,N,KNOX CITY-O'BRIEN CISD,A,'09,B
'018907,BOSQUE,'018,UVEW,N,KOPPERL ISD,A,'12,B
'100903,HARDIN,'100,,N,KOUNTZE ISD,A,'05,A
'219905,SWISHER,'219,R,N,KRESS ISD,A,'16,
'061905,DENTON,'061,UV,N,KRUM ISD,A,'11,
'057839,DALLAS,'057,,Y,LA ACADEMIA DE ESTRELLAS,A,'10,
'101833,HARRIS,'101,,Y,LA AMISTAD LOVE & LEARNING ACADEMY,X,'04,
'015811,BEXAR,'015,,Y,LA ESCUELA DE LAS AMERICAS,L,'20,
'031905,CAMERON,'031,ARU,N,LA FERIA ISD,A,'01,
'125906,JIM WELLS,'125,AN,N,LA GLORIA ISD,A,'02,
'075902,FAYETTE,'075,PUV,N,LA GRANGE ISD,A,'13,C
'108912,HIDALGO,'108,DPR,N,LA JOYA ISD,A,'01,C
'084904,GALVESTON,'084,,N,LA MARQUE ISD,A,'04,A
'101916,HARRIS,'101,E,N,LA PORTE ISD,A,'04,
'254902,ZAVALA,'254,R,N,LA PRYOR ISD,A,'20,A
'161906,MCLENNAN,'161,,N,LA VEGA ISD,A,'12,
'247903,WILSON,'247,UV,N,LA VERNIA ISD,A,'20,A
'108914,HIDALGO,'108,R,N,LA VILLA ISD,A,'01,B
'015913,BEXAR,'015,APUVEWNS,N,LACKLAND ISD,R,'20,
'227912,TRAVIS,'227,APRUVEWS,N,LAGO VISTA ISD,A,'13,
'061912,DENTON,'061,UVS,N,LAKE DALLAS ISD,A,'11,
'227913,TRAVIS,'227,PCRUVWS,N,LAKE TRAVIS ISD,A,'13,
'220910,TARRANT,'220,,N,LAKE WORTH ISD,A,'11,A
'079901,FORT BEND,'079,,N,LAMAR CISD,A,'04,
'058906,DAWSON,'058,,N,LAMESA ISD,A,'17,A
'141901,LAMPASAS,'141,S,N,LAMPASAS ISD,A,'12,
'057913,DALLAS,'057,,N,LANCASTER ISD,A,'10,C
'201903,RUSK,'201,RUVS,N,LANEVILLE ISD,A,'07,G
'107910,HENDERSON,'107,AUVNS,N,LAPOYNOR ISD,R,'07,
'240901,WEBB,'240,DR,N,LAREDO ISD,A,'01,H
'245901,WILLACY,'245,AEMNS,N,LASARA ISD,R,'01,A
'113905,HOUSTON,'113,UVE,N,LATEXO ISD,R,'06,
'185904,PARMER,'185,AUVE,N,LAZBUDDIE ISD,A,'16,A
'193902,REAL,'193,RVEW,N,LEAKEY ISD,A,'20,B
'246913,WILLIAMSON,'246,UES,N,LEANDER ISD,A,'13,
'019914,BOWIE,'019,AEWNS,N,LEARY ISD,E,'08,
'090902,GRAY,'090,RS,N,LEFORS ISD,A,'16,A
'187906,POLK,'187,U,N,LEGGETT ISD,A,'06,G
'145911,LEON,'145,A,N,LEON ISD,R,'06,A
'074909,FANNIN,'074,AUVES,N,LEONARD ISD,A,'10,A
'110902,HOCKLEY,'110,,N,LEVELLAND ISD,A,'17,A
'201904,RUSK,'201,DUVE,N,LEVERETTS CHAPEL ISD,A,'07,A
'061902,DENTON,'061,APVES,N,LEWISVILLE ISD,A,'11,
'144902,LEE,'144,RUVS,N,LEXINGTON ISD,A,'13,
'246908,WILLIAMSON,'246,RUVW,N,LIBERTY HILL ISD,A,'13,A
'146906,LIBERTY,'146,,N,LIBERTY ISD,A,'04,B
'019908,BOWIE,'019,W,N,LIBERTY-EYLAU ISD,A,'08,A
'057807,DALLAS,'057,RUE,Y,LIFE SCHOOL,A,'10,
'015825,BEXAR,'015,,Y,LIGHTHOUSE CHARTER SCHOOL,A,'20,
'212903,SMITH,'212,AWS,N,LINDALE ISD,R,'07,A
'034905,CASS,'034,UWNS,N,LINDEN-KILDARE CISD,A,'08,B
'049907,COOKE,'049,ADRUVEWMNS,N,LINDSAY ISD,E,'11,
'072909,ERATH,'072,ARUVE,N,LINGLEVILLE ISD,A,'11,A
'111902,HOOD,'111,RUES,N,LIPAN ISD,R,'11,A
'181908,ORANGE,'181,,N,LITTLE CYPRESS-MAURICEVILLE CISD,A,'05,A
'061914,DENTON,'061,,N,LITTLE ELM ISD,A,'11,
'140904,LAMB,'140,U,N,LITTLEFIELD ISD,A,'17,A
'187907,POLK,'187,,N,LIVINGSTON ISD,A,'06,A
'150901,LLANO,'150,RUV,N,LLANO ISD,A,'13,A
'028902,CALDWELL,'028,,N,LOCKHART ISD,A,'13,A
'077902,FLOYD,'077,AV,N,LOCKNEY ISD,A,'17,A
'160905,MCCULLOCH,'160,AUVWS,N,LOHN ISD,R,'15,C
'141902,LAMPASAS,'141,AVS,N,LOMETA ISD,A,'12,F
'178906,NUECES,'178,AEWMNS,N,LONDON ISD,E,'02,B
'116906,HUNT,'116,UVEWS,N,LONE OAK ISD,R,'10,A
'092903,GREGG,'092,,N,LONGVIEW ISD,A,'07,F
'083902,GAINES,'083,ADUVWNS,N,LOOP ISD,R,'17,B
'168902,MITCHELL,'168,DRU,N,LORAINE ISD,A,'14,
'161907,MCLENNAN,'161,CVWS,N,LORENA ISD,A,'12,A
'054902,CROSBY,'054,AU,N,LORENZO ISD,A,'17,B
'031906,CAMERON,'031,ARVEWS,N,LOS FRESNOS CISD,A,'01,C
'241906,WHARTON,'241,VW,N,LOUISE ISD,A,'03,A
'043919,COLLIN,'043,AEWMNS,N,LOVEJOY ISD,E,'10,
'113903,HOUSTON,'113,UVE,N,LOVELADY ISD,A,'06,A
'152901,LUBBOCK,'152,,N,LUBBOCK ISD,A,'17,
'152906,LUBBOCK,'152,AUEW,N,LUBBOCK-COOPER ISD,A,'17,C
'127905,JONES,'127,,N,LUEDERS-AVOCA ISD,A,'14,A
'003903,ANGELINA,'003,,N,LUFKIN ISD,A,'07,A
'028903,CALDWELL,'028,,N,LULING ISD,L,'13,B
'100907,HARDIN,'100,S,N,LUMBERTON ISD,A,'05,
'245902,WILLACY,'245,R,N,LYFORD CISD,A,'01,B
'007904,ATASCOSA,'007,,N,LYTLE ISD,A,'20,C
'129905,KAUFMAN,'129,UVES,N,MABANK ISD,R,'10,
'154901,MADISON,'154,,N,MADISONVILLE CISD,A,'06,A
'170906,MONTGOMERY,'170,,N,MAGNOLIA ISD,A,'06,
'084801,GALVESTON,'084,AES,Y,MAINLAND PREPARATORY ACADEMY,A,'04,
'107906,HENDERSON,'107,US,N,MALAKOFF ISD,A,'07,
'109908,HILL,'109,AWMS,N,MALONE ISD,R,'12,
'019910,BOWIE,'019,REWMNS,N,MALTA ISD,E,'08,A
'227907,TRAVIS,'227,,N,MANOR ISD,A,'13,B
'220908,TARRANT,'220,E,N,MANSFIELD ISD,A,'11,
'022902,BREWSTER,'022,RUEW,N,MARATHON ISD,R,'18,A
'027904,BURNET,'027,,N,MARBLE FALLS ISD,A,'13,
'189901,PRESIDIO,'189,RVW,N,MARFA ISD,A,'18,C
'034908,CASS,'034,A,N,MARIETTA ISD,R,'08,A
'094904,GUADALUPE,'094,U,N,MARION ISD,A,'13,
'073903,FALLS,'073,,N,MARLIN ISD,L,'12,A
'102902,HARRISON,'102,,N,MARSHALL ISD,A,'07,A
'161908,MCLENNAN,'161,A,N,MART ISD,A,'12,A
'234905,VAN ZANDT,'234,AUVEWMNS,N,MARTINS MILL ISD,R,'07,B
'174909,NACOGDOCHES,'174,AUVEW,N,MARTINSVILLE ISD,A,'07,
'157901,MASON,'157,AUVWS,N,MASON ISD,R,'15,A
'158904,MATAGORDA,'158,AE,N,MATAGORDA ISD,R,'03,A
'205904,SAN PATRICIO,'205,R,N,MATHIS ISD,A,'02,C
'019903,BOWIE,'019,UVS,N,MAUD ISD,A,'08,B
'025905,BROWN,'025,RUVENS,N,MAY ISD,R,'15,
'070915,ELLIS,'070,AVMS,N,MAYPEARL ISD,A,'10,A
'108906,HIDALGO,'108,PRV,N,MCALLEN ISD,A,'01,C
'231901,UPTON,'231,D,N,MCCAMEY ISD,A,'18,B
'227811,TRAVIS,'227,,Y,MCCULLOUGH ACADEMY OF EXCELLENCE,L,'13,
'011905,BASTROP,'011,,N,MCDADE ISD,A,'13,
'161909,MCLENNAN,'161,A,N,MCGREGOR ISD,A,'12,B
'043907,COLLIN,'043,UEWS,N,MCKINNEY ISD,A,'10,
'090903,GRAY,'090,ADRUEW,N,MCLEAN ISD,A,'16,
'034906,CASS,'034,UVS,N,MCLEOD ISD,R,'08,A
'162904,MCMULLEN,'162,DCRUVWS,N,MCMULLEN COUNTY ISD,A,'02,A
'223902,TERRY,'223,ARUVW,N,MEADOW ISD,A,'17,B
'101801,HARRIS,'101,,Y,MEDICAL CENTER CHARTER SCHOOL,L,'04,
'010901,BANDERA,'010,AVNS,N,MEDINA ISD,R,'20,A
'163908,MEDINA,'163,R,N,MEDINA VALLEY ISD,A,'20,A
'043908,COLLIN,'043,UVWS,N,MELISSA ISD,R,'10,
'096904,HALL,'096,V,N,MEMPHIS ISD,A,'16,B
'164901,MENARD,'164,AUWS,N,MENARD ISD,R,'15,C
'108907,HIDALGO,'108,R,N,MERCEDES ISD,A,'01,C
'018902,BOSQUE,'018,DRVW,N,MERIDIAN ISD,R,'12,
'221904,TAYLOR,'221,,N,MERKEL ISD,A,'14,B
'057914,DALLAS,'057,A,N,MESQUITE ISD,A,'10,
'220808,TARRANT,'220,,Y,METRO ACADEMY OF MATH AND SCIENCE,L,'11,
'147903,LIMESTONE,'147,,N,MEXIA ISD,A,'12,
'101855,HARRIS,'101,,Y,MEYERPARK ELEMENTARY,L,'04,
'062906,DEWITT,'062,AEMNS,N,MEYERSVILLE ISD,E,'03,
'197902,ROBERTS,'197,ADVEWMS,N,MIAMI ISD,R,'16,
'108804,HIDALGO,'108,,Y,MID-VALLEY ACADEMY,1,'01,
'165802,MIDLAND,'165,UVEWMS,Y,MIDLAND ACADEMY CHARTER SCHOOL,R,'18,B
'165901,MIDLAND,'165,,N,MIDLAND ISD,A,'18,B
'070908,ELLIS,'070,PUVE,N,MIDLOTHIAN ISD,A,'10,
'039905,CLAY,'039,AUS,N,MIDWAY ISD,R,'09,A
'161903,MCLENNAN,'161,AUVEWS,N,MIDWAY ISD,A,'12,
'166903,MILAM,'166,VS,N,MILANO ISD,R,'06,B
'175910,NAVARRO,'175,RUVS,N,MILDRED ISD,A,'12,
'200902,RUNNELS,'200,AUVS,N,MILES ISD,R,'15,A
'070909,ELLIS,'070,A,N,MILFORD ISD,A,'10,C
