DISTRICT,DISTNAME,REGION,DFLCHART,D_RATING,DSUPRATE,DFLYRE,COUNTY,CNTYNAME
'181906,WEST ORANGE-COVE CONS ISD,'05,N,A,NQ,N,'181,ORANGE
'229903,WOODVILLE ISD,'05,N,R,NQ,N,'229,TYLER
'093901,ANDERSON-SHIRO CONS ISD,'06,N,A,NQ,N,'093,GRIMES
'228905,APPLE SPRINGS ISD,'06,N,R,NQ,N,'228,TRINITY
'008901,BELLVILLE ISD,'06,N,A,NQ,N,'008,AUSTIN
'187901,BIG SANDY ISD,'06,N,A,NQ,N,'187,POLK
'008903,BRAZOS ISD,'06,N,A,NQ,N,'008,AUSTIN
'198901,BREMOND ISD,'06,N,R,NQ,N,'198,ROBERTSON
'239901,BRENHAM ISD,'06,N,A,NQ,N,'239,WASHINGTON
'021902,BRYAN ISD,'06,N,A,NQ,N,'021,BRAZOS
'166907,BUCKHOLTS ISD,'06,N,A,NQ,N,'166,MILAM
'145901,BUFFALO ISD,'06,N,A,NQ,N,'145,LEON
'239903,BURTON ISD,'06,N,A,NQ,N,'239,WASHINGTON
'026901,CALDWELL ISD,'06,N,A,NQ,N,'026,BURLESON
'198902,CALVERT ISD,'06,N,A,NQ,N,'198,ROBERTSON
'166901,CAMERON ISD,'06,N,A,NQ,N,'166,MILAM
'145902,CENTERVILLE ISD,'06,N,R,NQ,N,'145,LEON
'228904,CENTERVILLE ISD,'06,N,A,NQ,N,'228,TRINITY
'204901,COLDSPRING-OAKHURST CONS ISD,'06,N,A,NQ,N,'204,SAN JACINTO
'021901,COLLEGE STATION ISD,'06,N,A,NQ,N,'021,BRAZOS
'170902,CONROE ISD,'06,N,A,NQ,N,'170,MONTGOMERY
'187904,CORRIGAN-CAMDEN ISD,'06,N,A,NQ,N,'187,POLK
'113901,CROCKETT ISD,'06,N,A,NQ,N,'113,HOUSTON
'198903,FRANKLIN ISD,'06,N,A,NQ,N,'198,ROBERTSON
'166902,GAUSE ISD,'06,N,E,NA,N,'166,MILAM
'187903,GOODRICH ISD,'06,N,A,NQ,N,'187,POLK
'113902,GRAPELAND ISD,'06,N,A,NQ,N,'113,HOUSTON
'228901,GROVETON ISD,'06,N,R,NQ,N,'228,TRINITY
'198905,HEARNE ISD,'06,N,A,NQ,N,'198,ROBERTSON
'236902,HUNTSVILLE ISD,'06,N,A,NQ,P,'236,WALKER
'093903,IOLA ISD,'06,N,A,NQ,N,'093,GRIMES
'113906,KENNARD ISD,'06,N,A,NQ,N,'113,HOUSTON
'113905,LATEXO ISD,'06,N,R,NQ,N,'113,HOUSTON
'187906,LEGGETT ISD,'06,N,A,NQ,N,'187,POLK
'145911,LEON ISD,'06,N,A,NQ,N,'145,LEON
'187907,LIVINGSTON ISD,'06,N,A,NQ,N,'187,POLK
'113903,LOVELADY ISD,'06,N,A,NQ,N,'113,HOUSTON
'154901,MADISONVILLE CONS ISD,'06,N,A,NQ,N,'154,MADISON
'170906,MAGNOLIA ISD,'06,N,A,NQ,N,'170,MONTGOMERY
'166903,MILANO ISD,'06,N,R,NQ,N,'166,MILAM
'170903,MONTGOMERY ISD,'06,N,R,NQ,N,'170,MONTGOMERY
'198906,MUMFORD ISD,'06,N,R,NA,N,'198,ROBERTSON
'093904,NAVASOTA ISD,'06,N,A,NQ,N,'093,GRIMES
'170908,NEW CANEY ISD,'06,N,A,NQ,N,'170,MONTGOMERY
'236901,NEW WAVERLY ISD,'06,N,A,NQ,N,'236,WALKER
'145906,NORMANGEE ISD,'06,N,A,NQ,N,'145,LEON
'154903,NORTH ZULCH ISD,'06,N,A,NQ,N,'154,MADISON
'145907,OAKWOOD ISD,'06,N,A,NQ,N,'145,LEON
'187910,ONALASKA ISD,'06,N,R,NA,N,'187,POLK
'093905,RICHARDS ISD,'06,N,A,NQ,N,'093,GRIMES
'166904,ROCKDALE ISD,'06,N,A,NQ,N,'166,MILAM
'008902,SEALY ISD,'06,N,A,NQ,N,'008,AUSTIN
'204904,SHEPHERD ISD,'06,N,A,NQ,N,'204,SAN JACINTO
'026903,SNOOK ISD,'06,N,A,NQ,N,'026,BURLESON
'026902,SOMERVILLE ISD,'06,N,A,NQ,N,'026,BURLESON
'170907,SPLENDORA ISD,'06,N,A,NQ,N,'170,MONTGOMERY
'228903,TRINITY ISD,'06,N,A,NQ,N,'228,TRINITY
'170904,WILLIS ISD,'06,N,A,NQ,N,'170,MONTGOMERY
'250906,ALBA-GOLDEN ISD,'07,N,A,NQ,N,'250,WOOD
