DISTRICT,YEAR,DA0GH06N,DA0GH06P,DA0GM06N,DA0GM06P,DA0GR06N,DA0GR06P,DAPID07N,DAPID07R,DAUND06C,DAUND06R,DB0GR06N,DB0GR06P,DH0GR06N,DH0GR06P,DI0GR06N,DI0GR06P,DP0GR06N,DP0GR06P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR06N,DS0GR06P,DW0GR06N,DW0GR06P
'122901,2007,33,73.3,12,26.7,45,100,0,0,4,1.5,2,4.4,5,11.1,1,2.2,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,347,17,4.9,1,0.3,3,0.7,174,50.1,13,3.7,18,5.2,23,6.6,16,4.6,18,5.2,19,5.5,21,6.1,26,7.5,36,10.4,52,15,38,11,48,13.8,3,0.9,10,2.9,16,4.6,0,0,106,30.5,0,0,19,5.5,5,1.4,176,50.7,102,29.4,111,32,235,67.7,17,37.8,37,82.2
'122902,2007,4,100,0,0,4,100,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0,50,0,0,0,0,.,.,.,.,.,0,.,.,0,50,4,8,0,0,0,0,35,70,3,6,4,8,2,4,8,16,3,6,3,6,5,10,3,6,2,4,6,12,2,4,4,8,0,0,4,8,5,10,0,0,21,42,0,0,4,8,0,0,14,28,4,8,3,6,29,58,0,0,0,0
'123801,2007,0,.,0,.,0,.,2,0.5,1,1.8,0,.,0,.,0,.,0,.,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,366,2,0.5,346,94.5,0,0,359,98.1,35,9.6,19,5.2,18,4.9,10,2.7,10,2.7,16,4.4,16,4.4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,33,9,198,54.1,9,2.5,0,0,6,1.6,2,0.5,103,28.1,23,6.3,0,0,9,2.5,0,.,0,.
'123803,2007,0,.,0,.,0,.,1,0.3,0,0,0,.,0,.,0,.,0,.,10.5,8.7,9.5,5,5.9,0,0,9.5,8.6,.,0,.,0,0,0,0,50,.,338,0,0,322,95.3,0,0,323,95.6,31,9.2,34,10.1,30,8.9,22,6.5,23,6.8,27,8,21,6.2,16,4.7,19,5.6,0,0,0,0,0,0,0,0,0,0,37,10.9,78,23.1,9,2.7,1,0.3,0,0,1,0.3,119,35.2,32,9.5,19,5.6,5,1.5,0,.,0,.
'123804,2007,27,52.9,24,47.1,51,100,18,4.9,63,18.2,49,96.1,1,2,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,204,0,0,188,92.2,0,0,160,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13.7,54,26.5,74,36.3,48,23.5,0,0,0,0,0,0,0,0,4,2,1,0.5,0,0,7,3.4,147,72.1,17,8.3,92,45.1,4,2,10,19.6,1,2
'123805,2007,0,.,0,.,0,.,0,0,1,1.4,0,.,0,.,0,.,0,.,0,0,12.5,20,28.6,0,0,0,3.8,.,.,0,0,.,0,0,0,0,199,0,0,132,66.3,0,0,170,85.4,23,11.6,25,12.6,15,7.5,11,5.5,15,7.5,16,8,23,11.6,16,8,0,0,0,0,0,0,0,0,0,0,0,0,27,13.6,28,14.1,15,7.5,0,0,0,0,0,0,44,22.1,15,7.5,0,0,52,26.1,0,.,0,.
'123905,2007,186,66.7,93,33.3,279,100,8,0.1,12,0.5,4,1.4,18,6.5,0,0,12,4.3,2.5,0.7,0.3,1.3,1,0,0.6,0,3.1,6.3,1.9,2,3.5,0,0,2.1,8.8,10.6,4977,144,2.9,213,4.3,119,2.1,1452,29.2,380,7.6,394,7.9,356,7.2,384,7.7,362,7.3,367,7.4,366,7.4,382,7.7,450,9,410,8.2,338,6.8,349,7,27,0.5,413,8.3,339,6.8,73,1.5,469,9.4,10,0.2,151,3,252,5.1,1553,31.2,669,13.4,1370,27.5,4033,81,36,12.9,245,87.8
'123907,2007,294,87.5,42,12.5,336,100,27,0.3,76,1.7,219,65.2,60,17.9,0,0,35,10.4,5.4,5.2,5.7,4.9,2.8,1,1.1,0.5,4.2,10.8,10,0,0,2.4,1.1,2.4,0,3.3,9263,824,8.9,4713,50.9,333,3,7825,84.5,724,7.8,700,7.6,673,7.3,677,7.3,655,7.1,644,7,700,7.6,721,7.8,687,7.4,709,7.7,542,5.9,459,5,34,0.4,150,1.6,762,8.2,576,6.2,3446,37.2,12,0.1,1452,15.7,640,6.9,5315,57.4,902,9.7,1811,19.6,452,4.9,42,12.5,22,6.5
'123908,2007,258,74.6,88,25.4,346,100,11,0.2,25,1,7,2,38,11,1,0.3,12,3.5,2.5,1.4,0.4,1,1.4,3.4,2.8,1.5,5.2,15,14.3,10.5,0,2.4,4.2,0,4.5,21.9,4641,79,1.7,117,2.5,75,1.5,1178,25.4,346,7.5,360,7.8,318,6.9,302,6.5,353,7.6,363,7.8,353,7.6,376,8.1,438,9.4,355,7.6,331,7.1,329,7.1,13,0.3,156,3.4,320,6.9,84,1.8,470,10.1,35,0.8,90,1.9,189,4.1,1729,37.3,525,11.3,1196,25.8,3830,82.5,36,10.4,288,83.2
'123910,2007,750,76.7,228,23.3,978,100,27,0.1,1,0,588,60.1,76,7.8,2,0.2,37,3.8,5,3.3,2.2,1.2,1.6,1.5,3.8,1.2,3.6,3.3,3.1,4.4,2.9,3.3,3,4,2,15,19463,1220,6.3,12434,63.9,734,3.2,12914,66.4,1453,7.5,1396,7.2,1389,7.1,1408,7.2,1425,7.3,1439,7.4,1500,7.7,1396,7.2,1758,9,1361,7,1284,6.6,1103,5.7,100,0.5,1942,10,1352,6.9,1099,5.6,2752,14.1,27,0.1,1271,6.5,598,3.1,9013,46.3,1871,9.6,3853,19.8,3652,18.8,123,12.6,275,28.1
