CAMPUS,YEAR,C200A001212R,C200A001213R,C200AC01212R,C200AC01213R,C200AM01212R,C200AM01213R,C200AR01212R,C200AR01213R,C200AS01212R,C200AS01213R,C200AW01212R,C200AW01213R,C300A001212R,C300A001213R,C300AC01212R,C300AC01213R,C300AM01212R,C300AM01213R,C300AR01212R,C300AR01213R,C300AS01212R,C300AS01213R,C300AW01212R,C300AW01213R,C400A001212R,C400A001213R,C400AC01212R,C400AC01213R,C400AM01212R,C400AM01213R,C400AR01212R,C400AR01213R,C400AS01212R,C400AS01213R,C400AW01212R,C400AW01213R,CA00A001212R,CA00A001213R,CA00AC01212R,CA00AC01213R,CA00AM01212R,CA00AM01213R,CA00AR01212R,CA00AR01213R,CA00AS01212R,CA00AS01213R,CA00AW01212R,CA00AW01213R,CB00A001212R,CB00A001213R,CB00AC01212R,CB00AC01213R,CB00AM01212R,CB00AM01213R,CB00AR01212R,CB00AR01213R,CB00AS01212R,CB00AS01213R,CB00AW01212R,CB00AW01213R,CE00A001212R,CE00A001213R,CE00AC01212R,CE00AC01213R,CE00AM01212R,CE00AM01213R,CE00AR01212R,CE00AR01213R,CE00AS01212R,CE00AS01213R,CE00AW01212R,CE00AW01213R,CF00A001212R,CF00A001213R,CF00AC01212R,CF00AC01213R,CF00AM01212R,CF00AM01213R,CF00AR01212R,CF00AR01213R,CF00AS01212R,CF00AS01213R,CF00AW01212R,CF00AW01213R,CH00A001212R,CH00A001213R,CH00AC01212R,CH00AC01213R,CH00AM01212R,CH00AM01213R,CH00AR01212R,CH00AR01213R,CH00AS01212R,CH00AS01213R,CH00AW01212R,CH00AW01213R,CI00A001212R,CI00A001213R,CI00AC01212R,CI00AC01213R,CI00AM01212R,CI00AM01213R,CI00AR01212R,CI00AR01213R,CI00AS01212R,CI00AS01213R,CI00AW01212R,CI00AW01213R,CL00A001212R,CL00A001213R,CL00AC01212R,CL00AC01213R,CL00AM01212R,CL00AM01213R,CL00AR01212R,CL00AR01213R,CL00AS01212R,CL00AS01213R,CL00AW01212R,CL00AW01213R,CM00A001212R,CM00A001213R,CM00AC01212R,CM00AC01213R,CM00AM01212R,CM00AM01213R,CM00AR01212R,CM00AR01213R,CM00AS01212R,CM00AS01213R,CM00AW01212R,CM00AW01213R,CR00A001212R,CR00A001213R,CR00AC01212R,CR00AC01213R,CR00AM01212R,CR00AM01213R,CR00AR01212R,CR00AR01213R,CR00AS01212R,CR00AS01213R,CR00AW01212R,CR00AW01213R,CS00A001212R,CS00A001213R,CS00AC01212R,CS00AC01213R,CS00AM01212R,CS00AM01213R,CS00AR01212R,CS00AR01213R,CS00AS01212R,CS00AS01213R,CS00AW01212R,CS00AW01213R,CW00A001212R,CW00A001213R,CW00AC01212R,CW00AC01213R,CW00AM01212R,CW00AM01213R,CW00AR01212R,CW00AR01213R,CW00AS01212R,CW00AS01213R,CW00AW01212R,CW00AW01213R
'188901114,13,-1,-1,-1,.,-1,-1,-1,.,.,.,-1,-1,33,43,-1,-1,43,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,23,26,22,21,23,27,28,27,.,.,10,22,-1,71,.,.,-1,-1,-1,-1,.,.,-1,-1,21,27,22,23,21,28,25,28,.,.,8,22,20,20,12,10,13,20,28,25,.,.,24,17,21,23,15,15,22,23,25,26,.,.,11,24,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,26,30,35,27,31,33,27,29,.,.,3,27,6,5,0,5,9,8,5,3,.,.,4,-1,34,20,25,-1,47,22,26,22,.,.,-1,-1,30,28,40,36,25,31,38,26,.,.,13,-1
'188901115,13,17,47,-1,-1,-1,33,-1,50,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,23,20,35,16,24,26,24,.,.,12,11,17,18,-1,-1,13,14,23,21,.,.,22,-1,16,21,15,32,13,22,23,22,.,.,10,9,21,23,22,27,18,22,24,25,.,.,15,20,20,22,22,27,15,29,27,20,.,.,10,9,.,.,.,.,.,.,.,.,.,.,.,.,4,13,-1,-1,0,22,11,9,.,.,-1,-1,19,22,17,40,15,24,28,22,.,.,10,-1,7,10,4,15,5,15,13,8,.,.,0,4,38,29,-1,-1,29,27,41,27,.,.,-1,-1,21,29,-1,-1,20,-1,30,40,.,.,-1,-1
'188901119,13,24,29,-1,-1,-1,43,-1,14,.,.,-1,-1,38,0,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,35,37,44,35,31,40,41,35,.,.,16,37,35,50,-1,-1,-1,-1,-1,-1,.,.,-1,-1,29,37,40,37,25,40,35,34,.,.,16,35,33,42,38,26,28,42,42,46,.,.,14,44,31,33,42,36,27,36,37,30,.,.,12,31,.,.,.,.,.,.,.,.,.,.,.,.,29,5,.,-1,14,14,57,0,.,.,-1,-1,36,33,53,42,34,39,40,26,.,.,17,31,13,17,18,25,7,26,20,7,.,.,5,7,30,38,-1,44,29,42,29,38,.,.,-1,-1,46,50,47,43,44,51,56,49,.,.,19,56
'188901120,13,50,29,.,-1,-1,-1,-1,-1,.,.,-1,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,39,43,37,40,35,41,47,51,.,.,31,25,14,29,-1,-1,-1,-1,25,38,.,.,-1,-1,23,26,19,24,19,23,30,33,.,.,20,14,38,43,38,41,30,40,44,51,.,.,39,31,19,24,15,23,13,24,30,31,.,.,11,0,-1,.,-1,.,-1,.,-1,.,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,.,.,-1,-1,41,43,36,38,39,42,51,52,.,.,24,14,6,20,0,21,6,20,12,25,.,.,0,0,15,33,-1,33,13,38,13,38,.,.,-1,-1,46,49,48,45,42,47,53,59,.,.,37,33
'188901121,13,0,18,-1,-1,-1,-1,-1,-1,.,.,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,38,47,35,38,30,43,47,54,.,.,37,45,9,27,-1,-1,-1,-1,-1,-1,.,.,-1,-1,23,29,5,29,18,27,31,36,.,.,29,11,39,52,28,39,29,43,51,60,.,.,50,63,36,39,35,20,24,39,51,50,.,.,-1,25,.,-1,.,-1,.,-1,.,-1,.,.,.,.,7,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,36,41,44,38,31,44,42,45,.,.,29,25,8,8,0,-1,4,12,9,6,.,.,22,-1,22,41,-1,-1,-1,-1,-1,-1,.,.,-1,-1,45,53,43,50,38,47,51,58,.,.,50,58
'188901122,13,-1,44,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,22,34,21,22,20,35,27,.,.,24,10,11,-1,-1,-1,-1,-1,14,-1,.,.,-1,-1,25,20,22,19,18,20,34,26,.,.,21,6,27,24,15,23,23,22,34,32,.,.,29,10,29,23,31,8,24,23,34,30,.,.,25,16,.,.,.,.,.,.,.,.,.,.,.,.,-1,0,-1,-1,-1,-1,-1,-1,.,.,.,-1,30,19,47,19,21,18,36,23,.,.,21,11,3,5,12,6,0,6,5,4,.,.,0,-1,6,5,-1,-1,-1,-1,8,7,.,.,-1,-1,29,20,43,32,21,16,38,23,.,.,23,6
'188901123,13,59,69,-1,-1,64,67,55,83,.,.,-1,-1,50,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,51,33,56,44,51,46,51,.,.,52,45,30,30,-1,22,38,38,25,31,.,.,-1,-1,35,47,28,44,34,52,35,44,.,.,43,44,47,55,29,56,44,54,49,57,.,.,65,53,41,42,19,44,41,43,47,34,.,.,43,60,-1,25,.,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,43,48,37,57,43,49,44,46,.,.,44,38,12,15,9,5,6,23,18,13,.,.,15,22,52,70,42,56,48,76,58,68,.,.,67,71,45,56,37,67,43,55,46,58,.,.,55,43
'188901124,13,.,.,.,.,.,.,.,.,.,.,.,.,19,11,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,22,21,19,13,24,23,23,22,.,.,14,18,11,6,-1,-1,10,-1,-1,-1,.,.,-1,-1,22,20,19,12,25,23,23,20,.,.,15,17,26,25,14,13,30,28,28,26,.,.,24,25,23,22,17,15,26,26,25,23,.,.,17,19,.,-1,.,.,.,-1,.,-1,.,.,.,-1,13,16,6,3,17,25,13,15,.,.,12,14,18,17,24,14,19,19,19,18,.,.,4,10,17,12,17,4,20,17,17,13,.,.,11,10,8,3,-1,-1,8,-1,-1,8,.,.,-1,-1,9,6,-1,-1,-1,-1,-1,-1,.,.,-1,-1
'188901125,13,-1,50,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,32,18,22,34,33,30,35,.,.,25,32,67,.,-1,.,-1,.,-1,.,.,.,-1,.,28,32,17,19,33,34,29,35,.,.,21,32,26,30,7,16,31,28,27,35,.,.,32,37,28,32,19,21,33,33,28,35,.,.,27,33,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,24,32,6,15,38,41,22,31,.,.,18,27,31,35,29,28,36,39,33,35,.,.,18,28,19,26,2,14,29,31,18,26,.,.,15,28,57,56,27,39,63,55,59,59,.,.,64,75,30,35,-1,-1,42,50,42,25,.,.,-1,-1
'188901126,13,18,29,-1,-1,38,50,13,0,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,23,29,21,23,24,33,24,29,.,.,16,27,23,19,33,19,20,19,28,16,.,.,14,23,22,29,21,23,23,32,24,29,.,.,15,28,22,29,23,11,21,34,25,28,.,.,11,38,22,30,18,23,23,34,22,29,.,.,21,27,.,.,.,.,.,.,.,.,.,.,.,.,6,19,0,-1,18,31,0,13,.,.,0,22,24,29,20,33,27,32,23,29,.,.,19,18,8,18,3,10,14,24,8,15,.,.,2,18,20,25,13,10,29,30,17,26,.,.,8,22,26,39,24,26,31,42,27,42,.,.,6,35
'188901127,13,30,0,-1,.,38,-1,25,-1,.,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,44,28,43,40,46,51,47,.,.,53,29,27,22,-1,-1,-1,-1,-1,-1,.,.,-1,-1,42,36,29,32,39,37,45,38,.,.,53,27,42,43,22,42,40,43,48,49,.,.,54,30,43,47,28,52,42,54,43,47,.,.,57,21,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,50,.,-1,.,-1,.,-1,.,.,.,-1,.,48,44,36,44,41,49,55,46,.,.,53,28,23,12,10,-1,22,16,29,6,.,.,25,20,37,18,-1,11,28,17,38,17,.,.,55,-1,49,45,32,39,41,43,61,51,.,.,50,43
'188901128,13,30,63,-1,.,-1,-1,-1,-1,.,.,.,-1,100,88,.,-1,-1,-1,-1,-1,.,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,42,47,27,26,46,55,45,45,.,.,40,47,33,24,-1,-1,36,22,36,13,.,.,-1,-1,39,42,28,25,40,51,43,37,.,.,34,49,43,51,23,10,45,60,46,51,.,.,50,53,38,49,8,47,42,61,42,41,.,.,55,36,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,0,-1,-1,-1,-1,-1,-1,.,.,-1,-1,42,43,31,38,46,50,43,39,.,.,33,39,23,17,17,-1,36,21,18,9,.,.,15,38,47,22,-1,-1,56,29,50,19,.,.,22,-1,45,47,45,17,50,54,46,47,.,.,28,47
'188901130,13,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,33,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,49,40,34,26,58,44,50,37,.,.,40,51,55,33,-1,.,-1,-1,-1,-1,.,.,-1,.,48,37,35,23,58,41,47,35,.,.,39,48,48,41,33,21,53,45,51,39,.,.,44,67,49,40,30,26,56,46,51,37,.,.,40,48,67,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,27,25,-1,-1,56,20,22,27,.,.,0,25,51,38,35,32,64,44,48,34,.,.,35,40,25,21,20,13,35,32,20,15,.,.,19,15,35,13,-1,-1,67,33,-1,0,.,.,-1,-1,50,32,-1,-1,64,27,45,36,.,.,-1,-1
'188901131,13,53,52,-1,-1,57,38,43,63,.,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,43,53,43,30,36,54,48,.,.,37,47,20,23,.,-1,-1,-1,-1,-1,.,.,-1,-1,33,27,46,33,21,20,39,31,.,.,37,30,43,44,50,42,29,36,52,50,.,.,50,51,36,44,30,38,21,47,50,47,.,.,42,35,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,-1,43,41,55,45,31,36,55,45,.,.,26,41,12,20,27,23,5,18,16,29,.,.,8,-1,28,31,-1,-1,13,33,47,40,.,.,-1,-1,45,43,56,49,32,34,56,47,.,.,39,51
'188901132,13,20,33,.,-1,-1,-1,-1,-1,.,.,-1,-1,44,46,-1,-1,50,50,50,40,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,28,37,21,27,37,42,31,31,.,.,5,47,17,24,29,13,7,21,29,26,.,.,-1,-1,28,36,20,25,37,40,30,30,.,.,4,47,26,38,13,12,32,41,32,33,.,.,7,59,28,38,18,26,41,45,27,31,.,.,8,46,.,.,.,.,.,.,.,.,.,.,.,.,15,24,0,0,34,35,6,14,.,.,6,32,31,36,29,41,42,42,30,28,.,.,3,36,15,23,14,7,25,28,9,17,.,.,6,36,4,29,-1,-1,-1,26,5,26,.,.,-1,45,33,37,25,38,34,40,45,30,.,.,-1,50
'188901133,13,11,23,-1,-1,-1,-1,-1,40,.,.,.,-1,57,43,-1,33,88,65,46,35,.,.,-1,27,.,.,.,.,.,.,.,.,.,.,.,.,29,30,37,32,30,37,31,31,.,.,15,9,12,15,-1,-1,13,20,6,20,.,.,-1,-1,28,30,39,33,30,37,29,30,.,.,14,9,27,29,21,29,20,34,35,31,.,.,23,13,26,24,41,21,28,33,28,24,.,.,8,0,.,-1,.,.,.,-1,.,-1,.,.,.,.,34,25,-1,17,67,47,25,16,.,.,-1,-1,30,31,48,34,38,40,27,31,.,.,7,6,23,24,25,25,27,34,26,21,.,.,6,8,34,47,50,-1,36,67,36,42,.,.,-1,-1,31,39,22,50,31,41,38,43,.,.,19,15
'188901134,13,32,42,-1,-1,38,40,38,50,.,.,-1,-1,-1,42,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,26,37,24,15,25,51,32,38,.,.,18,16,15,25,15,-1,11,30,16,29,.,.,-1,-1,26,36,21,12,24,49,32,37,.,.,18,15,29,39,15,4,24,56,37,38,.,.,38,22,29,37,29,16,28,52,35,37,.,.,14,13,.,.,.,.,.,.,.,.,.,.,.,.,4,20,-1,-1,15,44,0,13,.,.,-1,-1,24,36,30,23,25,47,28,38,.,.,3,9,13,26,16,9,13,40,13,22,.,.,10,5,31,48,-1,20,38,72,23,44,.,.,38,14,29,47,-1,11,21,67,38,43,.,.,33,25
'188901135,13,56,33,-1,-1,-1,11,57,67,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,42,40,22,43,26,31,57,51,.,.,61,37,20,14,-1,-1,-1,0,17,9,.,.,-1,-1,31,34,16,35,18,26,43,42,.,.,47,33,45,46,26,46,24,33,61,54,.,.,73,58,24,31,0,36,13,25,40,38,.,.,35,20,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,-1,.,-1,-1,-1,.,.,-1,-1,39,35,19,39,27,28,54,48,.,.,52,13,19,17,0,20,5,12,25,21,.,.,50,13,19,24,-1,-1,9,14,27,36,.,.,-1,-1,52,49,35,50,33,38,68,62,.,.,69,42
'188901138,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'188901139,13,67,43,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,64,54,76,45,51,76,73,.,.,72,66,-1,14,.,.,-1,-1,-1,-1,.,.,-1,-1,48,54,38,67,37,41,57,60,.,.,58,56,63,63,61,70,46,51,79,69,.,.,70,72,42,53,25,50,26,36,57,64,.,.,63,71,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,-1,40,.,-1,.,-1,-1,-1,.,.,-1,-1,59,66,45,84,44,51,73,76,.,.,75,59,40,29,-1,-1,50,27,36,33,.,.,-1,-1,41,33,-1,-1,29,25,57,42,.,.,-1,17,66,67,61,79,49,53,81,76,.,.,73,68
'188901140,13,8,56,-1,.,-1,57,20,71,.,.,-1,-1,68,71,-1,67,72,76,67,67,.,.,73,-1,.,.,.,.,.,.,.,.,.,.,.,.,57,58,45,47,54,56,61,64,.,.,69,60,-1,33,-1,-1,-1,-1,-1,-1,.,.,.,-1,29,36,27,13,26,34,35,50,.,.,-1,18,58,59,43,49,51,54,65,65,.,.,71,66,53,57,27,20,61,51,58,68,.,.,45,75,-1,56,.,.,-1,-1,-1,-1,.,.,.,-1,17,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,57,58,46,45,56,58,59,64,.,.,67,55,16,23,-1,-1,8,27,24,33,.,.,20,-1,24,35,-1,57,20,35,28,35,.,.,33,14,59,58,50,49,54,54,63,64,.,.,74,58
'188901141,13,100,64,-1,-1,-1,-1,-1,-1,.,.,-1,.,76,94,-1,-1,50,83,83,100,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,67,66,64,60,66,74,66,64,.,.,70,51,48,53,-1,-1,38,43,50,57,.,.,-1,-1,50,55,53,28,49,74,49,53,.,.,52,38,69,70,70,56,67,76,70,70,.,.,72,64,45,48,42,29,50,65,33,48,.,.,67,0,60,100,.,.,-1,-1,-1,-1,.,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,65,63,62,63,66,73,63,60,.,.,69,39,32,34,-1,17,33,44,21,33,.,.,38,-1,50,46,50,30,45,52,55,48,.,.,50,-1,70,68,66,65,70,77,71,66,.,.,71,52
'188901142,13,29,50,.,.,14,50,43,33,.,.,-1,-1,95,77,.,.,89,80,100,67,.,.,-1,89,.,.,.,.,.,.,.,.,.,.,.,.,59,61,.,.,53,58,67,62,.,.,55,65,7,27,.,.,-1,-1,-1,-1,.,.,-1,-1,44,44,.,.,36,39,55,44,.,.,39,50,57,64,.,.,47,62,66,63,.,.,60,69,38,38,.,.,32,39,47,33,.,.,31,44,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,62,58,.,.,60,53,70,61,.,.,47,61,6,17,.,.,8,22,0,11,.,.,-1,17,44,59,.,.,50,64,43,50,.,.,-1,-1,67,67,.,.,60,62,75,73,.,.,64,66
'188901143,13,32,50,-1,-1,25,50,50,50,.,.,-1,-1,69,64,.,-1,67,58,67,58,.,.,-1,80,-1,.,.,.,-1,.,-1,.,.,.,-1,.,34,39,23,38,29,41,41,38,.,.,37,39,28,55,-1,-1,21,60,36,53,.,.,-1,50,28,38,14,38,24,40,37,35,.,.,30,37,36,39,26,44,30,35,43,38,.,.,44,52,30,31,18,33,26,31,35,28,.,.,38,33,-1,40,.,-1,-1,-1,-1,-1,.,.,-1,.,7,18,.,-1,-1,23,-1,8,.,.,-1,-1,31,39,18,32,28,45,39,38,.,.,28,29,12,16,7,17,11,24,17,10,.,.,11,15,8,16,-1,-1,11,29,6,10,.,.,-1,-1,40,42,33,36,34,45,49,42,.,.,36,35
'188901170,13,50,29,43,-1,45,14,65,36,.,.,-1,50,0,33,.,-1,-1,-1,-1,-1,.,.,-1,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,33,28,28,33,28,17,40,37,.,.,30,25,16,15,5,9,16,9,19,23,.,.,15,13,21,20,11,20,20,13,27,28,.,.,16,18,36,29,31,35,29,19,43,40,.,.,39,27,33,35,25,50,24,23,46,44,.,.,29,32,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,30,26,27,32,28,16,36,35,.,.,21,23,7,8,0,12,7,4,8,13,.,.,7,-1,17,12,-1,-1,20,11,20,21,.,.,17,-1,52,40,62,56,45,27,58,53,.,.,52,27
'188902001,13,42,48,-1,33,-1,33,-1,70,-1,25,-1,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,24,11,22,23,21,17,32,18,19,21,25,.,.,.,.,.,.,.,.,.,.,.,.,16,22,10,22,26,19,15,32,18,16,13,22,16,27,5,22,20,23,18,40,14,19,25,29,13,14,8,16,16,13,14,21,14,13,-1,7,4,7,0,0,0,17,-1,-1,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,20,21,17,21,26,20,16,25,20,19,17,21,3,11,2,5,8,11,3,19,0,5,3,13,10,6,12,7,0,0,6,10,24,0,-1,15,19,26,12,23,25,23,17,35,18,21,25,30
'188902101,13,40,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,22,21,.,.,20,16,28,27,.,.,11,20,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,18,19,.,.,19,15,24,24,.,.,7,16,22,25,.,.,18,19,29,31,.,.,15,21,22,19,.,.,26,14,23,27,.,.,13,13,33,-1,.,.,-1,-1,-1,-1,.,.,-1,.,12,0,.,.,-1,-1,-1,-1,.,.,-1,-1,21,18,.,.,22,13,28,23,.,.,7,20,12,9,.,.,12,5,15,11,.,.,3,13,13,27,.,.,17,18,17,24,.,.,-1,50,21,23,.,.,18,17,30,29,.,.,9,24
'188902102,13,24,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,32,23,34,39,43,34,40,9,10,20,15,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,27,30,21,35,36,41,29,37,11,10,25,11,29,30,24,19,37,42,43,41,7,9,15,20,30,36,9,38,47,47,33,50,17,10,23,8,35,38,-1,40,40,57,60,43,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,27,34,22,47,41,44,24,39,12,10,25,11,12,19,9,22,18,26,11,22,5,8,11,3,8,26,-1,38,11,29,7,32,-1,-1,13,6,28,31,27,34,37,41,33,37,7,9,19,17
'188902103,13,47,71,-1,-1,75,57,25,71,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,32,17,31,28,30,26,34,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,21,27,17,28,23,26,20,28,.,.,.,.,26,28,17,27,29,24,28,32,.,.,.,.,15,23,7,23,10,23,23,23,.,.,.,.,71,.,-1,.,-1,.,-1,.,.,.,.,.,-1,13,-1,-1,-1,-1,-1,-1,.,.,.,.,24,37,18,38,27,38,23,35,.,.,.,.,5,15,8,21,5,15,4,11,.,.,.,.,4,31,-1,-1,5,32,5,32,.,.,.,.,25,32,17,30,28,30,25,35,.,.,.,.
'188903001,13,-1,42,-1,-1,-1,20,-1,-1,-1,-1,.,-1,24,37,22,33,33,35,11,39,11,38,-1,38,.,.,.,.,.,.,.,.,.,.,.,.,21,29,16,25,15,24,22,38,25,28,34,26,0,6,-1,0,-1,0,-1,-1,-1,-1,.,-1,16,25,7,23,10,21,20,33,16,24,31,24,23,28,17,27,15,25,28,42,22,22,40,23,10,26,4,22,4,19,18,31,11,27,18,30,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,19,29,15,24,15,24,17,34,27,33,28,29,3,14,4,4,0,9,0,24,7,14,5,16,5,18,0,7,0,4,13,29,7,23,-1,23,26,30,20,25,17,27,26,42,33,27,39,23
'188903041,13,27,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,41,59,-1,67,48,71,43,58,-1,11,33,75,.,.,.,.,.,.,.,.,.,.,.,.,34,43,42,53,33,47,39,50,21,19,32,27,24,50,-1,-1,25,33,38,67,-1,-1,-1,.,31,40,34,49,29,45,37,47,16,10,30,32,33,45,25,50,31,46,39,57,11,12,40,36,33,43,40,48,29,48,41,53,20,15,32,25,.,.,.,.,.,.,.,.,.,.,.,.,23,28,-1,20,42,40,8,40,-1,-1,-1,-1,36,41,59,56,35,48,39,42,31,26,24,13,10,22,22,21,10,29,10,25,0,12,10,7,21,33,-1,-1,14,43,21,36,-1,-1,-1,-1,35,38,46,51,34,41,37,43,27,24,31,17
'188903101,13,60,0,-1,-1,-1,-1,-1,-1,.,.,.,-1,57,58,100,60,80,67,30,56,.,.,20,-1,.,.,.,.,.,.,.,.,.,.,.,.,30,35,51,47,29,32,26,34,.,.,29,33,24,20,-1,-1,-1,-1,-1,-1,.,.,-1,-1,26,30,48,40,28,27,19,28,.,.,21,30,30,37,39,43,28,33,28,39,.,.,31,33,22,32,33,35,18,31,25,35,.,.,19,28,.,-1,.,.,.,-1,.,-1,.,.,.,.,44,42,-1,50,54,55,23,36,.,.,33,-1,30,33,72,51,30,30,24,30,.,.,27,32,16,18,33,25,18,20,11,15,.,.,14,-1,30,25,-1,31,32,29,27,21,.,.,27,-1,31,36,48,52,29,30,26,35,.,.,34,41
'188904001,13,22,29,-1,-1,-1,20,-1,40,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,28,36,28,37,27,36,24,41,29,32,33,35,.,44,.,-1,.,-1,.,-1,.,-1,.,-1,29,29,28,24,34,28,21,39,24,19,42,35,26,35,23,33,25,34,30,43,18,22,43,44,21,28,16,32,24,32,12,38,24,18,33,15,50,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,29,38,33,40,29,38,19,40,39,40,25,28,10,18,9,16,11,17,6,24,6,14,29,18,32,22,33,18,27,18,24,31,25,20,83,20,29,37,29,37,28,37,26,42,30,34,32,38
