CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101903042,E A OLLE MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'06 - 08,M,,,'04
'101903002,ELSIK H S,N,N,NQ,HARRIS,'101,NQ,A,ALIEF ISD,'09 - 12,S,,,'04
'101903113,FLEM REES EL,N,N,R,HARRIS,'101,NA,R,ALIEF ISD,'EE - 05,E,,,'04
'101903001,HASTINGS H S,N,N,NQ,HARRIS,'101,NQ,A,ALIEF ISD,'08 - 12,S,,,'04
'101903115,HEARNE EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 05,E,,,'04
'101903111,HEFLIN EL,N,N,R,HARRIS,'101,NA,E,ALIEF ISD,'EE - 05,E,,,'04
'101903120,HICKS EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 04,E,,,'04
'101903044,JAMES HOLUB MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'06 - 08,M,,,'04
'101903006,KERR H S,N,N,NQ,HARRIS,'101,NQ,R,ALIEF ISD,'09 - 12,S,,,'04
'101903141,KLENTZMAN INT,N,N,R,HARRIS,'101,NA,A,ALIEF ISD,'05 - 06,M,,,'04
'101903109,LIESTMAN EL,N,N,NQ,HARRIS,'101,NA,R,ALIEF ISD,'EE - 04,E,,,'04
'101903107,MICHAEL KENNEDY EL,N,N,NQ,HARRIS,'101,NA,R,ALIEF ISD,'EE - 05,E,,,'04
'101903116,MILDRED V LANDIS EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'PK - 05,E,,,'04
'101903046,O'DONNELL MIDDLE,N,N,R,HARRIS,'101,NA,A,ALIEF ISD,'06 - 08,M,,,'04
'101903119,OUTLEY EL,N,N,NQ,HARRIS,'101,NA,R,ALIEF ISD,'EE - 05,E,,,'04
'101903140,OWENS INT,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'05 - 06,M,,,'04
'101903110,PETROSKY EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 05,E,,,'04
'101903117,SNEED EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'PK - 04,E,,,'04
'101903104,V G CHAMBERS EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'PK - 04,E,,,'04
'101903106,VIOLA MAHANAY EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 06,E,,,'04
'101903101,YOUENS EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 05,E,,,'04
'101903142,YOUNGBLOOD INT,N,N,R,HARRIS,'101,NA,R,ALIEF ISD,'05 - 06,M,,,'04
'101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,N,,HARRIS,'101,NH,H,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 06,E,,,'04
'043901001,ALLEN H S,N,N,NQ,COLLIN,'043,NQ,R,ALLEN ISD,'09 - 12,S,,,'10
'043901102,ALTON BOYD EL,N,N,NQ,COLLIN,'043,NA,A,ALLEN ISD,'EE - 06,E,,,'10
'043901105,ALVIS C STORY EL,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901003,COLLIN CO J J A E P,N,N,,COLLIN,'043,NR,N,ALLEN ISD,'09 - 09,S,,,'10
'043901101,D L ROUNTREE EL,N,N,R,COLLIN,'043,NA,R,ALLEN ISD,'EE - 06,E,,,'10
'043901107,FLOSSIE FLOYD GREEN EL,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901108,FRANCES E NORTON EL,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901104,GENE M REED EL,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901109,GEORGE J ANDERSON EL,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901106,MAX O VAUGHAN EL,N,N,R,COLLIN,'043,NA,E,ALLEN ISD,'EE - 06,E,,,'10
'043901042,W E PETE FORD MIDDLE,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'07 - 09,M,,,'10
'043901043,WALTER & LOIS CURTIS MIDDLE,N,N,NQ,COLLIN,'043,NA,E,ALLEN ISD,'07 - 09,M,,,'10
'242904001,ALLISON SCHOOL,N,N,R,WHEELER,'242,NQ,E,ALLISON ISD,'PK - 12,B,,,'16
'022901101,ALPINE EL,N,N,NQ,BREWSTER,'022,NA,A,ALPINE ISD,'KG - 04,E,,,'18
'022901001,ALPINE H S,N,N,NQ,BREWSTER,'022,NQ,R,ALPINE ISD,'09 - 12,S,,,'18
'022901041,ALPINE MIDDLE,N,N,NQ,BREWSTER,'022,NA,R,ALPINE ISD,'05 - 08,M,,,'18
'022901102,PETE GALLEGO SR CENTER,N,N,,BREWSTER,'022,NR,N,ALPINE ISD,'EE - PK,E,,,'18
'037901101,ALTO EL,N,N,NQ,CHEROKEE,'037,NA,A,ALTO ISD,'PK - 04,E,,,'07
'037901001,ALTO H S,N,N,NQ,CHEROKEE,'037,NQ,A,ALTO ISD,'09 - 12,S,,,'07
'037901041,ALTO MIDDLE,N,N,R,CHEROKEE,'037,NA,A,ALTO ISD,'05 - 08,M,,,'07
'037901002,CHEROKEE COUNTY CO-OP,N,N,,CHEROKEE,'037,PE,1,ALTO ISD,'10 - 12,S,,,'07
