CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101903116,,MILDRED V LANDIS EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903144,,MILLER INTERMEDIATE,N,M,HARRIS,'101,R,ALIEF ISD,'05 - 06,M,,,'04
'101903046,,O'DONNELL MIDDLE,N,NQ,HARRIS,'101,A,ALIEF ISD,'06 - 10,B,,,'04
'101903119,,OUTLEY EL,N,M,HARRIS,'101,R,ALIEF ISD,'EE - 05,E,,,'04
'101903140,,OWENS INT,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903110,,PETROSKY EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903117,,SNEED EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903104,,V G CHAMBERS EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903106,,VIOLA MAHANAY EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903101,,YOUENS EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903142,A,YOUNGBLOOD INT,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101815101,A,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,NQ,HARRIS,'101,R,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 06,E,,,'04
'043901001,R,ALLEN H S,N,R,COLLIN,'043,E,ALLEN ISD,'09 - 12,S,,,'10
'043901102,A,ALTON BOYD EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901105,A,ALVIS C STORY EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
'043901110,,BOLIN ELEMENTARY SCHOOL,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901003,,COLLIN CO J J A E P,N,,COLLIN,'043,X,ALLEN ISD,'09 - 10,S,,,'10
'043901101,,D L ROUNTREE EL,N,NQ,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901107,A,FLOSSIE FLOYD GREEN EL,N,M,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901108,A,FRANCES E NORTON EL,N,NQ,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
