CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101902083,NA,MACARTHUR NINTH GRADE SCHOOL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902003,MACARTHUR H S,'04
'101902120,NA,MAGRILL EL,N,N,R,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902109,NA,MENDEL EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902085,NA,NIMITZ NINTH GRADE SCHOOL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902005,CHESTER W NIMITZ H S,'04
'101902111,NA,OLESON EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902112,NA,ORANGE GROVE EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902065,NA,PARKER INT,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902113,NA,RAYMOND ACADEMY,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902104,NR,REECE ACADEMY,N,N,,HARRIS,'101,N,ALDINE ISD,'PK - KG,E,,,'04
'101902068,NA,RUBY REED ACADEMY,N,N,R,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902118,NA,SAMMONS EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902047,NA,SHOTWELL MIDDLE,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902304,NR,SMITH HEAD START,N,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902064,NA,STEHLIK INT,N,N,R,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
