CAMPUS,CAMPNAME,REGION,CFLCHART,C_RATING,CSUPRATE,CIADDACK,CFLYRE,COUNTY,CNTYNAME,PAIRCAMP,PAIRNAME,GRDSPAN,GRDTYPE,DISTNAME
'101903102,BOONE EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'PK - 05,E,ALIEF ISD
'101903108,CHANCELLOR EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903112,CUMMINGS EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903114,DEBORAH ALEXANDER EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903043,DON P KILLOUGH MIDDLE,'04,N,A,NA,NQ,N,'101,HARRIS,,,'07 - 08,M,ALIEF ISD
'101903105,DOUGLAS SMITH EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903042,E A OLLE MIDDLE,'04,N,A,NA,NQ,N,'101,HARRIS,,,'06 - 08,M,ALIEF ISD
'101903002,ELSIK H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALIEF ISD
'101903113,FLEM REES EL,'04,N,R,NA,R,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903001,HASTINGS H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALIEF ISD
'101903115,HEARNE EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903111,HEFLIN EL,'04,N,E,NA,R,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903120,HICKS EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903044,JAMES HOLUB MIDDLE,'04,N,R,NA,NQ,N,'101,HARRIS,,,'06 - 08,M,ALIEF ISD
'101903006,KERR H S,'04,N,R,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALIEF ISD
'101903141,KLENTZMAN INT,'04,N,A,NA,R,N,'101,HARRIS,,,'05 - 06,M,ALIEF ISD
'101903109,LIESTMAN EL,'04,N,R,NA,R,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903107,MICHAEL KENNEDY EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903116,MILDRED V LANDIS EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903046,O'DONNELL MIDDLE,'04,N,A,NA,NQ,N,'101,HARRIS,,,'06 - 08,M,ALIEF ISD
'101903119,OUTLEY EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903140,OWENS INT,'04,N,R,NA,R,N,'101,HARRIS,,,'05 - 06,M,ALIEF ISD
'101903110,PETROSKY EL,'04,N,R,NA,R,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903117,SNEED EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903104,V G CHAMBERS EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903106,VIOLA MAHANAY EL,'04,N,R,NA,M,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903101,YOUENS EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 05,E,ALIEF ISD
'101903142,YOUNGBLOOD INT,'04,N,A,NA,R,N,'101,HARRIS,,,'05 - 06,M,ALIEF ISD
'043901001,ALLEN H S,'10,N,R,NQ,NQ,N,'043,COLLIN,,,'09 - 12,S,ALLEN ISD
'043901102,ALTON BOYD EL,'10,N,R,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901105,ALVIS C STORY EL,'10,N,R,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901003,COLLIN CO J J A E P,'10,N,N,NR,,N,'043,COLLIN,,,'07 - 09,M,ALLEN ISD
'043901101,D L ROUNTREE EL,'10,N,R,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901107,FLOSSIE FLOYD GREEN EL,'10,N,R,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901108,FRANCES E NORTON EL,'10,N,R,NA,R,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901104,"GENE M REED, JR EL",'10,N,E,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901109,GEORGE J ANDERSON EL,'10,N,R,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901106,MAX O VAUGHAN EL,'10,N,E,NA,NQ,N,'043,COLLIN,,,'EE - 06,E,ALLEN ISD
'043901042,W E PETE FORD MIDDLE,'10,N,E,NA,NQ,N,'043,COLLIN,,,'07 - 09,M,ALLEN ISD
'043901043,WALTER & LOIS CURTIS MIDDLE,'10,N,E,NA,NQ,N,'043,COLLIN,,,'07 - 09,M,ALLEN ISD
'242904001,ALLISON SCHOOL,'16,N,A,NQ,NQ,N,'242,WHEELER,,,'KG - 12,B,ALLISON ISD
'022901002,ALPINE ALTER ED PLACEMENT,'18,N,N,NR,,N,'022,BREWSTER,,,'08 - 09,M,ALPINE ISD
'022901102,ALPINE EARLY CHILDHOOD,'18,N,N,NR,,N,'022,BREWSTER,,,'EE - PK,E,ALPINE ISD
'022901101,ALPINE EL,'18,N,A,NA,NQ,N,'022,BREWSTER,,,'KG - 04,E,ALPINE ISD
'022901001,ALPINE H S,'18,N,A,NQ,NQ,N,'022,BREWSTER,,,'09 - 12,S,ALPINE ISD
'022901041,ALPINE J H,'18,N,A,NA,NQ,N,'022,BREWSTER,,,'05 - 08,M,ALPINE ISD
'037901101,ALTO EL,'07,N,A,NA,NQ,N,'037,CHEROKEE,,,'PK - 04,E,ALTO ISD
'037901001,ALTO H S,'07,N,R,NQ,NQ,N,'037,CHEROKEE,,,'09 - 12,S,ALTO ISD
'037901041,ALTO MIDDLE,'07,N,A,NA,NQ,N,'037,CHEROKEE,,,'05 - 08,M,ALTO ISD
'037901002,CHEROKEE COUNTY CO-OP,'07,N,1,PE,,N,'037,CHEROKEE,,,'09 - 12,S,ALTO ISD
'126901102,ALVARADO EL-NORTH,'11,N,A,NA,NQ,N,'126,JOHNSON,,,'EE - 04,E,ALVARADO ISD
'126901101,ALVARADO EL-SOUTH,'11,N,A,NA,NQ,N,'126,JOHNSON,,,'KG - 04,E,ALVARADO ISD
'126901001,ALVARADO H S,'11,N,R,NQ,NQ,N,'126,JOHNSON,,,'09 - 12,S,ALVARADO ISD
'126901104,ALVARADO INT,'11,N,R,NA,RM,N,'126,JOHNSON,,,'05 - 06,M,ALVARADO ISD
'126901041,ALVARADO J H,'11,N,A,NA,NQ,N,'126,JOHNSON,,,'07 - 08,M,ALVARADO ISD
'126901103,LILLIAN EL,'11,N,A,NA,NQ,N,'126,JOHNSON,,,'KG - 04,E,ALVARADO ISD
'020901101,ALVIN EL,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'04 - 06,E,ALVIN ISD
'020901001,ALVIN H S,'04,N,A,NQ,NQ,N,'020,BRAZORIA,,,'EE - 12,B,ALVIN ISD
'020901041,ALVIN J H,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'07 - 08,M,ALVIN ISD
'020901102,ALVIN PRI,'04,N,A,NA,NQ,N,'020,BRAZORIA,,ALVIN ELEM.,'EE - 03,E,ALVIN ISD
'020901044,ASSETS LEARNING CTR,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'07 - 08,M,ALVIN ISD
'020901200,DAY STAR RESIDENTIAL,'04,N,N,NR,,N,'020,BRAZORIA,,,'EE - 11,B,ALVIN ISD
'020901105,E C MASON PRI,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'EE - 05,E,ALVIN ISD
'020901043,G W HARBY J H,'04,N,A,NA,NQ,N,'020,BRAZORIA,,,'07 - 08,M,ALVIN ISD
'020901109,HOOD CASE EL,'04,N,R,NA,R,N,'020,BRAZORIA,,,'EE - 06,E,ALVIN ISD
'020901104,LONGFELLOW EL,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'04 - 06,E,ALVIN ISD
'020901042,MANVEL J H,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'06 - 08,M,ALVIN ISD
'020901103,MARK TWAIN PRI,'04,N,R,NA,NQ,N,'020,BRAZORIA,,LONGFELLOW ELEM.,'EE - 03,E,ALVIN ISD
'020901108,MELBA PASSMORE EL,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'EE - 06,E,ALVIN ISD
'020901106,R L STEVENSON EL,'04,N,E,NA,NQ,N,'020,BRAZORIA,,WALT DISNEY ELEM.,'EE - 03,E,ALVIN ISD
'020901107,WALT DISNEY EL,'04,N,R,NA,NQ,N,'020,BRAZORIA,,,'04 - 06,E,ALVIN ISD
'249901101,ALVORD EL,'11,N,R,NA,NQ,N,'249,WISE,,,'KG - 05,E,ALVORD ISD
'249901001,ALVORD H S,'11,N,R,NQ,NQ,N,'249,WISE,,,'09 - 12,S,ALVORD ISD
'249901041,ALVORD J H,'11,N,A,NA,NQ,N,'249,WISE,,,'06 - 08,M,ALVORD ISD
'188901003,AMARILLO CTR ADVANCED LRN,'16,N,A,NA,NQ,N,'188,POTTER,,,'09 - 12,S,AMARILLO ISD
'188901001,AMARILLO H S,'16,N,R,NQ,NQ,N,'188,POTTER,,,'09 - 12,S,AMARILLO ISD
'188901041,AUSTIN MIDDLE,'16,N,A,NA,NQ,N,'188,POTTER,,,'06 - 08,M,AMARILLO ISD
'188901101,AVONDALE EL,'16,N,R,NA,NQ,N,'188,POTTER,,,'PK - 05,E,AMARILLO ISD
'188901102,BELMAR EL,'16,N,E,NA,NQ,N,'188,POTTER,,,'EE - 05,E,AMARILLO ISD
'188901103,BIVINS EL,'16,N,A,NA,NQ,N,'188,POTTER,,,'PK - 05,E,AMARILLO ISD
'188901048,BONHAM MIDDLE,'16,N,E,NA,NQ,N,'188,POTTER,,,'06 - 08,M,AMARILLO ISD
'188901042,BOWIE MIDDLE,'16,N,A,NA,NQ,N,'188,POTTER,,,'06 - 08,M,AMARILLO ISD
