CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'101903045,EWS,ALBRIGHT MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,'04,,
'101903114,,ALEXANDER EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,'04,,
'101903047,,ALIEF ISD J J A E P,N,HARRIS,'101,X,ALIEF ISD,'07 - 11,S,'04,,
'101903041,,ALIEF MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'06 - 08,M,'04,,
'101903118,Y,BEST EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,'04,,
'101903102,EMZ,BOONE EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,'04,,
'101903145,EMZ,BUDEWIG INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'05 - 07,M,'04,,
'101903121,WMZ,BUSH EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,'04,,
'101903104,Y,CHAMBERS EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,'04,,
'101903108,AEMNX,CHANCELLOR EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 05,E,'04,,
'101903122,W,COLLINS ELEMENTARY,N,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,'04,,
'101903112,,CUMMINGS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,'04,,
'101903002,R,ELSIK H S,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,'04,,
'101903001,Y,HASTINGS H S,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,'04,,
'101903115,,HEARNE EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,'04,,
'101903111,X,HEFLIN EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,'04,,
'101903120,E,HICKS EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903044,WS,HOLUB MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,'04,,
'101903123,Y,HORN EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,'04,,
'101903107,AEZ,KENNEDY EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903006,APRVESY,KERR H S,N,HARRIS,'101,R,ALIEF ISD,'09 - 12,S,'04,,
'101903043,,KILLOUGH MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,'04,,
'101903141,,KLENTZMAN INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,'04,,
'101903116,Y,LANDIS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,'04,,
'101903109,WMX,LIESTMAN EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 05,E,'04,,
'101903106,EMX,MAHANAY EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903103,WX,MARTIN EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,'04,,
'101903143,AMZ,MATA INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,'04,,
'101903144,EMY,MILLER INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'04 - 06,E,'04,,
'101903046,W,O'DONNELL MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,'04,,
