CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTASFC,CPSTASFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'028902104,2013,.,.,22,21.1,21.7,22,22,.,.,.,.,.,.,9.979,24.39,40.913,4.893,11.959,1,36.02,88.041,2,4.888,61954,1.979,6.277,42600,6.0003,19.036,43367,6.0001,19.036,43883,10.5411,33.442,47952,7,22.208,55617,0,0,6,19.035,0,0,0,0,13.5716,29.52,93.655,0.542,1.7195,8,25.381,0,0,15.8629,2,6.345,0,0,0,0,20.978,66.555,4,12.69,10.0067,31.52,77.042,47671,0,0,0,0,23.52,74.619,2.5,6.111,44884
'028902105,2013,.,.,22,21.7,21.7,22,24,.,21.7,.,.,.,.,15.893,33.292,47.739,6.8502,14.349,0,40.888,85.651,2,4.189,66616,0.93,2.557,42604,7.0002,19.238,43493,7.0002,19.238,44021,12.4575,34.235,46933,9,24.733,54166,0,0,7.9918,21.963,0,0,2.1695,5.962,13.4036,34.388,94.504,0.458,1.2586,10,27.481,0,0,15.9667,2,5.496,0,0,0,0,21.769,59.824,4,10.993,10.7499,36.388,76.224,47389,0,0,0,0,26.388,72.519,2.5,5.237,51316
'028903001,2013,16.6,19.7,.,.,.,.,.,.,.,.,15.3,18.8,17.8,7.159,18.937,37.802,2.4999,6.613,0,35.302,93.387,2,5.291,67887,1,3.259,36285,5.1286,16.709,39147,4.1597,13.552,42710,6.9346,22.593,43977,13.4711,43.888,52476,0,0,0.2576,0.839,0.829,2.701,2.5217,8.216,16.2,15.732,51.255,0,0,2.83,9.218,0,0,12.5105,14.962,48.745,4.5088,14.6894,0,0,19.631,63.955,0.9779,3.186,6.8571,30.694,81.197,46477,0,0,2.7977,9.1148,27.036,88.08,2.6082,6.9,42499
'028903041,2013,21.4,10,.,.,.,.,.,22.4,.,.,22.1,22.6,22.7,3.842,13.695,28.052,2.5,8.912,0,25.552,91.088,1.5505,5.527,60562,4.001,17.768,36285,5.8458,25.961,33805,6.7496,29.975,40704,4.5163,20.057,47413,1.405,6.24,57215,0,0,0.4504,2,1.171,5.199,1.3076,5.807,10.6177,13.12,58.263,0,0,1.171,5.199,0,0,14.3443,9.398,41.737,2.4407,10.8391,0,0,16.754,74.406,1.3087,5.812,4.1972,22.518,80.271,40503,0,0,0.2558,1.136,20.176,89.601,1.484,5.29,44176
'028903101,2013,.,.,15.5,20.7,18.5,15.1,16.2,.,19,.,.,.,.,13.979,20.57,67.957,16.9576,24.953,1,51,75.047,2.3,3.384,57123,6.999,14.988,36285,10.0002,21.414,37235,10.9998,23.554,39176,7.7,16.488,48477,11.0003,23.555,54434,0,0,3.5001,7.495,2,4.282,0,0,12.1489,43.7,93.577,1,2.1413,6,12.848,0,0,15.0322,2.999,6.423,0,0,0,0,36.909,79.034,5.2909,11.33,8.7872,46.7,68.719,43455,0,0,0,0,38.7,82.869,2,2.943,46340
'028906001,2013,8.7,10,15,13,16.8,24,9,21,17,.,11.9,14,10.4,6,27.338,21.947,5,22.782,0.3,16.947,77.218,1,4.556,67574,0,0,.,2.947,18.48,41363,4,25.083,39810,6.9999,43.895,47785,2,12.542,51536,0,0,0,0,2,12.543,1,6.271,13.4413,9.45,59.257,0,0,2,12.54,0,0,13.2314,6.497,40.743,0,0,0,0,13.479,84.522,0,0,10.6821,15.947,72.661,45068,0,0,1.4682,9.2068,11.947,74.917,0,0,.
'029901001,2013,17.6,19.2,.,.,.,.,.,1,.,.,15.3,15.2,18.1,24.86,23.377,106.342,13.7648,12.944,0,92.577,87.056,5,4.702,79798,5,6.187,37040,12.6844,15.696,38604,9.1743,11.353,41165,28.89,35.749,48744,25.0641,31.015,53861,3.0003,3.713,0.8739,1.081,2,2.475,0,0,15.689,50.79,62.849,3.9218,4.8529,12.998,16.085,0,0,13.8963,30.023,37.151,5.3243,6.5884,0,0,57.046,70.59,6.9621,8.615,7.3357,80.813,75.994,47155,0.6972,0.8627,6.685,8.2722,62.117,76.865,6.764,6.361,50872
'029901003,2013,17.9,.,.,.,.,.,.,.,.,.,19.2,17.3,13.4,0,0,4.617,0,0,0,4.617,100,1,21.66,79898,0,0,.,0.3142,8.687,37740,1,27.65,42300,1.0005,27.663,52010,1.302,36,53002,0,0,0.0189,0.523,0,0,0.0189,0.523,15,3.314,91.639,0,0,0,0,0,0,9.1243,0.302,8.361,0,0,0,0,2.793,77.211,0.7174,19.836,8.6,3.617,78.34,48443,0.3024,8.3612,0.069,1.9078,3.314,91.639,0,0,.
'029901043,2013,24.8,23.3,.,.,.,.,.,20.7,.,.,21,17.2,18.5,16.867,26.093,64.641,6.8131,10.54,0,57.828,89.46,3,4.641,70879,6,11.766,37947,7.9993,15.687,38337,13.1832,25.852,40882,12.7292,24.962,47190,11.0828,21.733,53359,0,0,0.1064,0.209,2,3.922,0,0,12.8952,36.353,71.289,1.871,3.669,8,15.688,0,0,17.1195,14.641,28.711,4.1281,8.0952,0,0,35.138,68.905,7.625,14.953,8.2176,50.994,78.889,44424,0,0,2.1261,4.1693,40.994,80.39,3.8333,5.93,54150
'029901101,2013,.,.,18.1,21.4,18.1,19.2,20.6,.,22.5,.,.,.,.,17.654,25.959,68.01,12.4389,18.29,0,55.571,81.71,2,2.941,72398,3,6.197,36640,10.4003,21.488,37649,5.9996,12.396,39743,18,37.19,46872,11.001,22.729,52952,0,0,0,0,1,2.066,2,4.132,13.519,48.401,100,0,0,10.002,20.665,1,2.066,17.1899,0,0,0,0,0,0,39.187,80.963,6.9619,14.384,10.7338,48.401,71.167,44754,0,0,0.252,0.5207,36.399,75.203,5.1702,7.602,48169
