CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101903110,X,PETROSKY EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903113,Z,REES EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903105,Y,SMITH EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903117,EWZ,SNEED EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
'101903003,RX,TAYLOR HIGH SCHOOL,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,,,'04
'101903101,,YOUENS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903142,,YOUNGBLOOD INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101815101,AEWMNZ,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,HARRIS,'101,R,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 05,E,,,'04
'043901001,S,ALLEN H S,N,COLLIN,'043,A,ALLEN ISD,'09 - 12,S,,,'10
'043901102,MN,ALTON BOYD EL,N,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,,,'10
'043901105,AEWMN,ALVIS C STORY EL,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901110,AEWMN,BOLIN ELEMENTARY SCHOOL,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901101,AEWMNZ,D L ROUNTREE EL,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901044,S,ERECKSON MS,N,COLLIN,'043,A,ALLEN ISD,'07 - 08,M,,,'10
'043901107,AEWMN,FLOSSIE FLOYD GREEN EL,N,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
'043901108,AEWMN,FRANCES E NORTON EL,N,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
'043901104,AEWMNY,GENE M REED EL,N,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,,,'10
'043901109,AEWMNZ,GEORGE J ANDERSON EL,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901112,AEWMN,JAMES AND MARGIE MARION ELEMENTAR,N,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901111,AEWMN,KERR ELEMENTARY SCHOOL,N,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,,,'10
'043901002,EY,LOWERY FRESHMAN CENTER,N,COLLIN,'043,A,ALLEN ISD,'09 - 09,S,,,'10
'043901106,AEWMN,MAX O VAUGHAN EL,N,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901042,EWS,W E PETE FORD MIDDLE,N,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,,,'10
'043901043,AEWS,WALTER & LOIS CURTIS MIDDLE,N,COLLIN,'043,R,ALLEN ISD,'07 - 08,M,,,'10
'057832001,,ALPHA CHARTER SCHOOL,Y,DALLAS,'057,1,ALPHA CHARTER SCHOOL,'KG - 12,B,,,'10
'101817001,,ALPHONSO CRUTCH'S-LIFE SUPPORT CE,Y,HARRIS,'101,1,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,'06 - 12,B,,,'04
'022901101,EWZ,ALPINE EL,N,BREWSTER,'022,R,ALPINE ISD,'EE - 04,E,,,'18
'022901001,,ALPINE H S,N,BREWSTER,'022,A,ALPINE ISD,'09 - 12,S,,,'18
'022901041,EWNSX,ALPINE MIDDLE,N,BREWSTER,'022,R,ALPINE ISD,'05 - 08,M,,,'18
'037901101,EWMZ,ALTO EL,N,CHEROKEE,'037,A,ALTO ISD,'PK - 04,E,,,'07
'037901001,ARZ,ALTO H S,N,CHEROKEE,'037,A,ALTO ISD,'09 - 12,S,,,'07
'037901041,AWS,ALTO MIDDLE,N,CHEROKEE,'037,A,ALTO ISD,'05 - 08,M,,,'07
'126901102,EWX,ALVARADO EL-NORTH,N,JOHNSON,'126,A,ALVARADO ISD,'EE - 04,E,,,'11
'126901101,EWY,ALVARADO EL-SOUTH,N,JOHNSON,'126,A,ALVARADO ISD,'PK - 04,E,,,'11
'126901001,R,ALVARADO H S,N,JOHNSON,'126,A,ALVARADO ISD,'08 - 12,S,,,'11
'126901104,A,ALVARADO INT,N,JOHNSON,'126,A,ALVARADO ISD,'05 - 06,M,,,'11
'126901041,,ALVARADO J H,N,JOHNSON,'126,A,ALVARADO ISD,'07 - 08,M,,,'11
'126901003,,JUVENILE JUSTICE ALTERNATIVE,N,JOHNSON,'126,X,ALVARADO ISD,'07 - 10,S,,,'11
'126901103,EX,LILLIAN EL,N,JOHNSON,'126,R,ALVARADO ISD,'EE - 04,E,,,'11
