DISTRICT,DPETALLC,DPETBLAP,DPETECOP,DPETHISP,DPETLEPP,DPETWHIP,YEAR
'067902,955,2.6,54.1,9.8,0.5,87.1,1997
'067903,1257,0.8,38.4,11.3,2.6,86.0,1997
'067904,442,0.0,58.4,26.2,9.3,73.1,1997
'067907,601,1.8,60.4,18.6,4.0,78.5,1997
'067908,241,0.0,55.2,11.6,0.0,87.6,1997
'068901,28709,4.9,64.5,50.4,15.8,43.7,1997
'069901,450,0.2,71.8,73.1,25.8,26.0,1997
'069902,391,0.3,65.5,27.1,0.3,71.4,1997
'070901,227,4.0,63.9,42.3,5.3,53.3,1997
'070903,4441,17.2,35.0,34.0,10.3,48.6,1997
'070905,1787,14.6,53.0,32.3,6.7,52.8,1997
'070907,612,24.2,52.8,12.9,5.6,62.6,1997
'070908,3590,2.2,22.2,10.3,3.5,86.7,1997
'070909,208,23.6,64.9,16.8,1.9,59.1,1997
'070910,910,0.7,40.1,25.3,7.7,72.6,1997
'070911,3809,4.1,15.7,12.1,2.2,83.2,1997
'070912,5329,17.7,35.5,20.5,5.2,61.3,1997
'070915,666,2.1,33.2,18.3,6.5,79.0,1997
'071901,6641,0.6,80.0,91.5,66.8,7.7,1997
'071902,64444,4.5,67.2,76.2,31.7,18.0,1997
'071903,2827,0.1,82.2,97.2,42.2,2.4,1997
'071904,3416,0.1,95.0,99.1,59.5,0.8,1997
'071905,47366,2.6,68.1,85.4,21.8,11.1,1997
'071906,813,0.2,81.2,95.4,21.4,4.2,1997
'071907,4518,0.5,100.0,92.9,42.5,6.5,1997
'071908,674,0.6,95.3,97.3,63.9,1.8,1997
'071909,21098,1.2,70.4,89.0,52.1,9.3,1997
'072901,62,0.0,71.0,43.5,30.6,56.5,1997
'072902,1470,0.4,59.0,35.3,11.7,63.7,1997
'072903,3438,1.1,25.8,14.3,4.9,83.7,1997
'072904,73,5.5,53.4,9.6,0.0,84.9,1997
'072908,227,0.0,44.9,22.9,2.6,76.7,1997
'072909,226,0.0,61.1,38.9,15.9,59.3,1997
'072910,69,0.0,56.5,11.6,0.0,88.4,1997
'073901,388,25.0,74.0,36.3,22.7,38.4,1997
'073903,1697,54.4,63.2,17.1,6.6,28.5,1997
'073904,111,0.0,9.9,3.6,0.0,96.4,1997
'073905,1043,18.1,47.5,18.2,3.5,63.6,1997
'074903,2109,9.2,33.1,4.7,1.9,84.4,1997
'074904,252,0.8,50.4,0.0,0.0,97.6,1997
'074905,209,0.0,42.1,1.0,0.0,95.2,1997
'074907,709,16.1,45.4,4.8,2.5,79.1,1997
'074909,759,5.5,34.5,4.6,1.8,89.3,1997
'074911,309,0.0,28.8,3.2,0.0,96.8,1997
'074912,409,2.2,39.6,6.6,0.0,90.5,1997
'074917,379,1.3,41.7,2.6,2.9,94.2,1997
'075901,571,6.5,41.0,37.1,11.9,55.5,1997
'075902,1944,9.9,37.2,16.6,5.9,73.3,1997
'075903,747,19.9,38.2,13.5,1.3,66.0,1997
'075906,251,4.0,20.7,0.4,0.0,95.6,1997
'075908,242,10.7,18.6,2.9,0.0,86.4,1997
'076903,322,3.1,54.7,24.2,0.0,72.7,1997
'076904,450,7.6,46.7,35.6,2.2,56.7,1997
'077901,1216,5.6,68.8,62.4,11.3,31.8,1997
'077902,873,3.1,59.0,58.5,2.9,38.1,1997
'078901,388,3.6,67.5,28.9,0.8,67.0,1997
'079901,14173,13.4,48.9,47.5,7.7,38.2,1997
'079906,2337,7.1,22.0,23.4,3.2,69.0,1997
'079907,46881,27.5,19.7,15.8,6.7,43.2,1997
'079908,121,62.0,85.1,37.2,12.4,0.8,1997
'079910,2340,16.8,31.2,37.6,14.4,30.7,1997
'080901,1489,6.9,33.2,10.4,3.6,82.0,1997
'081902,1592,24.9,37.9,6.7,2.4,67.8,1997
'081904,1141,17.4,38.4,11.3,4.6,71.1,1997
'081905,344,20.1,36.6,2.9,1.2,77.0,1997
'081906,89,6.7,39.3,4.5,3.4,85.4,1997
'082902,978,0.2,74.0,84.0,14.1,15.7,1997
'082903,2410,0.2,77.7,86.6,22.4,12.9,1997
'083901,710,9.6,69.2,63.8,13.4,26.5,1997
'083902,176,0.0,63.6,51.1,22.2,48.9,1997
'083903,2362,2.2,53.4,40.7,14.4,57.0,1997
'084901,6061,12.5,50.2,24.3,9.4,59.1,1997
'084902,10042,37.8,59.9,30.6,12.4,29.1,1997
'084903,298,0.3,46.3,5.0,0.7,94.3,1997
'084904,4431,62.1,46.0,10.2,1.0,27.1,1997
'084906,6001,18.8,44.4,24.7,4.7,55.3,1997
'084908,1378,40.6,61.0,17.5,3.0,41.1,1997
'084909,4393,0.3,23.4,11.0,1.7,88.4,1997
'084910,27552,6.6,8.1,10.8,4.4,74.0,1997
'084911,4509,1.0,3.5,4.9,0.2,91.1,1997
'085902,1025,10.0,60.9,41.7,6.4,48.3,1997
'085903,170,1.2,75.3,54.1,5.9,44.7,1997
'086024,16,0.0,0.0,18.8,0.0,81.3,1997
'086901,2829,0.3,38.5,31.0,8.3,68.0,1997
'086902,359,0.6,40.1,11.1,1.7,88.0,1997
'087901,432,0.0,47.7,37.0,20.6,62.7,1997
'088902,1375,5.3,45.4,39.7,1.1,54.6,1997
'089901,2674,13.1,55.9,45.4,5.8,41.4,1997
'089903,1004,2.8,70.6,58.5,11.6,38.4,1997
'089905,251,27.9,86.1,67.3,7.2,4.8,1997
'090902,155,0.6,37.4,9.0,1.3,87.1,1997
'090903,215,1.9,56.3,6.0,0.9,91.2,1997
'090904,3925,5.2,39.7,17.3,3.5,75.5,1997
'090905,40,2.5,2.5,2.5,0.0,95.0,1997
'091901,780,0.4,25.3,1.3,0.0,98.1,1997
'091902,476,0.2,14.7,6.7,2.5,92.4,1997
'091903,4638,11.3,44.1,4.1,1.5,82.2,1997
'091905,887,0.1,17.4,3.8,0.6,94.4,1997
'091906,6149,18.4,38.2,9.6,4.0,69.9,1997
'091907,142,2.8,32.4,9.2,0.0,88.0,1997
'091908,924,2.6,24.5,6.2,2.3,90.4,1997
'091909,1481,0.1,33.6,3.0,0.7,95.5,1997
'091910,641,10.6,39.8,3.9,0.0,85.3,1997
'091913,1238,0.0,27.5,0.9,0.3,97.8,1997
'091914,789,0.4,19.1,1.5,0.0,96.6,1997
'091917,510,0.2,31.6,20.2,11.4,79.0,1997
'091918,784,1.0,25.4,0.9,0.3,95.5,1997
'092901,2137,20.3,44.9,3.4,0.9,75.8,1997
'092902,3752,20.7,41.7,6.6,3.4,72.1,1997
'092903,8376,50.5,49.4,10.0,8.6,38.7,1997
'092904,5055,6.8,28.8,9.9,2.8,81.4,1997
'092906,1338,12.3,31.8,3.2,0.9,83.3,1997
'092907,1641,2.1,19.5,4.6,0.3,93.0,1997
'092908,1372,2.8,19.8,1.5,0.0,94.5,1997
'093901,544,19.7,40.1,7.4,0.6,72.2,1997
'093903,491,2.9,46.8,8.4,0.0,88.6,1997
'093904,3074,29.9,54.4,25.2,5.0,44.7,1997
'093905,136,27.9,61.0,0.7,0.0,71.3,1997
'094901,7357,8.4,53.7,52.3,11.4,38.5,1997
'094902,5128,5.3,29.6,24.3,1.9,68.9,1997
'094903,838,1.0,29.4,33.2,0.8,65.2,1997
'094904,920,2.0,32.7,24.9,3.6,72.3,1997
'095901,884,3.1,49.8,50.6,6.0,46.2,1997
'095902,187,0.0,64.7,44.4,9.6,55.6,1997
'095903,779,5.6,73.9,67.1,8.5,27.1,1997
'095904,447,2.2,59.7,66.2,13.0,31.1,1997
'095905,6325,6.9,57.3,60.6,8.3,31.8,1997
'096904,557,15.3,55.5,39.7,10.6,44.9,1997
'096905,280,3.2,60.0,39.6,19.6,57.1,1997
'096908,78,1.3,94.9,87.2,74.4,11.5,1997
'097902,944,0.2,38.3,6.9,1.9,91.9,1997
'097903,625,0.2,59.5,19.0,11.0,80.8,1997
'098901,457,0.0,45.1,39.6,10.5,60.4,1997
'098903,93,0.0,44.1,26.9,19.4,73.1,1997
'098904,780,0.0,43.1,37.9,14.6,62.1,1997
'099902,277,6.9,63.9,24.9,0.0,66.1,1997
'099903,747,7.0,45.1,22.0,2.0,71.1,1997
'100903,1357,16.0,44.1,1.7,0.0,82.0,1997
'100904,3559,22.0,39.0,1.1,0.1,76.6,1997
'100905,2417,14.1,27.8,2.2,0.5,83.6,1997
'100907,3202,0.2,19.6,1.6,0.0,97.8,1997
'100908,700,0.1,46.0,0.9,0.0,98.9,1997
'101801,115,62.6,20.0,10.4,11.3,14.8,1997
'101802,150,8.7,96.0,87.3,82.0,2.7,1997
'101803,122,13.9,0.0,9.8,2.5,73.8,1997
'101804,360,1.9,67.8,95.8,0.0,2.2,1997
'101805,256,94.5,39.1,2.0,0.0,0.0,1997
'101806,100,0.0,94.0,99.0,0.0,1.0,1997
'101902,47242,36.0,63.5,42.7,19.1,17.5,1997
'101903,38383,34.2,41.9,29.1,22.2,17.9,1997
'101905,6071,11.5,49.8,35.2,14.1,51.3,1997
'101906,3903,24.2,34.3,9.1,3.0,65.8,1997
'101907,52930,8.9,18.5,17.8,8.2,65.8,1997
'101908,11501,1.0,20.4,22.0,5.8,75.0,1997
'101909,13758,84.1,64.8,14.4,7.3,1.4,1997
'101910,17610,20.5,52.2,52.1,18.3,25.0,1997
'101911,17921,17.2,44.1,35.6,11.7,46.2,1997
'101912,209375,34.3,65.0,51.8,28.2,11.1,1997
'101913,22650,8.3,14.0,9.8,3.2,79.2,1997
'101914,26597,4.7,11.2,12.4,4.9,78.7,1997
'101915,29892,11.7,15.3,13.6,6.2,67.6,1997
'101916,7344,8.1,22.9,19.3,2.8,71.1,1997
'101917,40512,5.3,53.0,54.1,21.5,36.7,1997
'101919,21044,21.2,30.5,19.4,7.2,53.2,1997
'101920,29881,6.5,49.0,44.6,31.3,40.8,1997
'101921,6090,4.0,14.4,9.1,3.7,85.7,1997
'101924,3820,23.4,47.7,25.2,10.1,50.1,1997
'101925,2328,0.0,19.2,5.2,1.4,94.0,1997
'102901,435,64.4,81.6,1.4,0.0,34.3,1997
'102902,6378,45.6,51.5,7.1,4.8,46.7,1997
'102903,805,26.0,47.2,6.3,4.1,67.6,1997
'102904,3649,5.9,22.5,2.1,0.5,91.1,1997
'102905,546,7.5,33.5,0.2,0.0,92.1,1997
'102906,1002,22.4,42.2,3.1,0.9,74.0,1997
'103901,116,0.0,44.0,15.5,4.3,84.5,1997
'103902,197,1.0,47.7,15.2,5.6,83.8,1997
'104901,718,6.4,61.3,33.8,2.1,59.5,1997
'104902,173,8.1,69.9,36.4,5.2,55.5,1997
'104903,200,1.5,52.0,23.5,1.5,75.0,1997
'104907,125,0.0,50.4,12.0,0.0,88.0,1997
'105902,6863,4.9,50.5,61.0,9.8,33.3,1997
'105904,2665,0.9,12.8,9.0,1.2,89.0,1997
'105905,1498,1.2,14.0,5.7,1.1,91.8,1997
'105906,5748,2.6,34.4,40.3,4.5,56.6,1997
'106901,877,2.6,34.9,27.0,8.0,70.0,1997
'107901,3485,17.5,36.0,16.8,8.9,65.3,1997
'107902,2362,9.5,35.1,5.0,2.3,85.1,1997
'107904,575,0.7,33.4,1.7,0.0,97.2,1997
'107905,1371,1.2,53.0,2.7,0.4,95.6,1997
'107906,1138,15.6,53.3,4.0,1.7,79.3,1997
'107907,323,19.8,52.3,5.9,0.0,74.3,1997
