DISTRICT,YEAR,DA0GM*N,DA0GM*R
'137902,1997,,
'137903,1997,,
'137904,1997,,
'138901,1997,,
'138902,1997,,
'138903,1997,,
'138904,1997,,
'139905,1997,,
'139908,1997,,
'139909,1997,,
'139911,1997,,
'139912,1997,,
'140901,1997,,
'140904,1997,,
'140905,1997,,
'140906,1997,,
'140907,1997,,
'140908,1997,,
'141901,1997,,
'141902,1997,,
'142901,1997,,
'143901,1997,,
'143902,1997,,
'143903,1997,,
'143904,1997,,
'143905,1997,,
'143906,1997,,
'144901,1997,,
'144902,1997,,
'144903,1997,,
'145901,1997,,
'145902,1997,,
'145906,1997,,
'145907,1997,,
'145911,1997,,
'146901,1997,,
'146902,1997,,
'146903,1997,,
'146904,1997,,
'146905,1997,,
'146906,1997,,
'146907,1997,,
'147901,1997,,
'147902,1997,,
'147903,1997,,
'148901,1997,,
'148902,1997,,
'148903,1997,,
'148905,1997,,
'149901,1997,,
'149902,1997,,
'150901,1997,,
'152901,1997,,
'152902,1997,,
'152903,1997,,
'152906,1997,,
'152907,1997,,
'152908,1997,,
'152909,1997,,
'152910,1997,,
'153903,1997,,
'153904,1997,,
'153905,1997,,
'153907,1997,,
'154901,1997,,
'154903,1997,,
'155901,1997,,
'156902,1997,,
'156905,1997,,
'157901,1997,,
'158901,1997,,
'158902,1997,,
'158904,1997,,
'158905,1997,,
'158906,1997,,
'159901,1997,,
'160901,1997,,
'160904,1997,,
'160905,1997,,
'161801,1997,,
'161901,1997,,
'161903,1997,,
'161906,1997,,
'161907,1997,,
'161908,1997,,
'161909,1997,,
'161910,1997,,
'161912,1997,,
'161914,1997,,
'161916,1997,,
'161918,1997,,
'161919,1997,,
'161920,1997,,
'161921,1997,,
'161922,1997,,
'161923,1997,,
'161924,1997,,
'161925,1997,,
'162904,1997,,
'163901,1997,,
'163902,1997,,
'163903,1997,,
'163904,1997,,
'163908,1997,,
'164901,1997,,
'165901,1997,,
'165902,1997,,
'166901,1997,,
'166902,1997,,
