DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'112906,10.9,11.4,6.4,29669,1997
'112907,12.3,10.3,6.9,30137,1997
'112908,9.2,14.6,5.7,28192,1997
'112909,11.5,10.8,7.9,29836,1997
'112910,13.1,12.6,9.4,30234,1997
'113901,12.8,14.6,7.7,29265,1997
'113902,14.8,11.7,7.8,32524,1997
'113903,13.9,11.1,6.6,32552,1997
'113905,9.9,12.4,3.8,28465,1997
'113906,11.7,10.0,9.1,29096,1997
'114901,12.8,14.4,9.2,32253,1997
'114902,15.7,13.6,8.5,31296,1997
'114904,13.6,15.4,9.0,34118,1997
'115901,7.2,14.4,2.9,28784,1997
'115902,8.4,9.1,3.8,27643,1997
'115903,6.3,10.6,3.6,29051,1997
'116901,12.0,13.7,5.4,30287,1997
'116902,10.4,12.3,6.0,30706,1997
'116903,10.6,14.6,7.1,29579,1997
'116905,11.5,14.2,8.3,30351,1997
'116906,10.6,13.6,5.1,28211,1997
'116908,8.8,15.4,4.4,28335,1997
'116909,13.2,13.6,7.0,30351,1997
'116910,8.4,10.6,4.8,27605,1997
'116915,11.2,13.5,6.4,31296,1997
'116916,7.2,11.4,2.9,25135,1997
'117901,11.6,15.0,8.2,31053,1997
'117903,11.9,13.0,6.9,30374,1997
'117904,14.4,11.4,9.8,33073,1997
'117907,5.5,8.4,3.1,26302,1997
'118902,11.5,11.2,5.6,33760,1997
'119901,7.9,10.5,3.1,26982,1997
'119902,11.7,12.3,6.4,31275,1997
'119903,7.6,11.3,4.4,27860,1997
'120901,13.3,14.0,9.0,31235,1997
'120902,14.0,13.9,9.1,31594,1997
'120905,11.9,12.1,8.6,32118,1997
'121902,11.4,12.2,6.3,29485,1997
'121903,12.6,15.6,8.8,31810,1997
'121904,13.4,14.8,9.0,32324,1997
'121905,11.6,15.4,7.9,31386,1997
'121906,13.1,11.8,7.9,32898,1997
'122901,10.1,9.6,5.7,28942,1997
'122902,11.3,3.7,8.5,28208,1997
'123905,14.3,16.6,10.7,31913,1997
'123907,13.2,16.6,10.3,32226,1997
'123908,13.9,15.2,9.9,32642,1997
'123910,13.6,14.8,10.5,32954,1997
'123913,13.9,7.9,10.4,33733,1997
'123914,12.1,14.9,8.0,30314,1997
'124901,12.9,13.2,9.7,32311,1997
'125901,11.7,15.2,11.6,30781,1997
'125902,11.6,13.9,7.5,33488,1997
'125903,13.2,14.9,7.5,33188,1997
'125905,13.0,14.9,8.1,29899,1997
'125906,10.4,16.4,8.7,29605,1997
'126901,10.1,16.0,6.1,30400,1997
'126902,12.0,16.7,7.8,32234,1997
'126903,12.5,16.6,8.7,32722,1997
'126904,12.2,13.7,7.3,32332,1997
'126905,9.8,16.2,5.6,30538,1997
'126906,10.2,11.0,4.8,28360,1997
'126907,8.3,12.2,4.0,29313,1997
'126908,7.8,13.1,4.3,27917,1997
