CAMPUS,YEAR,CA0GM*R,CA0GM*N
'046901041,1997,,
'046901042,1997,,
'046901102,1997,,
'046901103,1997,,
'046901104,1997,,
'046901105,1997,,
'046901106,1997,,
'046901107,1997,,
'046902001,1997,,
'046902002,1997,,
'046902041,1997,,
'046902042,1997,,
'046902043,1997,,
'046902101,1997,,
'046902102,1997,,
'046902103,1997,,
'046902104,1997,,
'046902105,1997,,
'046902106,1997,,
'046902107,1997,,
'046902108,1997,,
'046902109,1997,,
'046902110,1997,,
'046902201,1997,,
'047901001,1997,,
'047901041,1997,,
'047901101,1997,,
'047901102,1997,,
'047902001,1997,,
'047902041,1997,,
'047902101,1997,,
'047903001,1997,,
'047905001,1997,,
'048901001,1997,,
'048901003,1997,,
'048901101,1997,,
'048901150,1997,,
'048901181,1997,,
'048901190,1997,,
'048901195,1997,,
'048901199,1997,,
'048901200,1997,,
'048903001,1997,,
'048903195,1997,,
'049901001,1997,,
'049901002,1997,,
'049901041,1997,,
'049901101,1997,,
'049901102,1997,,
'049901103,1997,,
'049901104,1997,,
'049901105,1997,,
'049901106,1997,,
'049902001,1997,,
'049902101,1997,,
'049903001,1997,,
'049903101,1997,,
'049905001,1997,,
'049905101,1997,,
'049905102,1997,,
'049906001,1997,,
'049907001,1997,,
'049907101,1997,,
'049908101,1997,,
'049909101,1997,,
'050901001,1997,,
'050901101,1997,,
'050902001,1997,,
'050902041,1997,,
'050902101,1997,,
'050902102,1997,,
'050902103,1997,,
'050904001,1997,,
'050909001,1997,,
'050910001,1997,,
'050910005,1997,,
'050910041,1997,,
'050910042,1997,,
'050910101,1997,,
'050910102,1997,,
'050910103,1997,,
'050910104,1997,,
'050910105,1997,,
'050910106,1997,,
'050910107,1997,,
'050910108,1997,,
'050910109,1997,,
'051901001,1997,,
'051901102,1997,,
'052901001,1997,,
'052901041,1997,,
'052901101,1997,,
'053001001,1997,,
'053001041,1997,,
'053001101,1997,,
'053001102,1997,,
'054901001,1997,,
'054901041,1997,,
'054901101,1997,,
'054901200,1997,,
'054901300,1997,,
'054902001,1997,,
'054902102,1997,,
'054903001,1997,,
'054903002,1997,,
'054903003,1997,,
'054903041,1997,,
'054903102,1997,,
'055901001,1997,,
'055901002,1997,,
'055901041,1997,,
'055901102,1997,,
'056901001,1997,,
'056901002,1997,,
'056901042,1997,,
'056901104,1997,,
'056901105,1997,,
'056902001,1997,,
'057801001,1997,,
'057804001,1997,,
'057903001,1997,,
'057903002,1997,,
'057903003,1997,,
'057903004,1997,,
'057903005,1997,,
'057903041,1997,,
'057903042,1997,,
'057903044,1997,,
'057903045,1997,,
'057903047,1997,,
'057903101,1997,,
'057903102,1997,,
'057903103,1997,,
'057903105,1997,,
'057903106,1997,,
'057903107,1997,,
'057903108,1997,,
'057903109,1997,,
'057903110,1997,,
