CAMPUS,YEAR,CAHEE*R,CAHEC#R,CAHEC*R,CAHEE#R
'025909102,1998,,,,
'025909170,1998,,,,
'026901001,1998,,,,
'026901003,1998,,,,
'026901041,1998,,,,
'026901042,1998,,,,
'026901101,1998,,,,
'026902001,1998,,,,
'026902005,1998,,,,
'026902041,1998,,,,
'026902101,1998,,,,
'026903002,1998,,,,
'026903003,1998,,,,
'027903001,1998,,,,
'027903002,1998,,,,
'027903003,1998,,,,
'027903041,1998,,,,
'027903101,1998,,,,
'027903102,1998,,,,
'027903104,1998,,,,
'027904001,1998,,,,
'027904041,1998,,,,
'027904101,1998,,,,
'027904102,1998,,,,
'028902001,1998,,,,
'028902003,1998,,,,
'028902038,1998,,,,
'028902040,1998,,,,
'028902041,1998,,,,
'028902043,1998,,,,
'028902101,1998,,,,
'028902102,1998,,,,
'028902103,1998,,,,
'028902104,1998,,,,
'028903001,1998,,,,
'028903041,1998,,,,
'028903101,1998,,,,
'028903102,1998,,,,
'028903103,1998,,,,
'028906001,1998,,,,
'029901001,1998,,,,
'029901003,1998,,,,
'029901043,1998,,,,
'029901101,1998,,,,
'029901102,1998,,,,
'029901104,1998,,,,
'029901105,1998,,,,
'029901107,1998,,,,
'030901001,1998,,,,
'030901101,1998,,,,
'030902001,1998,,,,
'030902041,1998,,,,
'030902101,1998,,,,
'030902102,1998,,,,
'030902103,1998,,,,
'030903001,1998,,,,
'030903101,1998,,,,
'030906001,1998,,,,
'030906041,1998,,,,
'030906101,1998,,,,
'031901001,1998,,,,
'031901002,1998,,,,
'031901003,1998,,,,
'031901004,1998,,,,
'031901007,1998,,,,
'031901034,1998,,,,
'031901041,1998,,,,
'031901042,1998,,,,
'031901043,1998,,,,
'031901044,1998,,,,
'031901045,1998,,,,
'031901046,1998,,,,
'031901047,1998,,,,
'031901048,1998,,,,
'031901051,1998,,,,
'031901101,1998,,,,
'031901102,1998,,,,
'031901103,1998,,,,
'031901104,1998,,,,
'031901105,1998,,,,
'031901106,1998,,,,
'031901108,1998,,,,
'031901109,1998,,,,
'031901110,1998,,,,
'031901111,1998,,,,
'031901112,1998,,,,
'031901113,1998,,,,
'031901115,1998,,,,
'031901116,1998,,,,
'031901117,1998,,,,
