DISTRICT,CNTYNAME,COUNTY,DACKDTL,DISTNAME,D_RATING,REGION
'091913,GRAYSON,'091,R,POTTSBORO ISD,A,'10
'091914,GRAYSON,'091,R,S AND S CONS ISD,R,'10
'091917,GRAYSON,'091,A,GUNTER ISD,E,'10
'091918,GRAYSON,'091,,TOM BEAN ISD,E,'10
'092801,GREGG,'092,,EAST TEXAS CHARTER H S,C,'07
'092901,GREGG,'092,,GLADEWATER ISD,A,'07
'092902,GREGG,'092,,KILGORE ISD,A,'07
'092903,GREGG,'092,R,LONGVIEW ISD,A,'07
'092904,GREGG,'092,R,PINE TREE ISD,R,'07
'092906,GREGG,'092,RA,SABINE ISD,A,'07
'092907,GREGG,'092,RA,SPRING HILL ISD,E,'07
'092908,GREGG,'092,,WHITE OAK ISD,E,'07
'093901,GRIMES,'093,R,ANDERSON-SHIRO CONS ISD,A,'06
'093903,GRIMES,'093,R,IOLA ISD,R,'06
'093904,GRIMES,'093,,NAVASOTA ISD,A,'06
'093905,GRIMES,'093,A,RICHARDS ISD,A,'06
'094901,GUADALUPE,'094,,SEGUIN ISD,A,'13
'094902,GUADALUPE,'094,,SCHERTZ-CIBOLO-U CITY ISD,R,'13
'094903,GUADALUPE,'094,A,NAVARRO ISD,R,'13
'094904,GUADALUPE,'094,R,MARION ISD,E,'13
'095901,HALE,'095,,ABERNATHY ISD,R,'17
'095902,HALE,'095,A,COTTON CENTER ISD,R,'17
'095903,HALE,'095,A,HALE CENTER ISD,E,'17
'095904,HALE,'095,RA,PETERSBURG ISD,E,'17
'095905,HALE,'095,,PLAINVIEW ISD,A,'17
'096904,HALL,'096,,MEMPHIS ISD,A,'16
'096905,HALL,'096,T,TURKEY-QUITAQUE ISD,E,'16
'097902,HAMILTON,'097,TR,HAMILTON ISD,R,'12
'097903,HAMILTON,'097,RA,HICO ISD,E,'12
'098901,HANSFORD,'098,RA,GRUVER ISD,E,'16
'098903,HANSFORD,'098,A,PRINGLE-MORSE CONS ISD,E,'16
'098904,HANSFORD,'098,R,SPEARMAN ISD,R,'16
'099902,HARDEMAN,'099,R,CHILLICOTHE ISD,A,'09
'099903,HARDEMAN,'099,R,QUANAH ISD,E,'09
'100903,HARDIN,'100,,KOUNTZE ISD,R,'05
'100904,HARDIN,'100,,SILSBEE ISD,A,'05
'100905,HARDIN,'100,R,HARDIN-JEFFERSON ISD,R,'05
'100907,HARDIN,'100,R,LUMBERTON ISD,R,'05
'100908,HARDIN,'100,R,WEST HARDIN COUNTY CONS ISD,R,'05
'101801,HARRIS,'101,,MEDICAL CENTER CHARTER SCHOOL,C,'04
'101802,HARRIS,'101,,SER-NINOS CHARTER SCHOOL,C,'04
'101803,HARRIS,'101,,WEST HOUSTON CHARTER SCHOOL,C,'04
'101804,HARRIS,'101,,GEORGE I SANCHEZ CHARTER,C,'04
'101805,HARRIS,'101,,GIRLS & BOYS PREP ACADEMY,C,'04
'101806,HARRIS,'101,,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,C,'04
'101807,HARRIS,'101,,UNIV OF HOUSTON CHARTER SCH-TECH,C,'04
'101808,HARRIS,'101,,ACADEMY OF HOUSTON,C,'04
'101809,HARRIS,'101,,ED WHITE SCHOOL OF EDUCATION ENHAN,C,'04
'101810,HARRIS,'101,,"ACADEMY OF ACCELERATED LEARNING, I",C,'04
'101811,HARRIS,'101,,HARRIS COUNTY JUVENILE JUSTICE CHA,C,'04
'101812,HARRIS,'101,,HOUSTON CAN ACADEMY CHARTER SCHOOL,C,'04
'101813,HARRIS,'101,,"KIPP, INC CHARTER",C,'04
'101814,HARRIS,'101,,VARNETT CHARTER SCHOOL,C,'04
'101815,HARRIS,'101,,ALIEF MONTESSORI COMMUNITY SCHOOL,C,'04
'101817,HARRIS,'101,,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,C,'04
'101818,HARRIS,'101,,AMERICAN ACADEMY OF EXCELLENCE CHA,C,'04
'101819,HARRIS,'101,,AMIGOS POR VIDA-FRIENDS FOR LIFE C,C,'04
'101820,HARRIS,'101,,BENJI'S SPECIAL EDUCATION ACADEMY,C,'04
'101821,HARRIS,'101,,HEIGHTS CHARTER SCHOOL,C,'04
'101822,HARRIS,'101,,JAMIE'S HOUSE CHARTER SCHOOL,C,'04
'101823,HARRIS,'101,,CHILDREN FIRST ACADEMY OF HOUSTON,C,'04
'101827,HARRIS,'101,,CROSSROADS COMMUNITY ED CTR CHARTE,C,'04
'101828,HARRIS,'101,,HOUSTON ADVANTAGE CHARTER SCHOOL,C,'04
'101829,HARRIS,'101,,HOUSTON HEIGHTS LEARNING ACADEMY I,C,'04
'101830,HARRIS,'101,,IMPACT CHARTER,C,'04
'101831,HARRIS,'101,,JESSE JACKSON ACADEMY,C,'04
'101833,HARRIS,'101,,LA AMISTAD LOVE & LEARNING ACADEMY,C,'04
'101834,HARRIS,'101,,NORTH HOUSTON H S FOR BUSINESS,C,'04
'101835,HARRIS,'101,,NORTHWEST MATHEMATICS SCIENCE & LA,C,'04
'101837,HARRIS,'101,,CALVIN NELMS CHARTER HIGH SCHOOL,C,'04
'101838,HARRIS,'101,,SOUTHWEST HIGH SCHOOL,C,'04
'101840,HARRIS,'101,,TWO DIMENSIONS PREPARATORY ACADEMY,C,'04
'101841,HARRIS,'101,,WA-SET PREPARATOY ACADEMY,C,'04
'101842,HARRIS,'101,,COMQUEST ACADEMY,C,'04
'101843,HARRIS,'101,,GULF SHORES ACADEMY,C,'04
'101844,HARRIS,'101,,PREPARED TABLE,C,'04
'101845,HARRIS,'101,,YES COLLEGE PREPARATORY SCHOOL,C,'04
'101846,HARRIS,'101,,HARMONY SCIENCE ACADEMY,C,'04
'101902,HARRIS,'101,R,ALDINE ISD,R,'04
'101903,HARRIS,'101,R,ALIEF ISD,A,'04
'101905,HARRIS,'101,,CHANNELVIEW ISD,A,'04
'101906,HARRIS,'101,,CROSBY ISD,R,'04
'101907,HARRIS,'101,,CYPRESS-FAIRBANKS ISD,R,'04
'101908,HARRIS,'101,,DEER PARK ISD,R,'04
'101909,HARRIS,'101,,NORTH FOREST ISD,A,'04
'101910,HARRIS,'101,,GALENA PARK ISD,R,'04
'101911,HARRIS,'101,,GOOSE CREEK CISD,R,'04
'101912,HARRIS,'101,,HOUSTON ISD,A,'04
'101913,HARRIS,'101,,HUMBLE ISD,A,'04
'101914,HARRIS,'101,,KATY ISD,R,'04
'101915,HARRIS,'101,,KLEIN ISD,A,'04
'101916,HARRIS,'101,,LA PORTE ISD,A,'04
'101917,HARRIS,'101,A,PASADENA ISD,R,'04
'101919,HARRIS,'101,,SPRING ISD,R,'04
'101920,HARRIS,'101,,SPRING BRANCH ISD,R,'04
'101921,HARRIS,'101,R,TOMBALL ISD,A,'04
'101924,HARRIS,'101,,SHELDON ISD,R,'04
'101925,HARRIS,'101,,HUFFMAN ISD,A,'04
'102901,HARRISON,'102,,KARNACK ISD,A,'07
'102902,HARRISON,'102,,MARSHALL ISD,A,'07
'102903,HARRISON,'102,,WASKOM ISD,A,'07
'102904,HARRISON,'102,R,HALLSVILLE ISD,R,'07
'102905,HARRISON,'102,RA,HARLETON ISD,E,'07
'102906,HARRISON,'102,A,ELYSIAN FIELDS ISD,R,'07
'103901,HARTLEY,'103,A,CHANNING ISD,R,'16
'103902,HARTLEY,'103,R,HARTLEY ISD,R,'16
'104901,HASKELL,'104,RA,HASKELL CISD,E,'14
'104902,HASKELL,'104,RA,ROCHESTER ISD,E,'14
'104903,HASKELL,'104,RA,RULE ISD,R,'14
'104907,HASKELL,'104,RA,PAINT CREEK ISD,R,'14
'105801,HAYS,'105,,KATHERINE ANNE PORTER SCHOOL,C,'13
'105902,HAYS,'105,,SAN MARCOS CONS ISD,R,'13
'105904,HAYS,'105,R,DRIPPING SPRINGS ISD,R,'13
'105905,HAYS,'105,R,WIMBERLEY ISD,R,'13
'105906,HAYS,'105,,HAYS CONS ISD,A,'13
'106901,HEMPHILL,'106,RA,CANADIAN ISD,R,'16
'107901,HENDERSON,'107,,ATHENS ISD,A,'07
'107902,HENDERSON,'107,,BROWNSBORO ISD,A,'07
'107904,HENDERSON,'107,R,CROSS ROADS ISD,R,'07
'107905,HENDERSON,'107,A,EUSTACE ISD,R,'07
'107906,HENDERSON,'107,R,MALAKOFF ISD,A,'07
'107907,HENDERSON,'107,R,TRINIDAD ISD,R,'07
'107908,HENDERSON,'107,,MURCHISON ISD,R,'07
'107910,HENDERSON,'107,,LAPOYNOR ISD,R,'07
'108801,HIDALGO,'108,,ONE STOP MULTISERVICE CHARTER SCHO,C,'01
'108802,HIDALGO,'108,,TECHNOLOGY EDUCATION CHARTER HIGH,C,'01
'108804,HIDALGO,'108,,MID-VALLEY ACADEMY,C,'01
'108805,HIDALGO,'108,,SENTRY TECHNOLOGY PREP SCHOOL,C,'01
'108806,HIDALGO,'108,,EAGLE PROJECT (PHARR-MCALLEN),C,'01
'108807,HIDALGO,'108,,THE IDEA ACADEMY,C,'01
'108902,HIDALGO,'108,R,DONNA ISD,A,'01
'108903,HIDALGO,'108,RA,EDCOUCH-ELSA ISD,R,'01
'108904,HIDALGO,'108,R,EDINBURG CISD,R,'01
'108905,HIDALGO,'108,RA,HIDALGO ISD,E,'01
'108906,HIDALGO,'108,R,MCALLEN ISD,R,'01
'108907,HIDALGO,'108,R,MERCEDES ISD,A,'01
'108908,HIDALGO,'108,RA,MISSION CONS ISD,R,'01
'108909,HIDALGO,'108,RA,PHARR-SAN JUAN-ALAMO ISD,R,'01
'108910,HIDALGO,'108,RA,PROGRESO ISD,A,'01
'108911,HIDALGO,'108,R,SHARYLAND ISD,R,'01
'108912,HIDALGO,'108,R,LA JOYA ISD,R,'01
'108913,HIDALGO,'108,RA,WESLACO ISD,R,'01
'108914,HIDALGO,'108,R,LA VILLA ISD,A,'01
'108915,HIDALGO,'108,A,MONTE ALTO ISD,R,'01
'108916,HIDALGO,'108,RA,VALLEY VIEW ISD,E,'01
'109901,HILL,'109,A,ABBOTT ISD,R,'12
'109902,HILL,'109,RA,BYNUM ISD,E,'12
'109903,HILL,'109,,COVINGTON ISD,A,'12
'109904,HILL,'109,,HILLSBORO ISD,A,'12
'109905,HILL,'109,,HUBBARD ISD,R,'12
'109907,HILL,'109,A,ITASCA ISD,E,'12
'109908,HILL,'109,A,MALONE ISD,A,'12
'109910,HILL,'109,A,MOUNT CALM ISD,A,'12
'109911,HILL,'109,,WHITNEY ISD,R,'12
'109912,HILL,'109,RA,AQUILLA ISD,E,'12
'109913,HILL,'109,,BLUM ISD,A,'12
'109914,HILL,'109,RA,PENELOPE ISD,A,'12
'110901,HOCKLEY,'110,R,ANTON ISD,A,'17
'110902,HOCKLEY,'110,,LEVELLAND ISD,R,'17
'110905,HOCKLEY,'110,,ROPES ISD,R,'17
'110906,HOCKLEY,'110,,SMYER ISD,R,'17
'110907,HOCKLEY,'110,A,SUNDOWN ISD,E,'17
'110908,HOCKLEY,'110,,WHITHARRAL ISD,R,'17
'111901,HOOD,'111,R,GRANBURY ISD,R,'11
'111902,HOOD,'111,A,LIPAN ISD,A,'11
'111903,HOOD,'111,A,TOLAR ISD,R,'11
'112901,HOPKINS,'112,A,SULPHUR SPRINGS ISD,R,'08
'112905,HOPKINS,'112,,CUMBY ISD,A,'08
'112906,HOPKINS,'112,,NORTH HOPKINS ISD,R,'08
'112907,HOPKINS,'112,,MILLER GROVE ISD,R,'08
'112908,HOPKINS,'112,,COMO-PICKTON CISD,A,'08
'112909,HOPKINS,'112,,SALTILLO ISD,A,'08
'112910,HOPKINS,'112,RA,SULPHUR BLUFF ISD,E,'08
'113901,HOUSTON,'113,,CROCKETT ISD,A,'06
'113902,HOUSTON,'113,A,GRAPELAND ISD,R,'06
'113903,HOUSTON,'113,RA,LOVELADY ISD,A,'06
'113905,HOUSTON,'113,,LATEXO ISD,R,'06
'113906,HOUSTON,'113,R,KENNARD ISD,A,'06
'114901,HOWARD,'114,,BIG SPRING ISD,A,'18
'114902,HOWARD,'114,R,COAHOMA ISD,A,'18
'114904,HOWARD,'114,T,FORSAN ISD,R,'18
'115901,HUDSPETH,'115,,FT HANCOCK ISD,A,'19
'115902,HUDSPETH,'115,,SIERRA BLANCA ISD,A,'19
'115903,HUDSPETH,'115,,DELL CITY ISD,A,'19
'116901,HUNT,'116,R,CADDO MILLS ISD,R,'10
'116902,HUNT,'116,RA,CELESTE ISD,E,'10
'116903,HUNT,'116,,COMMERCE ISD,A,'10
'116905,HUNT,'116,,GREENVILLE ISD,A,'10
'116906,HUNT,'116,R,LONE OAK ISD,E,'10
'116908,HUNT,'116,,QUINLAN ISD,A,'10
'116909,HUNT,'116,RA,WOLFE CITY ISD,E,'10
'116910,HUNT,'116,R,CAMPBELL ISD,R,'10
'116915,HUNT,'116,,BLAND ISD,R,'10
'116916,HUNT,'116,,BOLES ISD,A,'10
'117901,HUTCHINSON,'117,,BORGER ISD,R,'16
'117903,HUTCHINSON,'117,R,SANFORD ISD,R,'16
'117904,HUTCHINSON,'117,R,PLEMONS-STINNETT-PHILLIPS CONS ISD,E,'16
'117907,HUTCHINSON,'117,A,SPRING CREEK ISD,R,'16
'118902,IRION,'118,RA,IRION CO ISD,E,'15
'119901,JACK,'119,RA,BRYSON ISD,R,'09
'119902,JACK,'119,R,JACKSBORO ISD,R,'09
'119903,JACK,'119,T,PERRIN-WHITT CONS ISD,R,'09
'120901,JACKSON,'120,R,EDNA ISD,A,'03
'120902,JACKSON,'120,A,GANADO ISD,R,'03
'120905,JACKSON,'120,RA,INDUSTRIAL ISD,E,'03
'121902,JASPER,'121,,BROOKELAND ISD,A,'05
'121903,JASPER,'121,,BUNA ISD,E,'05
'121904,JASPER,'121,,JASPER ISD,A,'05
'121905,JASPER,'121,,KIRBYVILLE CISD,R,'05
'121906,JASPER,'121,,EVADALE ISD,E,'05
'122901,JEFF DAVIS,'122,A,FT DAVIS ISD,R,'18
'122902,JEFF DAVIS,'122,A,VALENTINE ISD,A,'18
'123801,JEFFERSON,'123,,ACADEMY OF BEAUMONT,C,'05
'123802,JEFFERSON,'123,,EAGLE PROJECT (BEAUMONT),C,'05
'123803,JEFFERSON,'123,,TEKOA ACADEMY,C,'05
'123905,JEFFERSON,'123,R,NEDERLAND ISD,R,'05
'123907,JEFFERSON,'123,,PORT ARTHUR ISD,A,'05
'123908,JEFFERSON,'123,R,PORT NECHES-GROVES ISD,R,'05
'123910,JEFFERSON,'123,,BEAUMONT ISD,R,'05
'123913,JEFFERSON,'123,,SABINE PASS ISD,E,'05
'123914,JEFFERSON,'123,R,HAMSHIRE-FANNETT ISD,R,'05
'124901,JIM HOGG,'124,R,JIM HOGG COUNTY ISD,R,'01
'125901,JIM WELLS,'125,R,ALICE ISD,R,'02
'125902,JIM WELLS,'125,,BEN BOLT-PALITO BLANCO CISD,R,'02
'125903,JIM WELLS,'125,R,ORANGE GROVE ISD,E,'02
'125905,JIM WELLS,'125,R,PREMONT ISD,A,'02
'125906,JIM WELLS,'125,A,LA GLORIA ISD,E,'02
'126901,JOHNSON,'126,,ALVARADO ISD,A,'11
'126902,JOHNSON,'126,R,BURLESON ISD,R,'11
'126903,JOHNSON,'126,,CLEBURNE ISD,A,'11
'126904,JOHNSON,'126,,GRANDVIEW ISD,R,'11
'126905,JOHNSON,'126,,JOSHUA ISD,R,'11
'126906,JOHNSON,'126,T,KEENE ISD,A,'11
'126907,JOHNSON,'126,R,RIO VISTA ISD,A,'11
'126908,JOHNSON,'126,,VENUS ISD,A,'11
'126911,JOHNSON,'126,R,GODLEY ISD,R,'11
'127901,JONES,'127,R,ANSON ISD,E,'14
'127903,JONES,'127,RA,HAMLIN ISD,R,'14
'127904,JONES,'127,R,HAWLEY ISD,R,'14
'127905,JONES,'127,R,LUEDERS-AVOCA ISD,E,'14
'127906,JONES,'127,R,STAMFORD ISD,A,'14
'128901,KARNES,'128,,KARNES CITY ISD,R,'03
'128902,KARNES,'128,R,KENEDY ISD,A,'03
'128903,KARNES,'128,R,RUNGE ISD,A,'03
'128904,KARNES,'128,R,FALLS CITY ISD,E,'03
'129901,KAUFMAN,'129,R,CRANDALL ISD,R,'10
'129902,KAUFMAN,'129,RA,FORNEY ISD,R,'10
'129903,KAUFMAN,'129,R,KAUFMAN ISD,R,'10
'129904,KAUFMAN,'129,,KEMP ISD,R,'10
'129905,KAUFMAN,'129,,MABANK ISD,R,'10
'129906,KAUFMAN,'129,R,TERRELL ISD,A,'10
'129910,KAUFMAN,'129,R,SCURRY-ROSSER ISD,R,'10
'130901,KENDALL,'130,R,BOERNE ISD,R,'20
'130902,KENDALL,'130,R,COMFORT ISD,R,'13
'131001,KENEDY,'131,,KENEDY COUNTY WIDE CSD,R,'02
'132902,KENT,'132,,JAYTON-GIRARD ISD,E,'17
'133901,KERR,'133,,CENTER POINT ISD,A,'20
'133902,KERR,'133,A,HUNT ISD,R,'20
'133903,KERR,'133,,KERRVILLE ISD,R,'20
'133904,KERR,'133,R,INGRAM ISD,A,'20
'133905,KERR,'133,A,DIVIDE ISD,E,'20
'134901,KIMBLE,'134,,JUNCTION ISD,R,'15
'135001,KING,'135,TA,GUTHRIE CSD,E,'17
'136901,KINNEY,'136,R,BRACKETT ISD,R,'20
'137901,KLEBERG,'137,,KINGSVILLE ISD,R,'02
'137902,KLEBERG,'137,A,RICARDO ISD,E,'02
'137903,KLEBERG,'137,R,RIVIERA ISD,A,'02
'137904,KLEBERG,'137,A,SANTA GERTRUDIS ISD,R,'02
'138901,KNOX,'138,RA,GOREE ISD,A,'09
'138902,KNOX,'138,A,KNOX CITY-O'BRIEN ISD,A,'09
'138903,KNOX,'138,A,MUNDAY ISD,A,'09
'138904,KNOX,'138,RA,BENJAMIN ISD,R,'09
'139905,LAMAR,'139,A,CHISUM ISD,R,'08
'139908,LAMAR,'139,,ROXTON ISD,A,'08
'139909,LAMAR,'139,,PARIS ISD,R,'08
'139911,LAMAR,'139,A,NORTH LAMAR ISD,A,'08
'139912,LAMAR,'139,A,PRAIRILAND ISD,R,'08
'140901,LAMB,'140,A,AMHERST ISD,R,'17
'140904,LAMB,'140,R,LITTLEFIELD ISD,R,'17
'140905,LAMB,'140,A,OLTON ISD,R,'17
'140906,LAMB,'140,,SPADE ISD,A,'17
'140907,LAMB,'140,A,SPRINGLAKE-EARTH ISD,E,'17
'140908,LAMB,'140,RA,SUDAN ISD,E,'17
'141801,LAMPASAS,'141,,CEDAR RIDGE CHARTER SCHOOL,C,'12
'141901,LAMPASAS,'141,,LAMPASAS ISD,R,'12
'141902,LAMPASAS,'141,,LOMETA ISD,A,'12
'142901,LA SALLE,'142,,COTULLA ISD,A,'20
'143901,LAVACA,'143,A,HALLETTSVILLE ISD,R,'03
'143902,LAVACA,'143,TA,MOULTON ISD,E,'03
'143903,LAVACA,'143,A,SHINER ISD,R,'03
'143904,LAVACA,'143,A,VYSEHRAD ISD,E,'03
'143905,LAVACA,'143,A,SWEET HOME ISD,E,'03
'143906,LAVACA,'143,A,EZZELL ISD,E,'03
'144901,LEE,'144,A,GIDDINGS ISD,A,'13
'144902,LEE,'144,R,LEXINGTON ISD,A,'13
'144903,LEE,'144,,DIME BOX ISD,A,'13
'145901,LEON,'145,R,BUFFALO ISD,A,'06
'145902,LEON,'145,RA,CENTERVILLE ISD,R,'06
'145906,LEON,'145,R,NORMANGEE ISD,A,'06
'145907,LEON,'145,R,OAKWOOD ISD,A,'06
'145911,LEON,'145,,LEON ISD,R,'06
'146901,LIBERTY,'146,,CLEVELAND ISD,A,'04
'146902,LIBERTY,'146,,DAYTON ISD,A,'04
'146903,LIBERTY,'146,,DEVERS ISD,E,'04
'146904,LIBERTY,'146,,HARDIN ISD,R,'04
'146905,LIBERTY,'146,,HULL-DAISETTA ISD,R,'04
'146906,LIBERTY,'146,R,LIBERTY ISD,A,'04
'146907,LIBERTY,'146,,TARKINGTON ISD,R,'04
'147901,LIMESTONE,'147,,COOLIDGE ISD,R,'12
'147902,LIMESTONE,'147,R,GROESBECK ISD,R,'12
'147903,LIMESTONE,'147,RA,MEXIA ISD,R,'12
'148901,LIPSCOMB,'148,RA,BOOKER ISD,E,'16
'148902,LIPSCOMB,'148,RA,FOLLETT ISD,A,'16
'148903,LIPSCOMB,'148,A,HIGGINS ISD,A,'16
'148905,LIPSCOMB,'148,A,DARROUZETT ISD,R,'16
'149901,LIVE OAK,'149,,GEORGE WEST ISD,R,'02
'149902,LIVE OAK,'149,R,THREE RIVERS ISD,R,'02
'150901,LLANO,'150,R,LLANO ISD,R,'13
'152801,LUBBOCK,'152,,LUBBOCK-RICHARD MILBURN ALTER HIGH,C,'17
'152802,LUBBOCK,'152,,RISE ACADEMY,C,'17
'152803,LUBBOCK,'152,,SOUTH PLAINS,C,'17
'152804,LUBBOCK,'152,,EAGLE PROJECT (LUBBOCK),C,'17
'152901,LUBBOCK,'152,,LUBBOCK ISD,R,'17
'152902,LUBBOCK,'152,,NEW DEAL ISD,R,'17
'152903,LUBBOCK,'152,,SLATON ISD,R,'17
'152906,LUBBOCK,'152,RA,LUBBOCK-COOPER ISD,E,'17
'152907,LUBBOCK,'152,,FRENSHIP ISD,R,'17
'152908,LUBBOCK,'152,RA,ROOSEVELT ISD,R,'17
'152909,LUBBOCK,'152,,SHALLOWATER ISD,R,'17
'152910,LUBBOCK,'152,A,IDALOU ISD,R,'17
'153903,LYNN,'153,A,O'DONNELL ISD,E,'17
'153904,LYNN,'153,RA,TAHOKA ISD,R,'17
'153905,LYNN,'153,R,NEW HOME ISD,E,'17
'153907,LYNN,'153,,WILSON ISD,R,'17
'154901,MADISON,'154,R,MADISONVILLE CONS ISD,A,'06
'154903,MADISON,'154,R,NORTH ZULCH ISD,R,'06
'155901,MARION,'155,,JEFFERSON ISD,A,'08
'156902,MARTIN,'156,A,STANTON ISD,R,'18
'156905,MARTIN,'156,R,GRADY ISD,E,'18
'157901,MASON,'157,RA,MASON ISD,R,'15
'158901,MATAGORDA,'158,R,BAY CITY ISD,R,'03
'158902,MATAGORDA,'158,,TIDEHAVEN ISD,A,'03
'158904,MATAGORDA,'158,A,MATAGORDA ISD,R,'03
'158905,MATAGORDA,'158,,PALACIOS ISD,R,'03
'158906,MATAGORDA,'158,,VAN VLECK ISD,R,'03
'159901,MAVERICK,'159,R,EAGLE PASS ISD,R,'20
'160901,MCCULLOCH,'160,R,BRADY ISD,R,'15
'160904,MCCULLOCH,'160,RA,ROCHELLE ISD,E,'15
'160905,MCCULLOCH,'160,RA,LOHN ISD,E,'15
'161801,MCLENNAN,'161,,WACO CHARTER SCHOOL,C,'12
'161802,MCLENNAN,'161,,RAPOPORT CHARTER SCHOOL,C,'12
'161804,MCLENNAN,'161,,EAGLE PROJECT (WACO),C,'12
'161901,MCLENNAN,'161,CRA,CRAWFORD ISD,E,'12
'161903,MCLENNAN,'161,,MIDWAY ISD,R,'12
'161906,MCLENNAN,'161,,LA VEGA ISD,A,'12
'161907,MCLENNAN,'161,R,LORENA ISD,R,'12
'161908,MCLENNAN,'161,A,MART ISD,R,'12
'161909,MCLENNAN,'161,RA,MCGREGOR ISD,R,'12
'161910,MCLENNAN,'161,,MOODY ISD,A,'12
'161912,MCLENNAN,'161,,RIESEL ISD,R,'12
'161914,MCLENNAN,'161,,WACO ISD,A,'12
'161916,MCLENNAN,'161,,WEST ISD,E,'12
'161918,MCLENNAN,'161,RA,AXTELL ISD,R,'12
'161919,MCLENNAN,'161,TR,BRUCEVILLE-EDDY ISD,R,'12
'161920,MCLENNAN,'161,R,CHINA SPRING ISD,R,'12
'161921,MCLENNAN,'161,R,CONNALLY ISD,R,'12
'161922,MCLENNAN,'161,A,ROBINSON ISD,E,'12
'161923,MCLENNAN,'161,TRA,BOSQUEVILLE ISD,E,'12
'161924,MCLENNAN,'161,A,HALLSBURG ISD,A,'12
'161925,MCLENNAN,'161,A,GHOLSON ISD,R,'12
'162904,MCMULLEN,'162,RA,MCMULLEN COUNTY ISD,R,'02
'163901,MEDINA,'163,,DEVINE ISD,A,'20
'163902,MEDINA,'163,,D'HANIS ISD,E,'20
'163903,MEDINA,'163,R,NATALIA ISD,A,'20
'163904,MEDINA,'163,,HONDO ISD,A,'20
'163908,MEDINA,'163,,MEDINA VALLEY ISD,A,'20
'164901,MENARD,'164,A,MENARD ISD,R,'15
'165801,MIDLAND,'165,,MIDLAND-RICHARD MILBURN ALTER HIGH,C,'18
'165802,MIDLAND,'165,,MIDLAND ACADEMY CHARTER SCHOOL,C,'18
'165803,MIDLAND,'165,,EAGLE PROJECT (MIDLAND),C,'18
'165901,MIDLAND,'165,,MIDLAND ISD,A,'18
'165902,MIDLAND,'165,,GREENWOOD ISD,R,'18
'166901,MILAM,'166,,CAMERON ISD,A,'06
'166902,MILAM,'166,A,GAUSE ISD,A,'06
'166903,MILAM,'166,,MILANO ISD,R,'06
'166904,MILAM,'166,A,ROCKDALE ISD,A,'06
'166905,MILAM,'166,A,THORNDALE ISD,E,'13
'166907,MILAM,'166,RA,BUCKHOLTS ISD,A,'06
'167901,MILLS,'167,R,GOLDTHWAITE ISD,R,'12
'167902,MILLS,'167,A,MULLIN ISD,A,'12
'167903,MILLS,'167,,STAR ISD,A,'12
'167904,MILLS,'167,A,PRIDDY ISD,E,'12
'168901,MITCHELL,'168,RA,COLORADO ISD,A,'14
'168902,MITCHELL,'168,A,LORAINE ISD,A,'14
'168903,MITCHELL,'168,R,WESTBROOK ISD,R,'14
'169901,MONTAGUE,'169,R,BOWIE ISD,A,'09
'169902,MONTAGUE,'169,R,NOCONA ISD,R,'09
'169906,MONTAGUE,'169,R,GOLD BURG ISD,R,'09
'169908,MONTAGUE,'169,A,MONTAGUE ISD,R,'09
'169909,MONTAGUE,'169,T,PRAIRIE VALLEY ISD,E,'09
'169910,MONTAGUE,'169,,FORESTBURG ISD,R,'09
'169911,MONTAGUE,'169,A,SAINT JO ISD,E,'09
'170801,MONTGOMERY,'170,,TEXAS SERENITY ACADEMY,C,'06
'170902,MONTGOMERY,'170,,CONROE ISD,R,'06
'170903,MONTGOMERY,'170,,MONTGOMERY ISD,R,'06
'170904,MONTGOMERY,'170,,WILLIS ISD,R,'06
'170906,MONTGOMERY,'170,R,MAGNOLIA ISD,A,'06
'170907,MONTGOMERY,'170,R,SPLENDORA ISD,A,'06
'170908,MONTGOMERY,'170,,NEW CANEY ISD,R,'06
'171901,MOORE,'171,RA,DUMAS ISD,R,'16
'171902,MOORE,'171,A,SUNRAY ISD,R,'16
'172902,MORRIS,'172,,DAINGERFIELD-LONE STAR ISD,R,'08
'172905,MORRIS,'172,A,PEWITT ISD,R,'08
'173901,MOTLEY,'173,R,MOTLEY COUNTY ISD,A,'17
'174901,NACOGDOCHES,'174,A,CHIRENO ISD,R,'07
'174902,NACOGDOCHES,'174,T,CUSHING ISD,E,'07
'174903,NACOGDOCHES,'174,RA,GARRISON ISD,A,'07
'174904,NACOGDOCHES,'174,R,NACOGDOCHES ISD,A,'07
'174906,NACOGDOCHES,'174,,WODEN ISD,E,'07
'174908,NACOGDOCHES,'174,R,CENTRAL HEIGHTS ISD,R,'07
'174909,NACOGDOCHES,'174,A,MARTINSVILLE ISD,E,'07
'174910,NACOGDOCHES,'174,A,ETOILE ISD,A,'07
'174911,NACOGDOCHES,'174,A,DOUGLASS ISD,R,'07
'175902,NAVARRO,'175,R,BLOOMING GROVE ISD,R,'12
'175903,NAVARRO,'175,,CORSICANA ISD,A,'12
'175904,NAVARRO,'175,,DAWSON ISD,A,'12
'175905,NAVARRO,'175,,FROST ISD,A,'12
'175907,NAVARRO,'175,R,KERENS ISD,A,'12
'175910,NAVARRO,'175,,MILDRED ISD,R,'12
'175911,NAVARRO,'175,R,RICE ISD,A,'12
'176901,NEWTON,'176,R,BURKEVILLE ISD,A,'05
