DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'043910,COLLIN,'043,N,N,PLANO ISD,AC,A,'10,REGION 10: RICHARDSON
'043911,COLLIN,'043,N,N,PRINCETON ISD,NQ,A,'10,REGION 10: RICHARDSON
'043912,COLLIN,'043,N,N,PROSPER ISD,NQ,A,'10,REGION 10: RICHARDSON
'043914,COLLIN,'043,N,N,WYLIE ISD,NQ,A,'10,REGION 10: RICHARDSON
'043917,COLLIN,'043,N,N,BLUE RIDGE ISD,NQ,A,'10,REGION 10: RICHARDSON
'043918,COLLIN,'043,N,N,COMMUNITY ISD,NQ,R,'10,REGION 10: RICHARDSON
'043919,COLLIN,'043,N,N,LOVEJOY ISD,NA,E,'10,REGION 10: RICHARDSON
'044902,COLLINGSWORTH,'044,N,N,WELLINGTON ISD,NQ,R,'16,REGION 16: AMARILLO
'044904,COLLINGSWORTH,'044,N,N,SAMNORWOOD ISD,NQ,E,'16,REGION 16: AMARILLO
'045902,COLORADO,'045,N,N,COLUMBUS ISD,NQ,A,'03,REGION 03: VICTORIA
'045903,COLORADO,'045,N,N,RICE CONS ISD,NQ,A,'03,REGION 03: VICTORIA
'045905,COLORADO,'045,N,N,WEIMAR ISD,NQ,A,'03,REGION 03: VICTORIA
'046801,COMAL,'046,Y,N,NANCY NEY CHARTER SCHOOL,CS,C,'13,REGION 13: AUSTIN
'046901,COMAL,'046,N,N,NEW BRAUNFELS ISD,NQ,A,'13,REGION 13: AUSTIN
'046902,COMAL,'046,N,N,COMAL ISD,NQ,A,'13,REGION 13: AUSTIN
'047901,COMANCHE,'047,N,N,COMANCHE ISD,NQ,R,'14,REGION 14: ABILENE
'047902,COMANCHE,'047,N,N,DE LEON ISD,NQ,A,'14,REGION 14: ABILENE
'047903,COMANCHE,'047,N,N,GUSTINE ISD,NQ,A,'14,REGION 14: ABILENE
'047905,COMANCHE,'047,N,N,SIDNEY ISD,AT,A,'14,REGION 14: ABILENE
'048901,CONCHO,'048,N,N,EDEN CONS ISD,NQ,A,'15,REGION 15: SAN ANGELO
'048903,CONCHO,'048,N,N,PAINT ROCK ISD,AT,A,'15,REGION 15: SAN ANGELO
'049901,COOKE,'049,N,N,GAINESVILLE ISD,NQ,A,'11,REGION 11: FORT WORTH
'049902,COOKE,'049,N,N,MUENSTER ISD,AB,E,'11,REGION 11: FORT WORTH
'049903,COOKE,'049,N,N,VALLEY VIEW ISD,NQ,E,'11,REGION 11: FORT WORTH
'049905,COOKE,'049,N,N,CALLISBURG ISD,NQ,R,'11,REGION 11: FORT WORTH
'049906,COOKE,'049,N,N,ERA ISD,NQ,E,'11,REGION 11: FORT WORTH
'049907,COOKE,'049,N,N,LINDSAY ISD,NQ,E,'11,REGION 11: FORT WORTH
'049908,COOKE,'049,N,N,WALNUT BEND ISD,NA,A,'11,REGION 11: FORT WORTH
'049909,COOKE,'049,N,N,SIVELLS BEND ISD,NA,E,'11,REGION 11: FORT WORTH
'050901,CORYELL,'050,N,N,EVANT ISD,NQ,R,'12,REGION 12: WACO
'050902,CORYELL,'050,N,N,GATESVILLE ISD,NQ,R,'12,REGION 12: WACO
'050904,CORYELL,'050,N,N,OGLESBY ISD,NQ,E,'12,REGION 12: WACO
'050909,CORYELL,'050,N,N,JONESBORO ISD,NQ,E,'12,REGION 12: WACO
'050910,CORYELL,'050,N,N,COPPERAS COVE ISD,NQ,R,'12,REGION 12: WACO
'051901,COTTLE,'051,N,N,PADUCAH ISD,NQ,A,'17,REGION 17: LUBBOCK
'052901,CRANE,'052,N,N,CRANE ISD,NQ,E,'18,REGION 18: MIDLAND
'053001,CROCKETT,'053,N,N,CROCKETT CO CONS CSD,NQ,R,'15,REGION 15: SAN ANGELO
'054901,CROSBY,'054,N,N,CROSBYTON ISD,NQ,A,'17,REGION 17: LUBBOCK
'054902,CROSBY,'054,N,N,LORENZO ISD,NQ,A,'17,REGION 17: LUBBOCK
'054903,CROSBY,'054,N,N,RALLS ISD,NQ,A,'17,REGION 17: LUBBOCK
'055901,CULBERSON,'055,N,N,CULBERSON COUNTY-ALLAMOORE ISD,NQ,R,'18,REGION 18: MIDLAND
'056901,DALLAM,'056,N,N,DALHART ISD,NQ,R,'16,REGION 16: AMARILLO
'056902,DALLAM,'056,N,N,TEXLINE ISD,NQ,R,'16,REGION 16: AMARILLO
'057801,DALLAS,'057,Y,N,RENAISSANCE CHARTER SCHOOL,CS,C,'10,REGION 10: RICHARDSON
'057802,DALLAS,'057,Y,N,PEGASUS CHARTER SCHOOL,CS,C,'10,REGION 10: RICHARDSON
'057803,DALLAS,'057,Y,N,NORTH HILLS SCHOOL,CS,C,'10,REGION 10: RICHARDSON
'057804,DALLAS,'057,Y,N,DALLAS CAN ACADEMY CHARTER,CS,C,'10,REGION 10: RICHARDSON
'057806,DALLAS,'057,Y,N,EAGLE ADVANTAGE SCHOOL,CS,C,'10,REGION 10: RICHARDSON
'057807,DALLAS,'057,Y,N,LIFE CHARTER SCHOOL OF OAK CLIFF,CS,C,'10,REGION 10: RICHARDSON
'057808,DALLAS,'057,Y,N,UNIVERSAL ACADEMY,CS,C,'10,REGION 10: RICHARDSON
'057809,DALLAS,'057,Y,N,WEST OAK CLIFF CHARTER SCHOOL,CS,C,'10,REGION 10: RICHARDSON
'057903,DALLAS,'057,N,N,CARROLLTON-FARMERS BRANCH ISD,NQ,A,'10,REGION 10: RICHARDSON
'057904,DALLAS,'057,N,N,CEDAR HILL ISD,NQ,A,'10,REGION 10: RICHARDSON
'057905,DALLAS,'057,N,N,DALLAS ISD,NQ,A,'10,REGION 10: RICHARDSON
'057906,DALLAS,'057,N,N,DESOTO ISD,NQ,R,'10,REGION 10: RICHARDSON
'057907,DALLAS,'057,N,N,DUNCANVILLE ISD,NQ,A,'10,REGION 10: RICHARDSON
'057909,DALLAS,'057,N,N,GARLAND ISD,NQ,R,'10,REGION 10: RICHARDSON
