DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,REGION,SECS
'057845,DALLAS,'057,N,Y,UME PREPARATORY ACADEMY,M,'10,
'057846,DALLAS,'057,N,Y,LEGACY PREPARATORY,I,'10,
'057903,DALLAS,'057,N,N,CARROLLTON-FARMERS BRANCH ISD,M,'10,
'057904,DALLAS,'057,N,N,CEDAR HILL ISD,M,'10,
'057905,DALLAS,'057,N,N,DALLAS ISD,M,'10,B
'057906,DALLAS,'057,N,N,DESOTO ISD,M,'10,L
'057907,DALLAS,'057,N,N,DUNCANVILLE ISD,I,'10,
'057909,DALLAS,'057,N,N,GARLAND ISD,M,'10,
'057910,DALLAS,'057,N,N,GRAND PRAIRIE ISD,M,'10,
'057911,DALLAS,'057,N,N,HIGHLAND PARK ISD,M,'10,
'057912,DALLAS,'057,N,N,IRVING ISD,M,'10,B
'057913,DALLAS,'057,N,N,LANCASTER ISD,M,'10,D
'057914,DALLAS,'057,N,N,MESQUITE ISD,M,'10,
'057916,DALLAS,'057,N,N,RICHARDSON ISD,M,'10,
'057919,DALLAS,'057,N,N,SUNNYVALE ISD,M,'10,
'057922,DALLAS,'057,N,N,COPPELL ISD,M,'10,
'058902,DAWSON,'058,N,N,DAWSON ISD,M,'17,
'058905,DAWSON,'058,N,N,KLONDIKE ISD,M,'17,D
'058906,DAWSON,'058,N,N,LAMESA ISD,M,'17,L
'058909,DAWSON,'058,N,N,SANDS CISD,M,'17,B
'059901,DEAF SMITH,'059,N,N,HEREFORD ISD,M,'16,B
'059902,DEAF SMITH,'059,N,N,WALCOTT ISD,M,'16,
'060902,DELTA,'060,N,N,COOPER ISD,M,'08,D
'060914,DELTA,'060,N,N,FANNINDEL ISD,M,'08,D
'061802,DENTON,'061,N,Y,TEXAS EDUCATION CENTERS,M,'11,L
'061804,DENTON,'061,N,Y,LEADERSHIP PREP SCHOOL,M,'10,
'061901,DENTON,'061,N,N,DENTON ISD,M,'11,
'061902,DENTON,'061,N,N,LEWISVILLE ISD,M,'11,
'061903,DENTON,'061,N,N,PILOT POINT ISD,M,'11,
'061905,DENTON,'061,N,N,KRUM ISD,M,'11,
'061906,DENTON,'061,N,N,PONDER ISD,M,'11,D
'061907,DENTON,'061,N,N,AUBREY ISD,M,'11,
'061908,DENTON,'061,N,N,SANGER ISD,M,'11,D
'061910,DENTON,'061,N,N,ARGYLE ISD,M,'11,
'061911,DENTON,'061,N,N,NORTHWEST ISD,M,'11,
'061912,DENTON,'061,N,N,LAKE DALLAS ISD,M,'11,
'061914,DENTON,'061,N,N,LITTLE ELM ISD,M,'11,
'062901,DEWITT,'062,N,N,CUERO ISD,M,'03,D
'062902,DEWITT,'062,N,N,NORDHEIM ISD,M,'03,
'062903,DEWITT,'062,N,N,YOAKUM ISD,M,'03,D
'062904,DEWITT,'062,N,N,YORKTOWN ISD,M,'03,D
'062905,DEWITT,'062,N,N,WESTHOFF ISD,M,'03,
'062906,DEWITT,'062,N,N,MEYERSVILLE ISD,M,'03,
'063903,DICKENS,'063,N,N,SPUR ISD,M,'17,
'063906,DICKENS,'063,N,N,PATTON SPRINGS ISD,M,'17,
'064903,DIMMIT,'064,N,N,CARRIZO SPRINGS CISD,M,'20,H
'065901,DONLEY,'065,N,N,CLARENDON ISD,M,'16,
'065902,DONLEY,'065,N,N,HEDLEY ISD,M,'16,
'066005,DUVAL,'066,N,N,RAMIREZ CSD,I,'02,
'066901,DUVAL,'066,N,N,BENAVIDES ISD,M,'02,B
'066902,DUVAL,'066,N,N,SAN DIEGO ISD,M,'02,
'066903,DUVAL,'066,N,N,FREER ISD,I,'02,
'067902,EASTLAND,'067,N,N,CISCO ISD,M,'14,
'067903,EASTLAND,'067,N,N,EASTLAND ISD,M,'14,
'067904,EASTLAND,'067,N,N,GORMAN ISD,M,'14,
