DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,D_RATING,REGION,dackdtl,secs
'178914,NUECES,'178,N,FLOUR BLUFF ISD,R,'02,VJS,
'077901,FLOYD,'077,N,FLOYDADA ISD,R,'17,UVJS,B
'057817,DALLAS,'057,Y,FOCUS LEARNING ACADEMY,1,'10,AE,D
'148902,LIPSCOMB,'148,N,FOLLETT ISD,R,'16,ADVJW,
'169910,MONTAGUE,'169,N,FORESTBURG ISD,R,'09,UVES,
'129902,KAUFMAN,'129,N,FORNEY ISD,R,'10,AEWS,
'114904,HOWARD,'114,N,FORSAN ISD,A,'18,UVJEWS,
'079907,FORT BEND,'079,N,FORT BEND ISD,A,'04,S,
'242906,WHEELER,'242,N,FORT ELLIOTT CISD,R,'16,A,
'186902,PECOS,'186,N,FORT STOCKTON ISD,L,'18,,B
'220809,TARRANT,'220,Y,FORT WORTH ACADEMY OF FINE ARTS,R,'11,DPRUVJEWS,D
'220804,TARRANT,'220,Y,FORT WORTH CAN ACADEMY,2,'11,,H
'220905,TARRANT,'220,N,FORT WORTH ISD,A,'11,,
'198903,ROBERTSON,'198,N,FRANKLIN ISD,R,'06,UVJS,D
'001904,ANDERSON,'001,N,FRANKSTON ISD,A,'07,UJS,B
'086901,GILLESPIE,'086,N,FREDERICKSBURG ISD,A,'13,,D
'066903,DUVAL,'066,N,FREER ISD,L,'02,,
'152907,LUBBOCK,'152,N,FRENSHIP ISD,R,'17,W,
'084911,GALVESTON,'084,N,FRIENDSWOOD ISD,E,'04,PCRUVJEWMNS,
'185903,PARMER,'185,N,FRIONA ISD,R,'16,R,
'043905,COLLIN,'043,N,FRISCO ISD,R,'10,APUVEWMS,
'175905,NAVARRO,'175,N,FROST ISD,A,'12,VJ,
'227812,TRAVIS,'227,Y,FRUIT OF EXCELLENCE,R,'13,AUVS,I
'234909,VAN ZANDT,'234,N,FRUITVALE ISD,E,'07,U,
'122901,JEFF DAVIS,'122,N,FT DAVIS ISD,A,'18,AVJWS,D
'115901,HUDSPETH,'115,N,FT HANCOCK ISD,A,'19,ARU,D
'015914,BEXAR,'015,N,FT SAM HOUSTON ISD,R,'20,RUVJ,
'232801,UVALDE,'232,Y,GABRIEL TAFOLLA ACADEMY,A,'20,,
'049901,COOKE,'049,N,GAINESVILLE ISD,A,'11,J,
'101910,HARRIS,'101,N,GALENA PARK ISD,R,'04,WS,
'084902,GALVESTON,'084,N,GALVESTON ISD,A,'04,,B
'120902,JACKSON,'120,N,GANADO ISD,R,'03,ARVJ,D
'057909,DALLAS,'057,N,GARLAND ISD,R,'10,S,
'184911,PARKER,'184,N,GARNER ISD,R,'11,EMNS,
'174903,NACOGDOCHES,'174,N,GARRISON ISD,R,'07,AUVJWS,D
'183904,PANOLA,'183,N,GARY ISD,R,'07,JW,B
'050902,CORYELL,'050,N,GATESVILLE ISD,A,'12,JS,
'240801,WEBB,'240,Y,GATEWAY (STUDENT ALTERNATIVE PROGR,1,'01,D,B
'057831,DALLAS,'057,Y,GATEWAY CHARTER ACADEMY,A,'10,A,D
'166902,MILAM,'166,N,GAUSE ISD,R,'06,AWNS,D
'015802,BEXAR,'015,Y,GEORGE GERVIN ACADEMY,1,'20,,D
'101804,HARRIS,'101,Y,GEORGE I SANCHEZ CHARTER,1,'04,,D
'015812,BEXAR,'015,Y,GEORGE I SANCHEZ CHARTER HS SAN AN,1,'20,,A
'149901,LIVE OAK,'149,N,GEORGE WEST ISD,A,'02,,D
'246904,WILLIAMSON,'246,N,GEORGETOWN ISD,A,'13,,
'161925,MCLENNAN,'161,N,GHOLSON ISD,E,'12,EWMNS,
'144901,LEE,'144,N,GIDDINGS ISD,A,'13,UVJS,
'230902,UPSHUR,'230,N,GILMER ISD,A,'07,,D
'101805,HARRIS,'101,Y,GIRLS & BOYS PREP ACADEMY,A,'04,A,
'092901,GREGG,'092,N,GLADEWATER ISD,A,'07,DJS,
'087901,GLASSCOCK,'087,N,GLASSCOCK COUNTY ISD,R,'18,ARUVJEWS,B
'213901,SOMERVELL,'213,N,GLEN ROSE ISD,A,'11,RJWS,D
'126911,JOHNSON,'126,N,GODLEY ISD,A,'11,VJS,
'169906,MONTAGUE,'169,N,GOLD BURG ISD,R,'09,S,
'057835,DALLAS,'057,Y,GOLDEN RULE CHARTER SCHOOL,L,'10,,D
'167901,MILLS,'167,N,GOLDTHWAITE ISD,A,'12,VJW,B
'088902,GOLIAD,'088,N,GOLIAD ISD,R,'03,UVJS,D
'089901,GONZALES,'089,N,GONZALES ISD,A,'13,U,D
'187903,POLK,'187,N,GOODRICH ISD,A,'06,,B
'101911,HARRIS,'101,N,GOOSE CREEK CISD,R,'04,,
'182901,PALO PINTO,'182,N,GORDON ISD,E,'11,UV,
'067904,EASTLAND,'067,N,GORMAN ISD,A,'14,ARUVJW,
'156905,MARTIN,'156,N,GRADY ISD,E,'18,RUVJEWNS,B
'182902,PALO PINTO,'182,N,GRAFORD ISD,R,'11,UVJW,
'252901,YOUNG,'252,N,GRAHAM ISD,R,'09,UVJ,
'111901,HOOD,'111,N,GRANBURY ISD,L,'11,,
'057910,DALLAS,'057,N,GRAND PRAIRIE ISD,A,'10,,
'234904,VAN ZANDT,'234,N,GRAND SALINE ISD,A,'07,RUJS,
'238904,WARD,'238,N,GRANDFALLS-ROYALTY ISD,L,'18,,B
'126904,JOHNSON,'126,N,GRANDVIEW ISD,R,'11,AUVJWMS,
'090905,GRAY,'090,N,GRANDVIEW-HOPKINS ISD,E,'16,EN,
'246905,WILLIAMSON,'246,N,GRANGER ISD,A,'13,RUJ,
'226907,TOM GREEN,'226,N,GRAPE CREEK ISD,L,'15,,
'113902,HOUSTON,'113,N,GRAPELAND ISD,L,'06,,B
'220906,TARRANT,'220,N,GRAPEVINE-COLLEYVILLE ISD,R,'11,PUJES,
'116905,HUNT,'116,N,GREENVILLE ISD,A,'10,,
'165902,MIDLAND,'165,N,GREENWOOD ISD,A,'18,RUJ,B
'205902,SAN PATRICIO,'205,N,GREGORY-PORTLAND ISD,A,'02,UVJW,A
'147902,LIMESTONE,'147,N,GROESBECK ISD,A,'12,JS,
'033901,CARSON,'033,N,GROOM ISD,E,'16,ARUVJEWMS,
'228901,TRINITY,'228,N,GROVETON ISD,R,'06,AS,D
'098901,HANSFORD,'098,N,GRUVER ISD,E,'16,ARUVJEWM,
'015813,BEXAR,'015,Y,GUARDIAN ANGEL PERFORMANCE ARTS AC,X,'20,,
'101843,HARRIS,'101,Y,GULF SHORES ACADEMY,2,'04,,
'091917,GRAYSON,'091,N,GUNTER ISD,E,'10,APRUVJEWMS,B
'047903,COMANCHE,'047,N,GUSTINE ISD,A,'14,U,
'135001,KING,'135,N,GUTHRIE CSD,E,'17,ARUVEMNS,
'095903,HALE,'095,N,HALE CENTER ISD,A,'17,UVEW,
'143901,LAVACA,'143,N,HALLETTSVILLE ISD,R,'03,UVJS,D
'161924,MCLENNAN,'161,N,HALLSBURG ISD,A,'12,AEWM,
'102904,HARRISON,'102,N,HALLSVILLE ISD,R,'07,AV,
'097902,HAMILTON,'097,N,HAMILTON ISD,R,'12,PUJWS,
'127903,JONES,'127,N,HAMLIN ISD,A,'14,VJW,
'057843,DALLAS,'057,Y,HAMPTON PREPARATORY,A,'10,,
'123914,JEFFERSON,'123,N,HAMSHIRE-FANNETT ISD,R,'05,RUVEWMS,
'219901,SWISHER,'219,N,HAPPY ISD,R,'16,AUVJEWM,
'146904,LIBERTY,'146,N,HARDIN ISD,A,'04,RUW,B
'100905,HARDIN,'100,N,HARDIN-JEFFERSON ISD,X,'05,,
'015904,BEXAR,'015,N,HARLANDALE ISD,A,'20,US,
'102905,HARRISON,'102,N,HARLETON ISD,E,'07,UJEWS,
'031903,CAMERON,'031,N,HARLINGEN CISD,A,'01,R,D
'230905,UPSHUR,'230,N,HARMONY ISD,R,'07,ARUVJWS,
'101858,HARRIS,'101,Y,HARMONY SCHOOL OF EXCELLENCE,E,'04,AEWMNS,
'101857,HARRIS,'101,Y,HARMONY SCHOOL OF INNOVATION,E,'04,AEWS,
'101862,HARRIS,'101,Y,HARMONY SCHOOL OF SCIENCE - HOUSTO,E,'04,EWMNS,
'227822,TRAVIS,'227,Y,HARMONY SCHOOL OF SCIENCE AUSTIN,E,'13,AEWNS,
'123806,JEFFERSON,'123,Y,HARMONY SCIENCE ACAD (BEAUMONT),A,'05,,
'021804,BRAZOS,'021,Y,HARMONY SCIENCE ACAD (COLLEGE STAT,R,'06,NS,
'071806,EL PASO,'071,Y,HARMONY SCIENCE ACAD (EL PASO),R,'19,AES,
'220813,TARRANT,'220,Y,HARMONY SCIENCE ACAD (FORT WORTH),E,'11,ADES,
'152805,LUBBOCK,'152,Y,HARMONY SCIENCE ACAD (LUBBOCK),E,'17,,
'015828,BEXAR,'015,Y,HARMONY SCIENCE ACAD (SAN ANTONIO),R,'20,AES,
'161807,MCLENNAN,'161,Y,HARMONY SCIENCE ACAD (WACO),R,'12,ANS,
'101846,HARRIS,'101,Y,HARMONY SCIENCE ACADEMY,E,'04,ADRUVJES,
'227816,TRAVIS,'227,Y,HARMONY SCIENCE ACADEMY (AUSTIN),R,'13,ADRUVEWS,
'031803,CAMERON,'031,Y,HARMONY SCIENCE ACADEMY - BROWNSVI,E,'01,ENS,
'240804,WEBB,'240,Y,HARMONY SCIENCE ACADEMY - LAREDO,A,'01,,
'086902,GILLESPIE,'086,N,HARPER ISD,R,'13,AUVJEWMS,
'244901,WILBARGER,'244,N,HARROLD ISD,A,'09,J,
'035902,CASTRO,'035,N,HART ISD,A,'16,A,
'103902,HARTLEY,'103,N,HARTLEY ISD,A,'16,RJS,
'225907,TITUS,'225,N,HARTS BLUFF ISD,R,'08,AN,
'104901,HASKELL,'104,N,HASKELL CISD,A,'14,UVWS,
'250902,WOOD,'250,N,HAWKINS ISD,R,'07,UVJ,
'127904,JONES,'127,N,HAWLEY ISD,R,'14,UVJS,
'105906,HAYS,'105,N,HAYS CISD,A,'13,S,
'198905,ROBERTSON,'198,N,HEARNE ISD,A,'06,,B
'065902,DONLEY,'065,N,HEDLEY ISD,R,'16,ARUVJW,
'202903,SABINE,'202,N,HEMPHILL ISD,A,'07,JWS,
'237902,WALLER,'237,N,HEMPSTEAD ISD,L,'04,,D
'201902,RUSK,'201,N,HENDERSON ISD,R,'07,J,B
'039902,CLAY,'039,N,HENRIETTA ISD,E,'09,UJEM,
'059901,DEAF SMITH,'059,N,HEREFORD ISD,A,'16,,
'208901,SCURRY,'208,N,HERMLEIGH ISD,A,'14,U,
'097903,HAMILTON,'097,N,HICO ISD,R,'12,U,D
'108905,HIDALGO,'108,N,HIDALGO ISD,R,'01,ADR,B
'148903,LIPSCOMB,'148,N,HIGGINS ISD,A,'16,J,
'015803,BEXAR,'015,Y,HIGGS CARTER KING GIFTED & TALENTE,1,'20,ARWS,
'084903,GALVESTON,'084,N,HIGH ISLAND ISD,R,'05,S,
'177905,NOLAN,'177,N,HIGHLAND ISD,E,'14,CVJEWMS,
'057911,DALLAS,'057,N,HIGHLAND PARK ISD,E,'10,ADPCRUVJEWMNS,
'188903,POTTER,'188,N,HIGHLAND PARK ISD,R,'16,W,
'109904,HILL,'109,N,HILLSBORO ISD,A,'12,U,
'084908,GALVESTON,'084,N,HITCHCOCK ISD,X,'04,,
'014905,BELL,'014,N,HOLLAND ISD,R,'12,UVEM,
'005902,ARCHER,'005,N,HOLLIDAY ISD,E,'09,PUVJEWNS,A
'163904,MEDINA,'163,N,HONDO ISD,A,'20,J,D
'074907,FANNIN,'074,N,HONEY GROVE ISD,R,'10,VJS,A
'057825,DALLAS,'057,Y,HONORS ACADEMY,1,'10,,
'019902,BOWIE,'019,N,HOOKS ISD,A,'08,,
'101851,HARRIS,'101,Y,HOUSTON ALTERNATIVE PREPARATORY CH,L,'04,,D
'101812,HARRIS,'101,Y,HOUSTON CAN ACADEMY CHARTER SCHOOL,2,'04,,H
'101828,HARRIS,'101,Y,HOUSTON GATEWAY ACADEMY INC,R,'04,A,D
'101821,HARRIS,'101,Y,HOUSTON HEIGHTS HIGH SCHOOL,1,'04,AD,D
'101829,HARRIS,'101,Y,HOUSTON HEIGHTS LEARNING ACADEMY I,E,'04,EMN,
'101912,HARRIS,'101,N,HOUSTON ISD,A,'04,,D
'091905,GRAYSON,'091,N,HOWE ISD,R,'10,UVJEWS,D
'019913,BOWIE,'019,N,HUBBARD ISD,E,'08,AEWM,
'109905,HILL,'109,N,HUBBARD ISD,A,'12,J,
'072908,ERATH,'072,N,HUCKABAY ISD,R,'11,ARUVJS,
'003902,ANGELINA,'003,N,HUDSON ISD,R,'07,VWS,
'101925,HARRIS,'101,N,HUFFMAN ISD,R,'04,PRJS,
'034903,CASS,'034,N,HUGHES SPRINGS ISD,A,'08,RS,
'146905,LIBERTY,'146,N,HULL-DAISETTA ISD,A,'04,RU,
'101913,HARRIS,'101,N,HUMBLE ISD,A,'04,,
'133902,KERR,'133,N,HUNT ISD,R,'20,WNS,
'003904,ANGELINA,'003,N,HUNTINGTON ISD,R,'07,,
'236902,WALKER,'236,N,HUNTSVILLE ISD,A,'06,,D
'220916,TARRANT,'220,N,HURST-EULESS-BEDFORD ISD,R,'11,UEWS,
'246906,WILLIAMSON,'246,N,HUTTO ISD,A,'13,,
'152910,LUBBOCK,'152,N,IDALOU ISD,R,'17,UVJS,D
'108807,HIDALGO,'108,Y,IDEA PUBLIC SCHOOLS,R,'01,ADRUVJEWS,
'120905,JACKSON,'120,N,INDUSTRIAL ISD,E,'03,RUVJWS,
'205903,SAN PATRICIO,'205,N,INGLESIDE ISD,A,'02,JS,D
'133904,KERR,'133,N,INGRAM ISD,A,'20,W,
'057830,DALLAS,'057,Y,INSPIRED VISION ACADEMY,A,'10,A,
'093903,GRIMES,'093,N,IOLA ISD,R,'06,DVJ,
'243903,WICHITA,'243,N,IOWA PARK CISD,R,'09,UJES,D
'208903,SCURRY,'208,N,IRA ISD,A,'14,RJW,
'186903,PECOS,'186,N,IRAAN-SHEFFIELD ISD,R,'18,UVJEWS,
'018906,BOSQUE,'018,N,IREDELL ISD,R,'12,UVES,D
'118902,IRION,'118,N,IRION COUNTY ISD,R,'15,UVJEWS,D
'057912,DALLAS,'057,N,IRVING ISD,A,'10,S,
'070907,ELLIS,'070,N,ITALY ISD,A,'10,AUJ,
'109907,HILL,'109,N,ITASCA ISD,R,'12,AUVJW,E
'119902,JACK,'119,N,JACKSBORO ISD,A,'09,RUJ,
'037904,CHEROKEE,'037,N,JACKSONVILLE ISD,A,'07,,D
'101822,HARRIS,'101,Y,JAMIE'S HOUSE CHARTER SCHOOL,1,'04,RVJ,
'246907,WILLIAMSON,'246,N,JARRELL ISD,R,'13,PRVJS,
'121904,JASPER,'121,N,JASPER ISD,A,'05,J,B
'132902,KENT,'132,N,JAYTON-GIRARD ISD,R,'17,ADRUVJWS,
'057819,DALLAS,'057,Y,JEAN MASSIEU ACADEMY,L,'10,,E
'155901,MARION,'155,N,JEFFERSON ISD,A,'08,W,F
'101831,HARRIS,'101,Y,JESSE JACKSON ACADEMY,1,'04,R,F
'124901,JIM HOGG,'124,N,JIM HOGG COUNTY ISD,A,'01,UJ,D
'221911,TAYLOR,'221,N,JIM NED CISD,R,'14,UVJEWMN,
'210902,SHELBY,'210,N,JOAQUIN ISD,E,'07,VJENS,
'015808,BEXAR,'015,Y,JOHN H WOOD JR PUBLIC CHARTER DIST,3,'20,,
'016901,BLANCO,'016,N,JOHNSON CITY ISD,R,'13,UJW,D
'050909,CORYELL,'050,N,JONESBORO ISD,A,'12,UV,
'126905,JOHNSON,'126,N,JOSHUA ISD,A,'11,VJS,
'007902,ATASCOSA,'007,N,JOURDANTON ISD,R,'20,W,
'101852,HARRIS,'101,Y,JUAN B GALAVIZ CHARTER SCHOOL,2,'04,,
'015822,BEXAR,'015,Y,JUBILEE ACADEMIC CENTER,A,'20,DR,B
'015916,BEXAR,'015,N,JUDSON ISD,L,'20,,
'134901,KIMBLE,'134,N,JUNCTION ISD,R,'15,AUJEWS,
'102901,HARRISON,'102,N,KARNACK ISD,E,'07,DW,
'128901,KARNES,'128,N,KARNES CITY ISD,R,'03,AUJEWS,D
'105801,HAYS,'105,Y,KATHERINE ANNE PORTER SCHOOL,A,'13,PJS,B
'101914,HARRIS,'101,N,KATY ISD,R,'04,WS,
'129903,KAUFMAN,'129,N,KAUFMAN ISD,A,'10,UJS,
'126906,JOHNSON,'126,N,KEENE ISD,R,'11,UVJEMS,
'220907,TARRANT,'220,N,KELLER ISD,R,'11,UEWS,
'242905,WHEELER,'242,N,KELTON ISD,A,'16,E,
'129904,KAUFMAN,'129,N,KEMP ISD,A,'10,,D
'079908,FORT BEND,'079,N,KENDLETON ISD,L,'04,,
'131001,KENEDY,'131,N,KENEDY COUNTY WIDE CSD,R,'02,AWMN,
'128902,KARNES,'128,N,KENEDY ISD,A,'03,,D
'113906,HOUSTON,'113,N,KENNARD ISD,A,'06,,
'220914,TARRANT,'220,N,KENNEDALE ISD,R,'11,UES,
'175907,NAVARRO,'175,N,KERENS ISD,A,'12,S,
'248901,WINKLER,'248,N,KERMIT ISD,A,'18,,D
'133903,KERR,'133,N,KERRVILLE ISD,R,'20,JWS,
'092902,GREGG,'092,N,KILGORE ISD,A,'07,,B
'014906,BELL,'014,N,KILLEEN ISD,A,'12,S,
'137901,KLEBERG,'137,N,KINGSVILLE ISD,L,'02,,B
'015826,BEXAR,'015,Y,KIPP ASPIRE ACADEMY,R,'20,AEWMS,
'227820,TRAVIS,'227,Y,KIPP AUSTIN PUBLIC SCHOOLS INC,R,'13,AEWMNS,D
'101813,HARRIS,'101,Y,KIPP INC CHARTER,R,'04,ADRUVJEWMS,
'101860,HARRIS,'101,Y,KIPP SOUTHEAST HOUSTON,A,'04,AW,
'057837,DALLAS,'057,Y,KIPP TRUTH ACADEMY,R,'10,AS,
'121905,JASPER,'121,N,KIRBYVILLE CISD,A,'05,,D
'101915,HARRIS,'101,N,KLEIN ISD,R,'04,S,
'058905,DAWSON,'058,N,KLONDIKE ISD,R,'17,RUVJWS,D
'232901,UVALDE,'232,N,KNIPPA ISD,R,'20,ARUVJEWMS,D
'138902,KNOX,'138,N,KNOX CITY-O'BRIEN CISD,A,'09,UJW,
'018907,BOSQUE,'018,N,KOPPERL ISD,R,'12,UV,
'100903,HARDIN,'100,N,KOUNTZE ISD,A,'05,UV,B
'219905,SWISHER,'219,N,KRESS ISD,A,'16,,
'061905,DENTON,'061,N,KRUM ISD,R,'11,UVJ,
'057839,DALLAS,'057,Y,LA ACADEMIA DE ESTRELLAS,1,'10,A,
'101833,HARRIS,'101,Y,LA AMISTAD LOVE & LEARNING ACADEMY,X,'04,,
'015811,BEXAR,'015,Y,LA ESCUELA DE LAS AMERICAS,A,'20,AM,
'071807,EL PASO,'071,Y,LA FE PREPARATORY SCHOOL,X,'19,,
'031905,CAMERON,'031,N,LA FERIA ISD,A,'01,AUW,
'125906,JIM WELLS,'125,N,LA GLORIA ISD,R,'02,,
'075902,FAYETTE,'075,N,LA GRANGE ISD,A,'13,PCVJW,A
'108912,HIDALGO,'108,N,LA JOYA ISD,A,'01,DRS,B
'084904,GALVESTON,'084,N,LA MARQUE ISD,A,'04,,B
'101916,HARRIS,'101,N,LA PORTE ISD,A,'04,S,
'254902,ZAVALA,'254,N,LA PRYOR ISD,A,'20,R,B
'161906,MCLENNAN,'161,N,LA VEGA ISD,L,'12,,D
'247903,WILSON,'247,N,LA VERNIA ISD,R,'20,J,
'108914,HIDALGO,'108,N,LA VILLA ISD,A,'01,R,B
'015913,BEXAR,'015,N,LACKLAND ISD,R,'20,AUVJEWMS,
'227912,TRAVIS,'227,N,LAGO VISTA ISD,R,'13,PUVJEWS,
'061912,DENTON,'061,N,LAKE DALLAS ISD,R,'11,PUJ,
'227913,TRAVIS,'227,N,LAKE TRAVIS ISD,A,'13,PCUVJES,
'220910,TARRANT,'220,N,LAKE WORTH ISD,A,'11,V,
'079901,FORT BEND,'079,N,LAMAR CISD,A,'04,S,
'058906,DAWSON,'058,N,LAMESA ISD,A,'17,R,
'141901,LAMPASAS,'141,N,LAMPASAS ISD,A,'12,S,B
'057913,DALLAS,'057,N,LANCASTER ISD,L,'10,,B
'201903,RUSK,'201,N,LANEVILLE ISD,A,'07,UJ,H
'107910,HENDERSON,'107,N,LAPOYNOR ISD,R,'07,RUVJEWS,
'240901,WEBB,'240,N,LAREDO ISD,A,'01,DR,B
'245901,WILLACY,'245,N,LASARA ISD,R,'01,AWMS,
'113905,HOUSTON,'113,N,LATEXO ISD,R,'06,RUVJS,
'185904,PARMER,'185,N,LAZBUDDIE ISD,R,'16,ARJW,
'193902,REAL,'193,N,LEAKEY ISD,R,'20,UJW,
'246913,WILLIAMSON,'246,N,LEANDER ISD,R,'13,UJES,
'019914,BOWIE,'019,N,LEARY ISD,R,'08,AES,
'090902,GRAY,'090,N,LEFORS ISD,A,'16,DRU,
'187906,POLK,'187,N,LEGGETT ISD,A,'06,,
'145911,LEON,'145,N,LEON ISD,R,'06,,
'074909,FANNIN,'074,N,LEONARD ISD,R,'10,AUVJS,
'110902,HOCKLEY,'110,N,LEVELLAND ISD,A,'17,,
'201904,RUSK,'201,N,LEVERETTS CHAPEL ISD,R,'07,EWS,D
'061902,DENTON,'061,N,LEWISVILLE ISD,R,'11,AUVJS,
'144902,LEE,'144,N,LEXINGTON ISD,R,'13,RUJS,D
'246908,WILLIAMSON,'246,N,LIBERTY HILL ISD,R,'13,PRUVJWMS,
'146906,LIBERTY,'146,N,LIBERTY ISD,A,'04,R,B
'019908,BOWIE,'019,N,LIBERTY-EYLAU ISD,R,'08,,D
'057807,DALLAS,'057,Y,LIFE SCHOOL,A,'10,AR,
'015825,BEXAR,'015,Y,LIGHTHOUSE CHARTER SCHOOL,A,'20,,
'212903,SMITH,'212,N,LINDALE ISD,R,'07,UVEWS,
'034905,CASS,'034,N,LINDEN-KILDARE CISD,A,'08,JW,B
'049907,COOKE,'049,N,LINDSAY ISD,E,'11,ADCRUVJEWMNS,
'072909,ERATH,'072,N,LINGLEVILLE ISD,R,'11,ARUVJES,
'111902,HOOD,'111,N,LIPAN ISD,R,'11,UVS,
'181908,ORANGE,'181,N,LITTLE CYPRESS-MAURICEVILLE CISD,A,'05,RJS,
'061914,DENTON,'061,N,LITTLE ELM ISD,R,'11,,
'140904,LAMB,'140,N,LITTLEFIELD ISD,A,'17,W,D
'187907,POLK,'187,N,LIVINGSTON ISD,A,'06,S,
'150901,LLANO,'150,N,LLANO ISD,R,'13,UVJ,
'028902,CALDWELL,'028,N,LOCKHART ISD,R,'13,,B
'077902,FLOYD,'077,N,LOCKNEY ISD,A,'17,AUV,D
'160905,MCCULLOCH,'160,N,LOHN ISD,A,'15,ARJ,D
'141902,LAMPASAS,'141,N,LOMETA ISD,A,'12,AUVJ,B
'178906,NUECES,'178,N,LONDON ISD,E,'02,AEWMNS,
'116906,HUNT,'116,N,LONE OAK ISD,E,'10,UVJEWMNS,
'092903,GREGG,'092,N,LONGVIEW ISD,A,'07,,H
'083902,GAINES,'083,N,LOOP ISD,R,'17,ADUVJEWMS,
'168902,MITCHELL,'168,N,LORAINE ISD,A,'14,R,
'161907,MCLENNAN,'161,N,LORENA ISD,R,'12,PUVJ,
'054902,CROSBY,'054,N,LORENZO ISD,A,'17,J,B
'031906,CAMERON,'031,N,LOS FRESNOS CISD,R,'01,ADRVWMS,D
'241906,WHARTON,'241,N,LOUISE ISD,A,'03,AUVW,
'043919,COLLIN,'043,N,LOVEJOY ISD,E,'10,AUVEWMNS,
'113903,HOUSTON,'113,N,LOVELADY ISD,R,'06,UVJ,
'152901,LUBBOCK,'152,N,LUBBOCK ISD,A,'17,,
'152906,LUBBOCK,'152,N,LUBBOCK-COOPER ISD,R,'17,AUVJEWS,
'127905,JONES,'127,N,LUEDERS-AVOCA ISD,R,'14,UVS,B
'003903,ANGELINA,'003,N,LUFKIN ISD,A,'07,,D
'028903,CALDWELL,'028,N,LULING ISD,L,'13,,B
'100907,HARDIN,'100,N,LUMBERTON ISD,R,'05,UJS,
'245902,WILLACY,'245,N,LYFORD CISD,R,'01,RS,B
'007904,ATASCOSA,'007,N,LYTLE ISD,A,'20,A,
'129905,KAUFMAN,'129,N,MABANK ISD,E,'10,UVJEWS,
'154901,MADISON,'154,N,MADISONVILLE CISD,A,'06,V,B
'170906,MONTGOMERY,'170,N,MAGNOLIA ISD,A,'06,S,
'084801,GALVESTON,'084,Y,MAINLAND PREPARATORY ACADEMY,A,'04,AEWS,
'107906,HENDERSON,'107,N,MALAKOFF ISD,A,'07,UJ,
'109908,HILL,'109,N,MALONE ISD,A,'12,AEWMS,
'019910,BOWIE,'019,N,MALTA ISD,R,'08,AEM,D
'227907,TRAVIS,'227,N,MANOR ISD,A,'13,,
'220908,TARRANT,'220,N,MANSFIELD ISD,A,'11,US,
'022902,BREWSTER,'022,N,MARATHON ISD,R,'18,WS,
'027904,BURNET,'027,N,MARBLE FALLS ISD,A,'13,,
'189901,PRESIDIO,'189,N,MARFA ISD,A,'18,W,A
'094904,GUADALUPE,'094,N,MARION ISD,A,'13,J,
'073903,FALLS,'073,N,MARLIN ISD,A,'12,,L
'102902,HARRISON,'102,N,MARSHALL ISD,A,'07,,B
'161908,MCLENNAN,'161,N,MART ISD,A,'12,AUV,B
'234905,VAN ZANDT,'234,N,MARTINS MILL ISD,R,'07,ARUVJNS,
'174909,NACOGDOCHES,'174,N,MARTINSVILLE ISD,R,'07,AVJWS,
'157901,MASON,'157,N,MASON ISD,E,'15,ARUVJEWS,
'158904,MATAGORDA,'158,N,MATAGORDA ISD,R,'03,A,
'205904,SAN PATRICIO,'205,N,MATHIS ISD,A,'02,RU,A
'019903,BOWIE,'019,N,MAUD ISD,E,'08,UVJWS,
'025905,BROWN,'025,N,MAY ISD,A,'15,UVENS,
'070915,ELLIS,'070,N,MAYPEARL ISD,R,'10,ARUJ,
'108906,HIDALGO,'108,N,MCALLEN ISD,A,'01,RVJWS,D
'231901,UPTON,'231,N,MCCAMEY ISD,A,'18,U,D
'011905,BASTROP,'011,N,MCDADE ISD,A,'13,AS,
'161909,MCLENNAN,'161,N,MCGREGOR ISD,A,'12,AV,
'043907,COLLIN,'043,N,MCKINNEY ISD,A,'10,S,
'090903,GRAY,'090,N,MCLEAN ISD,R,'16,RUVEWS,
'034906,CASS,'034,N,MCLEOD ISD,E,'08,VJS,
'162904,MCMULLEN,'162,N,MCMULLEN COUNTY ISD,R,'02,AUJW,
'223902,TERRY,'223,N,MEADOW ISD,R,'17,ARUVJ,
'130801,KENDALL,'130,Y,MEADOWLAND CHARTER SCHOOL,1,'20,,
'101801,HARRIS,'101,Y,MEDICAL CENTER CHARTER SCHOOL,E,'04,AEW,D
'010901,BANDERA,'010,N,MEDINA ISD,R,'20,AVJWS,B
'163908,MEDINA,'163,N,MEDINA VALLEY ISD,R,'20,RW,
'043908,COLLIN,'043,N,MELISSA ISD,R,'10,RUVJWS,
'096904,HALL,'096,N,MEMPHIS ISD,R,'16,RVS,
'164901,MENARD,'164,N,MENARD ISD,A,'15,AUE,
'108907,HIDALGO,'108,N,MERCEDES ISD,A,'01,R,L
'018902,BOSQUE,'018,N,MERIDIAN ISD,R,'12,AJ,B
'221904,TAYLOR,'221,N,MERKEL ISD,A,'14,RVS,B
'057914,DALLAS,'057,N,MESQUITE ISD,A,'10,A,B
'220808,TARRANT,'220,Y,METRO ACADEMY OF MATH AND SCIENCE,A,'11,,
'147903,LIMESTONE,'147,N,MEXIA ISD,A,'12,,D
'101855,HARRIS,'101,Y,MEYERPARK ELEMENTARY,A,'04,WN,
'062906,DEWITT,'062,N,MEYERSVILLE ISD,R,'03,AREMNS,
